# snname z_obs mu RA Dec Type z_distmod
SN1993J -0.0001 27.82 09:55:24.7747 +69:01:13.702 IIb 0.0008467385725652864
SN1994I 0.0015 29.5 13:29:54.072 +47:11:30.50 Ic 0.0018340593624538507
SN1996cb 0.0024 30.69 11:03:41.98 +28:54:13.7 IIb 0.0031692742965627263
SN1998bw 0.0085 32.69 19:35:03.17 -52:50:46.1 Ic 0.00793139066351027
SN1999dn 0.0093 32.44 23:36:14.70 +02:09:08.8 Ib 0.007073569434524798
SN2002ap 0.0022 29.76 01:36:23.85 +15:45:13.2 Ic 0.002066970150139949
SN2003jd 0.0188 34.33 23:21:03.38 -04:53:45.5 Ic 0.016764534660037515
SN2004aw 0.0159 34.48 11:57:50.24 +25:15:55.1 Ic 0.0179472672378824
SN2005bf 0.0189 34.73 10:23:56.99 -03:11:29.3 Ib 0.020104028550819903
SN2005hg 0.021 34.54 01:55:41.87 +46:47:47.4 Ib 0.018443090833396115
SN2006aj 0.0334 35.9 03:21:39.670 +16:52:02.27 Ic 0.034095490820716064
SN2007C 0.0056 31.83 13:08:49.30 -06:47:01.0 Ib 0.00534837067245039
SN2007Y 0.0046 31.43 03:02:35.92 -22:53:50.1 Ib 0.004451691172296234
SN2007gr 0.0017 29.28 02:43:27.98 +37:20:44.7 Ic 0.0016575758291714703
SN2007uy 0.007 32.35 09:09:35.40 +33:07:09.9 Ib 0.0067878938054275455
SN2008D 0.0046 32.35 09:09:30.625 +33:08:20.16 Ib 0.0067878938054275455
SN2008ax 0.0019 29.42 12:30:40.80 +41:38:16.1 IIb 0.0017678113224154533
SN2008bo 0.005 31.52 18:19:54.41 +74:34:21.0 IIb 0.004639396109958758
SN2009bb 0.01 33.02 10:31:33.92 -39:57:28.2 Ic 0.009223890922756087
SN2009er 0.035 36.01 15:39:29.84 +24:26:05.3 Ib 0.03582100276578451
SN2009iz 0.0142 33.75 02:42:15.41 +42:23:50.1 Ib 0.012873298098134325
SN2009jf 0.008 32.58 23:04:52.98 +12:19:59.5 Ib 0.007541897882110973
SN2010al 0.017 34.74 08:14:15.91 +18:26:18.2 Ib 0.020195417170169604
SN2011bm 0.0022 35.53 12:56:53.89 +22:22:28.2 Ic 0.028866887659709742
SN2011dh 0.0015 29.5 13:30:05.1055 +47:10:10.922 IIb 0.0018340593624538507
SN2011ei 0.0093 32.41 20:34:22.62 -31:58:23.6 IIb 0.006977039739317062
SN2011fu 0.0185 34.46 02:08:21.41 +41:29:12.3 IIb 0.0177849337760599
SN2012ap 0.0121 32.96 05:00:13.72 -03:20:51.2 Ib 0.008974249747310039
SN2013ge 0.0043 31.36 10:34:48.46 +21:39:41.9 Ib 0.004310947260246601
iPTF13bvn 0.00449 32.14 15:00:00.15 +01:52:53.17 Ib 0.006165174110325205
SN2010as 0.007315 32.16 15:49:49.23 -29:23:09.7 Ibc 0.006221944935104531
