# MJD flux flux_err filter
50837.30000 3.79057e-16 2.28064e-18 BessellB
50846.20000 4.55727e-16 2.77266e-18 BessellB
50898.00000 5.13694e-16 3.14826e-18 BessellB
50899.30000 4.64199e-16 2.82737e-18 BessellB
50939.10000 1.32649e-16 7.50688e-19 BessellB
50962.00000 1.27851e-16 7.22030e-19 BessellB
50991.00000 9.34770e-17 5.18733e-19 BessellB
51200.20000 2.34804e-17 1.21024e-19 BessellB
50837.30000 6.15829e-16 3.95266e-18 BessellV
50845.40000 7.13609e-16 4.62398e-18 BessellV
50846.20000 7.47240e-16 4.85639e-18 BessellV
50898.00000 1.05066e-15 6.98294e-18 BessellV
50899.30000 1.00337e-15 6.64831e-18 BessellV
50939.10000 3.00234e-16 1.84212e-18 BessellV
50960.00000 2.56720e-16 1.56015e-18 BessellV
50962.00000 2.54367e-16 1.54498e-18 BessellV
50991.00000 1.91188e-16 1.14145e-18 BessellV
51143.30000 4.37986e-17 2.40350e-19 BessellV
51200.20000 2.38485e-17 1.26648e-19 BessellV
50819.80000 3.43012e-16 2.19124e-18 BessellR
50837.30000 5.79842e-16 3.83267e-18 BessellR
50845.40000 6.71907e-16 4.48489e-18 BessellR
50846.20000 6.84399e-16 4.57389e-18 BessellR
50894.20000 1.05514e-15 7.26160e-18 BessellR
50898.00000 1.06490e-15 7.33344e-18 BessellR
50899.30000 1.01697e-15 6.98124e-18 BessellR
50939.10000 3.90220e-16 2.51352e-18 BessellR
50960.00000 3.33664e-16 2.12777e-18 BessellR
50962.00000 3.30605e-16 2.10702e-18 BessellR
50991.00000 2.69966e-16 1.69863e-18 BessellR
51143.30000 6.24179e-17 3.59607e-19 BessellR
51200.20000 3.24571e-17 1.80206e-19 BessellR
50837.30000 3.77996e-16 2.53710e-18 BessellI
50845.40000 4.58656e-16 3.11897e-18 BessellI
50846.20000 4.80272e-16 3.27622e-18 BessellI
50898.00000 7.75330e-16 5.46759e-18 BessellI
50939.10000 3.17312e-16 2.10508e-18 BessellI
50962.00000 2.68836e-16 1.76408e-18 BessellI
50991.00000 2.11586e-16 1.36694e-18 BessellI
51143.30000 5.02906e-17 2.97309e-19 BessellI
51201.20000 2.56736e-17 1.45977e-19 BessellI
