# MJD flux flux_err filter
51663.343 1.8884e-16 1.8038e-18 BessellB
51665.41 1.8311e-16 2.8413999999999998e-18 BessellB
51667.43 1.9351000000000001e-16 4.6053e-18 BessellB
51675.2 3.6583e-16 1.9742e-18 BessellB
51676.255 3.9021e-16 1.3933000000000001e-18 BessellB
51677.265 4.1194e-16 4.3193000000000006e-18 BessellB
51681.235 4.739e-16 4.7277e-18 BessellB
51682.31 4.9475e-16 2.2726e-18 BessellB
51683.267 5.0392e-16 3.2862999999999996e-18 BessellB
51692.38 5.0899e-16 8.7757e-18 BessellB
51695.07 4.8655e-16 6.6312e-18 BessellB
51696.37 4.641999999999999e-16 7.9426e-18 BessellB
51699.22 4.4513e-16 4.2289e-18 BessellB
51700.35 4.4741e-16 9.3655e-18 BessellB
51705.195 3.9630999999999998e-16 6.9448e-18 BessellB
51706.35 4.0430000000000003e-16 1.0338e-17 BessellB
51711.27 3.6356000000000003e-16 5.1298e-18 BessellB
51713.32 3.7906e-16 9.98e-18 BessellB
51717.34 3.6873e-16 1.1058e-17 BessellB
51721.32 3.489e-16 8.4715e-18 BessellB
51728.27 3.3319999999999997e-16 6.341000000000001e-18 BessellB
51730.17 3.2179999999999997e-16 7.3242e-18 BessellB
51735.22 3.3015e-16 8.977599999999999e-18 BessellB
51738.135 3.0013e-16 5.6905e-18 BessellB
51742.23 2.7971e-16 1.1729000000000001e-17 BessellB
51745.155 2.6839e-16 5.3291e-18 BessellB
51749.19 2.3917e-16 1.0528e-17 BessellB
51752.195 2.1718999999999999e-16 7.7249e-18 BessellB
51756.19 1.9351000000000001e-16 8.0123e-18 BessellB
51757.14 1.7566e-16 9.3038e-18 BessellB
51781.16 1.1238e-16 1.0185e-17 BessellB
51788.16 1.1238e-16 8.0567e-18 BessellB
51795.14 1.1768e-16 1.0944000000000001e-17 BessellB
51663.343 2.1469e-16 5.2374e-18 BessellV
51665.41 2.363e-16 1.3120000000000001e-17 BessellV
51667.43 2.7382e-16 1.3012000000000001e-17 BessellV
51675.2 4.7693e-16 1.0045e-17 BessellV
51676.255 5.0681e-16 8.7588e-18 BessellV
51677.265 5.3469e-16 6.8829e-18 BessellV
51681.235 6.307400000000001e-16 1.0008000000000001e-17 BessellV
51682.31 6.5316e-16 6.840499999999999e-18 BessellV
51683.267 6.778400000000001e-16 6.7263e-18 BessellV
51684.245 6.9495e-16 6.4024e-18 BessellV
51692.38 8.118199999999999e-16 1.5165999999999998e-17 BessellV
51695.07 8.1138e-16 7.620000000000001e-18 BessellV
51696.37 8.1933e-16 3.2557999999999997e-18 BessellV
51699.22 8.3751999999999995e-16 1.1162000000000001e-17 BessellV
51700.35 8.5795e-16 1.0918e-17 BessellV
51705.195 8.386400000000001e-16 1.2809999999999999e-17 BessellV
51706.35 8.345599999999999e-16 1.0665e-17 BessellV
51713.32 8.1933e-16 1.0538e-17 BessellV
51717.34 8.5795e-16 1.1433e-17 BessellV
51721.32 8.5795e-16 1.1297000000000001e-17 BessellV
51728.27 8.5008e-16 1.7152999999999998e-17 BessellV
51730.17 8.2681e-16 1.2255999999999999e-17 BessellV
51735.22 8.043799999999999e-16 1.7606e-17 BessellV
51738.135 7.8692999999999995e-16 1.4362e-17 BessellV
51742.23 7.8246e-16 1.7802e-17 BessellV
51745.155 7.181199999999999e-16 1.1452e-17 BessellV
51749.19 6.568399999999999e-16 9.7177e-18 BessellV
51752.195 5.9939e-16 7.608999999999999e-18 BessellV
51781.16 2.4972e-16 1.825e-17 BessellV
51788.16 2.0019999999999998e-16 1.8133e-17 BessellV
51795.047 2.1818e-16 7.040700000000001e-18 BessellV
51802.14 1.8769999999999997e-16 1.6995e-17 BessellV
51663.305 1.8371e-16 7.227699999999999e-18 BessellR
51665.41 2.0668000000000001e-16 1.855e-17 BessellR
51675.2 4.3204e-16 7.7462e-18 BessellR
51676.255 4.5975e-16 1.0632999999999999e-17 BessellR
51677.265 4.8943e-16 1.3986e-17 BessellR
51681.235 5.822999999999999e-16 1.0632999999999999e-17 BessellR
51682.31 6.0411e-16 1.2017999999999999e-17 BessellR
51683.275 6.2624e-16 5.8546000000000004e-18 BessellR
51684.245 6.4979e-16 1.0499000000000001e-17 BessellR
51694.3 8.616099999999999e-16 1.7802e-17 BessellR
51695.07 7.902e-16 1.0601e-17 BessellR
51697.055 7.442e-16 1.1765999999999999e-17 BessellR
51699.22 8.2712e-16 1.1392e-17 BessellR
51702.94 7.8579e-16 1.8109e-17 BessellR
51705.195 8.561799999999999e-16 1.1287999999999999e-17 BessellR
51706.99 7.8579e-16 4.945899999999999e-18 BessellR
51730.17 8.9558e-16 1.03e-17 BessellR
51732.3 9.4473e-16 1.9405999999999997e-17 BessellR
51734.9 9.4473e-16 1.9334000000000002e-17 BessellR
51738.135 8.7353e-16 1.2697e-17 BessellR
51745.155 8.104200000000001e-16 1.4448e-17 BessellR
51752.195 7.148500000000001e-16 9.975499999999999e-18 BessellR
51757.14 6.0202e-16 6.1647e-18 BessellR
51767.92 3.4301e-16 1.434e-17 BessellR
51663.343 1.0545e-16 5.5470000000000006e-18 BessellI
51665.41 1.2749e-16 1.7000000000000002e-17 BessellI
51667.43 1.3474e-16 1.8242e-17 BessellI
51675.2 2.7589000000000003e-16 1.0449999999999999e-17 BessellI
51676.255 2.9457e-16 5.393999999999999e-18 BessellI
51677.265 3.0942e-16 1.172e-17 BessellI
51681.235 3.6938e-16 5.3265e-18 BessellI
51682.31 3.9158e-16 1.1597e-17 BessellI
51683.275 4.0374e-16 9.661900000000001e-18 BessellI
51684.245 4.1856999999999997e-16 4.5526e-18 BessellI
51692.38 5.029099999999999e-16 1.1928e-17 BessellI
51695.07 5.2294e-16 1.0024e-17 BessellI
51696.37 5.364e-16 4.6554999999999996e-18 BessellI
51699.22 5.6861e-16 9.876e-18 BessellI
51700.35 5.6168e-16 1.8931e-17 BessellI
51705.195 6.0106e-16 7.374899999999999e-18 BessellI
51706.35 6.046299999999999e-16 3.8332e-18 BessellI
51713.32 6.2732e-16 3.8016e-18 BessellI
51717.34 6.5086e-16 1.019e-17 BessellI
51721.32 6.6296e-16 1.0050000000000001e-17 BessellI
51728.27 6.5688e-16 1.3084e-17 BessellI
51730.17 6.7059e-16 8.258500000000001e-18 BessellI
51735.22 6.3898e-16 1.0530999999999999e-17 BessellI
51738.135 6.593e-16 6.9359e-18 BessellI
51742.23 6.1022e-16 9.0002e-18 BessellI
51745.155 6.2082e-16 1.1545e-17 BessellI
51749.19 5.668700000000001e-16 4.1321999999999996e-17 BessellI
51752.19 5.494e-16 1.5994000000000001e-18 BessellI
51756.19 4.7587e-16 5.422e-18 BessellI
51757.14 4.6499e-16 3.9218e-18 BessellI
51781.16 2.7637e-16 1.8792e-18 BessellI
