MJD flux flux_err filter
51663.30000 1.91207e-16 1.54691e-19 BessellB
51663.31000 1.86511e-16 1.07625e-18 BessellB
51663.42000 1.93511e-16 6.71414e-19 BessellB
51665.41000 1.83107e-16 1.05549e-18 BessellB
51667.43000 1.93511e-16 7.83316e-19 BessellB
51675.20000 3.67371e-16 3.08864e-19 BessellB
51675.20000 3.65346e-16 2.19329e-18 BessellB
51676.25000 3.94008e-16 3.32657e-19 BessellB
51676.26000 3.89677e-16 2.34844e-18 BessellB
51677.26000 4.12957e-16 3.49646e-19 BessellB
51677.27000 4.04301e-16 2.44199e-18 BessellB
51681.23000 4.78084e-16 4.08405e-19 BessellB
51681.24000 4.68495e-16 2.85514e-18 BessellB
51682.31000 5.03390e-16 4.31380e-19 BessellB
51682.31000 4.90574e-16 2.99811e-18 BessellB
51683.25000 4.99695e-16 3.05729e-18 BessellB
51683.27000 5.09454e-16 4.36896e-19 BessellB
51683.28000 5.04318e-16 3.08731e-18 BessellB
51692.38000 5.08985e-16 9.35291e-19 BessellB
51695.07000 4.90574e-16 2.99811e-18 BessellB
51695.07000 4.84735e-16 4.14436e-19 BessellB
51696.37000 4.64199e-16 1.41369e-18 BessellB
51699.22000 4.46997e-16 3.80289e-19 BessellB
51699.22000 4.43307e-16 2.69257e-18 BessellB
51700.35000 4.47409e-16 5.43801e-19 BessellB
51705.19000 3.98754e-16 3.36907e-19 BessellB
51705.20000 3.93283e-16 2.37149e-18 BessellB
51706.35000 4.04301e-16 1.22100e-18 BessellB
51711.27000 3.66357e-16 4.83939e-19 BessellB
51711.27000 3.61997e-16 2.17198e-18 BessellB
51713.32000 3.79057e-16 9.12257e-19 BessellB
51717.34000 3.68727e-16 8.85923e-19 BessellB
51721.32000 3.48903e-16 8.35521e-19 BessellB
51728.27000 3.33200e-16 9.94653e-19 BessellB
51730.17000 3.22333e-16 2.68888e-19 BessellB
51730.17000 3.21148e-16 1.91314e-18 BessellB
51735.22000 3.30145e-16 7.87994e-19 BessellB
51738.13000 3.03043e-16 2.51871e-19 BessellB
51738.14000 2.92890e-16 1.73529e-18 BessellB
51742.23000 2.79708e-16 9.91608e-19 BessellB
51745.15000 2.70586e-16 2.23392e-19 BessellB
51745.16000 2.67119e-16 1.57402e-18 BessellB
51749.19000 2.39169e-16 8.40121e-19 BessellB
51752.19000 2.20955e-16 1.80264e-19 BessellB
51752.20000 2.14143e-16 1.24563e-18 BessellB
51756.19000 1.93511e-16 1.00712e-18 BessellB
51757.14000 1.76321e-16 1.41983e-19 BessellB
51757.14000 1.74866e-16 1.00532e-18 BessellB
51781.16000 1.12384e-16 1.00815e-18 BessellB
51788.16000 1.12384e-16 1.13417e-18 BessellB
#51794.99000 7.35707e-17 4.02913e-19 BessellB
#51795.01000 8.64380e-17 6.68636e-20 BessellB
51795.14000 1.17681e-16 1.32299e-18 BessellB
51663.30000 2.11963e-16 1.90999e-19 BessellV
51663.31000 2.11573e-16 1.27084e-18 BessellV
51663.42000 2.19513e-16 3.96438e-19 BessellV
51665.41000 2.36298e-16 1.42884e-18 BessellV
51667.43000 2.73817e-16 6.68236e-19 BessellV
51675.20000 4.78036e-16 4.52876e-19 BessellV
51675.20000 4.75839e-16 3.00443e-18 BessellV
51676.25000 5.08933e-16 4.84061e-19 BessellV
51676.26000 5.02875e-16 3.18625e-18 BessellV
51677.26000 5.39834e-16 5.15378e-19 BessellV
51677.27000 5.31447e-16 3.37911e-18 BessellV
51681.23000 6.33666e-16 6.11192e-19 BessellV
51681.24000 6.27278e-16 4.03091e-18 BessellV
51682.31000 6.56841e-16 6.35011e-19 BessellV
51682.31000 6.50819e-16 4.19211e-18 BessellV
51683.25000 6.81491e-16 4.40273e-18 BessellV
51683.27000 6.80237e-16 6.59116e-19 BessellV
51683.28000 6.75243e-16 4.35978e-18 BessellV
51684.24000 6.98008e-16 6.77464e-19 BessellV
51684.25000 6.94161e-16 4.48993e-18 BessellV
51692.38000 8.11821e-16 1.06094e-18 BessellV
51695.07000 8.11821e-16 5.30468e-18 BessellV
51695.07000 8.10327e-16 7.94142e-19 BessellV
51696.37000 8.19333e-16 1.07140e-18 BessellV
51699.22000 8.39963e-16 8.25122e-19 BessellV
51699.22000 8.34565e-16 5.46316e-18 BessellV
51700.35000 8.57947e-16 1.12528e-18 BessellV
51705.19000 8.42287e-16 8.27555e-19 BessellV
51705.20000 8.34565e-16 5.46316e-18 BessellV
51706.35000 8.34565e-16 1.09263e-18 BessellV
51713.32000 8.19333e-16 1.07140e-18 BessellV
51717.34000 8.57947e-16 1.12528e-18 BessellV
51721.32000 8.57947e-16 5.62639e-19 BessellV
51728.27000 8.50081e-16 1.11429e-18 BessellV
51730.17000 8.33797e-16 8.18670e-19 BessellV
51730.17000 8.19333e-16 5.35699e-18 BessellV
51735.22000 8.04378e-16 1.05058e-18 BessellV
51738.13000 7.96270e-16 7.79475e-19 BessellV
51738.14000 7.82457e-16 5.10053e-18 BessellV
51742.23000 7.82457e-16 1.02011e-18 BessellV
51745.15000 7.23536e-16 7.03876e-19 BessellV
51745.16000 7.13609e-16 4.62398e-18 BessellV
51749.19000 6.56841e-16 8.46682e-19 BessellV
51752.19000 6.02921e-16 5.79684e-19 BessellV
51752.20000 5.93554e-16 3.80071e-18 BessellV
#51756.19000 4.84686e-16 6.12769e-19 BessellV
#51757.14000 4.91881e-16 4.66834e-19 BessellV
#51757.14000 4.84686e-16 3.06385e-18 BessellV
51781.16000 2.49724e-16 7.57543e-19 BessellV
51788.16000 2.00198e-16 2.27723e-18 BessellV
51794.99000 2.19513e-16 1.32146e-18 BessellV
51795.01000 2.28381e-16 2.06719e-19 BessellV
51795.14000 1.89435e-16 1.13037e-18 BessellV
51802.14000 1.87698e-16 1.67908e-18 BessellV
51663.30000 1.83869e-16 1.69442e-19 BessellR
51663.31000 1.83362e-16 1.12631e-18 BessellR
51665.41000 2.06685e-16 1.27898e-18 BessellR
51675.20000 4.33021e-16 4.21205e-19 BessellR
51675.20000 4.31827e-16 2.79978e-18 BessellR
51676.25000 4.61434e-16 4.50699e-19 BessellR
51676.26000 4.56362e-16 2.96950e-18 BessellR
51677.26000 4.91258e-16 4.81793e-19 BessellR
51677.27000 4.86754e-16 3.18059e-18 BessellR
51681.23000 5.83592e-16 5.78866e-19 BessellR
51681.24000 5.79842e-16 3.83267e-18 BessellR
51682.31000 6.06610e-16 6.03240e-19 BessellR
51682.31000 6.01602e-16 3.98621e-18 BessellR
51683.27000 6.28795e-16 6.26795e-19 BessellR
51683.28000 6.24179e-16 4.14593e-18 BessellR
51684.24000 6.52994e-16 6.52554e-19 BessellR
51684.25000 6.47604e-16 4.31206e-18 BessellR
51694.30000 8.61607e-16 5.84816e-18 BessellR
51695.07000 7.93066e-16 5.35283e-18 BessellR
51695.07000 7.87969e-16 7.97417e-19 BessellR
51697.02000 7.85795e-16 5.30046e-18 BessellR
51697.09000 7.16654e-16 4.80423e-18 BessellR
51699.22000 8.29678e-16 8.42557e-19 BessellR
51699.22000 8.22829e-16 5.56755e-18 BessellR
51702.94000 7.85795e-16 5.30046e-18 BessellR
51705.19000 8.57649e-16 8.72921e-19 BessellR
51705.20000 8.53708e-16 5.79092e-18 BessellR
51706.97000 7.85795e-16 5.30046e-18 BessellR
51707.01000 7.85795e-16 5.30046e-18 BessellR
51730.17000 8.97242e-16 9.16023e-19 BessellR
51730.17000 8.93942e-16 6.08284e-18 BessellR
51732.30000 9.44734e-16 6.45271e-18 BessellR
51734.90000 9.44734e-16 6.45271e-18 BessellR
51738.13000 8.77626e-16 8.94651e-19 BessellR
51738.14000 8.69580e-16 5.90596e-18 BessellR
51745.15000 8.13035e-16 8.24525e-19 BessellR
51745.16000 8.07810e-16 5.45913e-18 BessellR
51752.19000 7.19962e-16 7.24185e-19 BessellR
51752.20000 7.10083e-16 4.75725e-18 BessellR
51757.14000 6.04936e-16 6.01465e-19 BessellR
51757.14000 6.01602e-16 3.98621e-18 BessellR
51767.92000 3.43012e-16 2.19124e-18 BessellR
#51794.99000 3.18647e-16 2.02606e-18 BessellR
#51795.01000 3.23675e-16 3.09012e-19 BessellR
51663.30000 1.06730e-16 9.90505e-20 BessellI
51663.31000 1.04109e-16 6.43129e-19 BessellI
51663.42000 9.67134e-17 3.56843e-19 BessellI
51665.41000 1.27493e-16 7.97567e-19 BessellI
51667.43000 1.34737e-16 5.07483e-19 BessellI
51675.20000 2.77132e-16 2.73323e-19 BessellI
51675.20000 2.73834e-16 1.79905e-18 BessellI
51676.25000 2.95044e-16 2.92192e-19 BessellI
51676.26000 2.92070e-16 1.92702e-18 BessellI
51677.26000 3.10375e-16 3.08406e-19 BessellI
51677.27000 3.08665e-16 2.04396e-18 BessellI
51681.23000 3.69051e-16 3.70964e-19 BessellI
51681.24000 3.71097e-16 2.48772e-18 BessellI
51682.31000 3.92181e-16 2.63884e-18 BessellI
51682.31000 3.91099e-16 3.94661e-19 BessellI
51683.27000 4.04657e-16 4.09280e-19 BessellI
51683.28000 4.03169e-16 2.71782e-18 BessellI
51684.24000 4.21005e-16 4.26954e-19 BessellI
51684.25000 4.18299e-16 2.82684e-18 BessellI
51692.38000 5.02906e-16 6.88287e-19 BessellI
51695.07000 5.26607e-16 3.61502e-18 BessellI
51695.07000 5.20340e-16 5.35359e-19 BessellI
51696.37000 5.36398e-16 1.10607e-18 BessellI
51699.22000 5.71067e-16 5.91322e-19 BessellI
51699.22000 5.66874e-16 3.91122e-18 BessellI
51700.35000 5.61677e-16 7.74580e-19 BessellI
51705.19000 6.02958e-16 6.26694e-19 BessellI
51705.20000 5.99083e-16 4.14926e-18 BessellI
51706.35000 6.04626e-16 4.19032e-19 BessellI
51713.32000 6.27317e-16 8.71741e-19 BessellI
51717.34000 6.50859e-16 9.06777e-19 BessellI
51721.32000 6.62959e-16 9.24822e-19 BessellI
51728.27000 6.56881e-16 4.57877e-19 BessellI
51730.17000 6.72801e-16 7.04638e-19 BessellI
51730.17000 6.69094e-16 4.66989e-18 BessellI
51735.22000 6.38979e-16 8.89086e-19 BessellI
51738.13000 6.60521e-16 6.90888e-19 BessellI
51738.14000 6.50859e-16 4.53389e-18 BessellI
51742.23000 6.10221e-16 8.46360e-19 BessellI
51745.15000 6.22711e-16 6.48674e-19 BessellI
51745.16000 6.15867e-16 4.27368e-18 BessellI
51749.19000 5.66874e-16 7.82243e-19 BessellI
51752.19000 5.49398e-16 5.67370e-19 BessellI
51756.19000 4.75868e-16 6.48830e-19 BessellI
51757.14000 4.69339e-16 4.79494e-19 BessellI
51757.14000 4.62900e-16 3.14981e-18 BessellI
51781.16000 2.76367e-16 5.45039e-19 BessellI
#51794.99000 2.49739e-16 1.63089e-18 BessellI
#51795.01000 2.48134e-16 2.42959e-19 BessellI
#51795.14000 2.38499e-16 4.65845e-19 BessellI
#51802.14000 2.13544e-16 9.66285e-19 BessellI
