MJD flux flux_err filter
52554.29000 7.90505e-16 1.14452e-18 BessellB
52555.22000 8.50951e-16 9.68693e-19 BessellB
52555.30000 6.01319e-16 9.67510e-19 BessellB
52558.21000 9.77023e-16 1.30901e-18 BessellB
52561.20000 6.30819e-16 6.65610e-19 BessellB
52561.23000 7.78224e-16 3.18112e-18 BessellB
52568.10000 4.54051e-16 5.79987e-19 BessellB
52569.27000 4.95113e-16 1.24130e-18 BessellB
52572.10000 3.68387e-16 4.86782e-19 BessellB
52572.10000 3.49868e-16 3.35188e-19 BessellB
52572.19000 4.62492e-16 8.44903e-19 BessellB
52573.00000 3.29234e-16 2.74992e-19 BessellB
52574.20000 3.01929e-16 2.50890e-19 BessellB
52575.22000 3.55390e-16 6.60295e-19 BessellB
52577.10000 2.50441e-16 4.99852e-19 BessellB
52578.19000 3.12395e-16 7.80338e-19 BessellB
52581.17000 2.96145e-16 1.00076e-18 BessellB
52584.21000 2.29882e-16 6.71359e-19 BessellB
52585.10000 1.80928e-16 2.29286e-19 BessellB
52586.10000 1.77953e-16 1.63855e-19 BessellB
52590.10000 1.61549e-16 1.57173e-19 BessellB
52596.00000 1.44779e-16 2.14086e-19 BessellB
52597.20000 2.04505e-16 9.49114e-19 BessellB
52607.18000 1.59333e-16 4.28237e-19 BessellB
52609.10000 1.32040e-16 1.26998e-19 BessellB
52615.10000 1.27147e-16 1.14852e-19 BessellB
52617.12000 1.50074e-16 1.84738e-18 BessellB
52552.87000 2.49724e-16 1.51509e-18 BessellV
52553.83000 3.00234e-16 1.84212e-18 BessellV
52554.29000 4.12915e-16 5.68477e-19 BessellV
52554.83000 4.33971e-16 2.72423e-18 BessellV
52555.22000 4.65008e-16 4.98402e-19 BessellV
52555.30000 3.75544e-16 3.27076e-19 BessellV
52555.30000 3.75544e-16 3.27076e-19 BessellV
52555.78000 3.60961e-16 2.24002e-18 BessellV
52558.21000 5.70506e-16 7.28777e-19 BessellV
52561.20000 4.51919e-16 3.98179e-19 BessellV
52561.20000 4.51919e-16 3.98179e-19 BessellV
52568.10000 4.14057e-16 7.51560e-19 BessellV
52568.10000 4.14057e-16 7.51560e-19 BessellV
52569.27000 4.37583e-16 1.23675e-18 BessellV
52572.10000 3.60629e-16 3.13296e-19 BessellV
52572.10000 3.60629e-16 3.13296e-19 BessellV
52572.10000 3.56993e-16 3.32082e-19 BessellV
52572.10000 3.56993e-16 3.32082e-19 BessellV
52572.19000 4.67154e-16 8.83849e-19 BessellV
52572.20000 3.57981e-16 3.10854e-19 BessellV
52572.20000 3.57981e-16 3.10854e-19 BessellV
52573.00000 3.54373e-16 3.29494e-19 BessellV
52573.00000 3.54373e-16 3.29494e-19 BessellV
52574.20000 3.43447e-16 3.18717e-19 BessellV
52574.20000 3.43447e-16 3.18717e-19 BessellV
52575.22000 4.09883e-16 5.12767e-19 BessellV
52576.10000 3.24086e-16 1.99783e-19 BessellV
52576.10000 3.24086e-16 1.99783e-19 BessellV
52577.10000 3.14384e-16 2.51471e-19 BessellV
52577.10000 3.14384e-16 2.51471e-19 BessellV
52578.19000 3.73818e-16 7.43954e-19 BessellV
52581.17000 3.81119e-16 6.88203e-19 BessellV
52584.21000 3.56008e-16 7.06366e-19 BessellV
52585.10000 2.78908e-16 5.45140e-19 BessellV
52585.10000 2.78908e-16 5.45140e-19 BessellV
52585.10000 2.77882e-16 2.37568e-19 BessellV
52585.10000 2.77882e-16 2.37568e-19 BessellV
52586.10000 2.70309e-16 2.30705e-19 BessellV
52586.10000 2.70309e-16 2.30705e-19 BessellV
52588.20000 2.71057e-16 2.31382e-19 BessellV
52588.20000 2.71057e-16 2.31382e-19 BessellV
52590.10000 2.70807e-16 2.31156e-19 BessellV
52590.10000 2.70807e-16 2.31156e-19 BessellV
52596.00000 2.67092e-16 2.27793e-19 BessellV
52596.00000 2.67092e-16 2.27793e-19 BessellV
52597.20000 3.46306e-16 9.43169e-19 BessellV
52607.18000 3.30111e-16 5.29694e-19 BessellV
52609.10000 2.64887e-16 2.25798e-19 BessellV
52609.10000 2.64887e-16 2.25798e-19 BessellV
52612.12000 3.27990e-16 9.91459e-19 BessellV
52615.10000 2.67338e-16 2.28015e-19 BessellV
52615.10000 2.67338e-16 2.28015e-19 BessellV
52617.12000 3.01342e-16 1.18357e-18 BessellV
52633.09000 2.92052e-16 5.18775e-19 BessellV
52653.09000 1.46643e-16 2.49939e-18 BessellV
52658.11000 1.12062e-16 1.40049e-18 BessellV
52554.29000 2.65283e-16 6.16911e-19 BessellR
52555.22000 2.95740e-16 4.67882e-19 BessellR
52558.21000 3.86286e-16 4.47580e-19 BessellR
52558.77000 4.52178e-16 2.94051e-18 BessellR
52560.95000 5.96087e-16 3.94726e-18 BessellR
52569.27000 3.76452e-16 6.53194e-19 BessellR
52572.19000 3.62501e-16 1.18521e-18 BessellR
52573.78000 3.76105e-16 2.41687e-18 BessellR
52573.78000 2.85305e-16 1.80140e-18 BessellR
52574.00000 4.95803e-16 3.24363e-18 BessellR
52575.22000 3.37062e-16 7.95805e-19 BessellR
52575.79000 3.76105e-16 2.41687e-18 BessellR
52578.19000 3.37372e-16 5.81292e-19 BessellR
52580.87000 3.43012e-16 2.19124e-18 BessellR
52581.17000 3.23675e-16 5.15020e-19 BessellR
52584.21000 3.15435e-16 2.60564e-19 BessellR
52589.14000 3.22485e-16 3.44740e-18 BessellR
52597.20000 3.27574e-16 5.63350e-19 BessellR
52607.18000 3.14854e-16 3.80080e-19 BessellR
52617.12000 3.18060e-16 1.01105e-18 BessellR
52633.09000 3.02071e-16 4.59399e-19 BessellR
52643.10000 1.67074e-16 2.74496e-18 BessellR
#52658.11000 1.66001e-16 9.12126e-19 BessellR
#52663.11000 9.72992e-17 1.02399e-18 BessellR
52554.29000 1.42524e-16 4.30969e-19 BessellI
52555.22000 1.60504e-16 2.64874e-19 BessellI
52555.30000 1.34118e-16 2.35669e-19 BessellI
52558.21000 2.36530e-16 3.54009e-19 BessellI
52568.10000 2.11197e-16 1.77354e-19 BessellI
52569.27000 2.30084e-16 5.23088e-19 BessellI
52572.10000 1.97282e-16 1.90319e-19 BessellI
52572.10000 1.94754e-16 1.75210e-19 BessellI
52572.19000 2.17514e-16 1.40775e-18 BessellI
52573.00000 1.93681e-16 1.86624e-19 BessellI
52574.20000 1.89621e-16 1.82464e-19 BessellI
