# MJD flux flux_err filter
52938.72000 2.11252e-15 9.72850e-17 BessellB
52938.72000 1.45077e-15 3.07329e-16 BessellV
52938.72000 9.06150e-16 1.66919e-17 BessellR
52938.72000 5.58727e-16 1.54382e-17 BessellI
52939.73000 1.02141e-15 1.88151e-17 BessellR
52939.73000 1.62032e-15 3.58168e-16 BessellV
52939.73000 2.29509e-15 4.22772e-17 BessellB
52939.73000 6.18301e-16 1.13895e-17 BessellI
52940.65000 6.12633e-16 2.25702e-17 BessellI
52940.65000 1.65044e-15 6.08045e-17 BessellV
52940.65000 2.21208e-15 8.14959e-17 BessellB
52940.65000 1.03086e-15 2.84837e-17 BessellR
52941.17411 1.91426e-15 3.17357e-17 BessellV
52941.17838 6.90558e-16 1.46286e-17 BessellI
52941.70000 6.90558e-16 1.27205e-17 BessellI
52941.70000 2.38122e-15 4.38637e-17 BessellB
52941.70000 1.11995e-15 2.06303e-17 BessellR
52941.70000 1.84332e-15 3.39551e-17 BessellV
52942.19985 7.12525e-16 1.83753e-17 BessellI
52942.20172 2.30144e-15 5.29927e-17 BessellB
52942.91000 2.42549e-15 6.70188e-17 BessellB
52942.91000 6.71738e-16 6.18694e-17 BessellI
52942.91000 1.13032e-15 5.20530e-17 BessellR
52942.91000 1.71238e-15 7.88580e-17 BessellV
52943.11267 1.97151e-15 3.08692e-17 BessellV
52943.11697 7.37225e-16 1.62962e-17 BessellI
52943.11882 2.38122e-15 5.48297e-17 BessellB
52944.21326 1.96607e-15 3.80273e-17 BessellV
52944.21785 1.16520e-15 4.82934e-17 BessellR
52944.21963 7.01455e-16 1.74437e-17 BessellI
52944.22148 2.18776e-15 5.44051e-17 BessellB
52944.38000 1.79308e-15 3.30298e-17 BessellV
52944.38000 7.50240e-16 1.38199e-17 BessellI
52944.38000 1.10969e-15 2.04412e-17 BessellR
52944.38000 2.25320e-15 1.03764e-16 BessellB
52945.69000 1.80967e-15 5.00031e-17 BessellV
52945.69000 7.57182e-16 4.18434e-17 BessellI
52945.69000 2.01744e-15 3.71626e-16 BessellB
52945.69000 1.20559e-15 3.33117e-17 BessellR
52954.74000 1.08044e-15 4.97560e-17 BessellV
52954.74000 6.71738e-16 3.71216e-17 BessellI
52954.74000 6.68036e-16 1.53821e-16 BessellB
52954.74000 8.73373e-16 4.02203e-17 BessellR
52955.34000 6.07016e-16 1.11816e-17 BessellI
52955.34000 1.09044e-15 3.01298e-17 BessellV
52955.34000 8.65366e-16 3.18813e-17 BessellR
52955.34000 7.46105e-16 4.81032e-17 BessellB
52955.74000 6.14894e-16 5.66338e-17 BessellB
52955.74000 7.81988e-16 5.76190e-17 BessellR
52955.74000 9.32395e-16 2.57630e-17 BessellV
52956.24000 6.93106e-16 6.38375e-17 BessellB
52956.24000 8.65366e-16 2.39110e-17 BessellR
52956.24000 6.29796e-16 1.74019e-17 BessellI
52956.24000 1.04136e-15 5.75476e-17 BessellV
52956.74000 5.92652e-16 2.18341e-17 BessellB
52956.74000 8.34065e-16 8.45023e-17 BessellR
52956.74000 9.67386e-16 2.67299e-17 BessellV
52957.17000 7.33162e-16 2.02580e-17 BessellR
