MJD flux flux_err filter
53034.20000 2.18125e-15 4.40031e-18 BessellB
53036.27000 2.39169e-15 8.09151e-18 BessellB
53040.42000 1.95301e-15 5.21443e-18 BessellB
53041.42000 1.84801e-15 1.10609e-17 BessellB
53042.42000 2.02630e-15 8.13518e-18 BessellB
53043.41000 1.83107e-15 7.30186e-18 BessellB
53048.40000 2.69591e-15 5.51712e-18 BessellB
53052.39000 1.95301e-15 2.60722e-18 BessellB
53053.39000 1.79765e-15 4.77322e-18 BessellB
53065.03000 1.44113e-15 1.88563e-18 BessellB
53072.12000 1.33877e-15 3.48657e-18 BessellB
53075.06000 1.31433e-15 2.56413e-18 BessellB
53078.34000 1.68541e-15 1.11403e-18 BessellB
53087.52000 1.30228e-15 3.38546e-18 BessellB
53094.04000 1.15533e-15 5.21543e-18 BessellB
53100.98000 1.05367e-15 2.02648e-18 BessellB
53110.01000 9.00958e-16 1.71556e-18 BessellB
53115.02000 7.56318e-16 4.27298e-18 BessellB
53116.47000 1.02495e-15 6.55923e-19 BessellB
53119.33000 7.91963e-16 4.98592e-19 BessellB
53121.33000 8.68370e-16 1.09977e-18 BessellB
#53122.30000 6.34899e-16 3.94225e-19 BessellB
#53123.29000 6.83447e-16 4.26320e-19 BessellB
53124.29000 7.56318e-16 9.49551e-19 BessellB
#53129.99000 2.48144e-16 1.74707e-18 BessellB
53130.34000 3.58678e-16 8.60352e-19 BessellB
53143.94000 1.22097e-16 6.87745e-19 BessellB
53159.99000 1.52302e-16 3.47478e-19 BessellB
#53206.90000 1.01556e-16 2.54776e-18 BessellB
#53247.97000 1.02495e-16 6.86040e-19 BessellB
#53271.15000 6.58726e-17 1.07575e-19 BessellB
53034.20000 2.21544e-15 6.19696e-18 BessellV
53036.27000 2.59096e-15 5.49566e-18 BessellV
53040.42000 2.23594e-15 3.12916e-18 BessellV
53041.42000 2.40691e-15 5.07883e-18 BessellV
53042.42000 2.29858e-15 6.44612e-18 BessellV
53043.41000 2.38485e-15 6.70535e-18 BessellV
53048.40000 3.08646e-15 8.83821e-18 BessellV
53050.40000 2.61493e-15 3.70009e-18 BessellV
53052.39000 2.68819e-15 3.81120e-18 BessellV
53053.39000 2.31985e-15 8.13747e-18 BessellV
53065.03000 2.29858e-15 3.22306e-18 BessellV
53072.12000 2.19513e-15 3.06810e-18 BessellV
53075.06000 2.27751e-15 3.19145e-18 BessellV
53078.34000 2.71307e-15 5.77346e-18 BessellV
53087.52000 2.07711e-15 1.01219e-17 BessellV
53094.04000 2.17501e-15 4.55702e-18 BessellV
53100.98000 2.02051e-15 2.80777e-18 BessellV
