# MJD flux flux_err filter
53459.80000 5.25291e-17 9.53107e-18 SDSS_r
53466.80000 1.85695e-16 1.06039e-17 SDSS_r
53467.70000 3.73938e-16 5.51056e-18 BessellB
53467.70000 1.25661e-16 1.73607e-18 SDSS_i
53467.70000 3.65426e-16 5.04855e-18 SDSS_g
53467.70000 2.10281e-16 2.90514e-18 SDSS_r
53467.70000 2.64972e-16 3.66072e-18 BessellV
53468.60000 1.30617e-16 2.04515e-18 SDSS_i
53468.60000 2.21004e-16 3.05328e-18 SDSS_r
53468.60000 2.82098e-16 3.89733e-18 BessellV
53468.60000 4.00682e-16 5.53563e-18 SDSS_g
53468.60000 4.11908e-16 6.07010e-18 BessellB
53471.23516 2.58702e-16 5.00374e-18 SDSS_r
53471.23685 1.62032e-16 4.47710e-18 SDSS_i
53471.23865 3.37287e-16 6.83437e-18 BessellV
53471.24492 5.34072e-16 9.83797e-18 BessellB
53472.24146 3.63413e-16 6.02488e-18 BessellV
53472.24774 5.79162e-16 1.01351e-17 BessellB
53472.60000 5.61306e-16 8.27172e-18 BessellB
53472.60000 5.38022e-16 7.43305e-18 SDSS_g
53472.60000 2.92954e-16 4.04731e-18 SDSS_r
53472.60000 3.76357e-16 5.19956e-18 BessellV
53472.60000 1.79804e-16 2.48409e-18 SDSS_i
53473.20290 2.84971e-16 5.51182e-18 SDSS_r
53473.20460 1.85012e-16 5.45288e-18 SDSS_i
53473.20638 3.88687e-16 6.80189e-18 BessellV
53473.21264 5.98136e-16 1.10181e-17 BessellB
53473.21631 2.90804e-16 5.35680e-18 SDSS_r
53473.21801 1.80468e-16 4.15543e-18 SDSS_i
53473.21980 3.77051e-16 6.59826e-18 BessellV
53473.22608 6.04784e-16 1.11405e-17 BessellB
53473.60000 3.10170e-16 4.28516e-18 SDSS_r
53473.60000 5.70164e-16 7.87711e-18 SDSS_g
53473.60000 3.98107e-16 5.50005e-18 BessellV
53473.60000 1.93019e-16 2.66666e-18 SDSS_i
53473.60000 5.87219e-16 8.65358e-18 BessellB
53474.20131 2.98951e-16 4.95619e-18 SDSS_r
53474.20300 1.93197e-16 3.91470e-18 SDSS_i
53474.20478 3.95185e-16 6.91559e-18 BessellV
53474.21104 6.17163e-16 1.08001e-17 BessellB
53474.21470 3.05351e-16 5.06230e-18 SDSS_r
53474.21638 1.92486e-16 5.49588e-18 SDSS_i
53474.21816 3.95913e-16 6.19904e-18 BessellV
53474.22442 5.97585e-16 1.04575e-17 BessellB
53474.60000 2.03236e-16 2.80781e-18 SDSS_i
53474.60000 5.95388e-16 8.77396e-18 BessellB
53474.60000 3.25087e-16 4.49125e-18 SDSS_r
53474.60000 5.86138e-16 8.09780e-18 SDSS_g
53474.60000 4.19179e-16 5.79118e-18 BessellV
53475.60000 5.99791e-16 8.83885e-18 BessellB
53475.60000 2.11836e-16 2.92662e-18 SDSS_i
53475.60000 5.82908e-16 8.05317e-18 SDSS_g
53475.60000 3.41350e-16 4.71593e-18 SDSS_r
53475.60000 4.24229e-16 5.86094e-18 BessellV
53475.80000 3.38221e-16 1.93138e-17 SDSS_r
53476.21237 3.22998e-16 5.94985e-18 SDSS_r
53476.21406 2.12227e-16 4.49576e-18 SDSS_i
53476.21587 4.32514e-16 7.56884e-18 BessellV
53476.22215 5.89929e-16 1.14102e-17 BessellB
53476.60000 2.12618e-16 2.93743e-18 SDSS_i
53476.60000 5.76501e-16 8.49563e-18 BessellB
53476.60000 5.69115e-16 7.86261e-18 SDSS_g
53476.60000 3.42295e-16 4.72897e-18 SDSS_r
53476.60000 4.20727e-16 5.81255e-18 BessellV
53476.70000 3.36047e-16 1.02139e-17 SDSS_r
53477.18966 3.32660e-16 5.20864e-18 SDSS_r
53477.19134 2.15973e-16 4.17729e-18 SDSS_i
53477.19315 4.04017e-16 5.95382e-18 BessellV
53477.19942 5.55648e-16 1.02354e-17 BessellB
53477.20295 3.31742e-16 5.19427e-18 SDSS_r
53477.20463 2.10863e-16 4.27266e-18 SDSS_i
53477.20631 4.06256e-16 7.48352e-18 BessellV
53477.21258 5.67022e-16 1.09672e-17 BessellB
53477.60000 4.14954e-16 5.73280e-18 BessellV
53477.60000 5.52077e-16 7.62723e-18 SDSS_g
53477.60000 5.55137e-16 8.18080e-18 BessellB
53477.60000 3.53509e-16 4.88390e-18 SDSS_r
53477.60000 2.25320e-16 3.11291e-18 SDSS_i
53478.16307 3.43558e-16 7.59429e-18 SDSS_r
53478.16473 2.23872e-16 5.36104e-18 SDSS_i
53478.60000 5.33089e-16 7.85589e-18 BessellB
53478.60000 3.62410e-16 5.00688e-18 SDSS_r
53478.60000 2.29932e-16 3.17663e-18 SDSS_i
53478.60000 5.46512e-16 7.55035e-18 SDSS_g
53478.60000 4.21891e-16 5.82864e-18 BessellV
53479.50000 5.48529e-16 7.57822e-18 SDSS_g
53479.50000 4.45862e-16 6.15981e-18 BessellV
53479.50000 3.78094e-16 5.22356e-18 SDSS_r
53479.50000 2.43893e-16 3.36951e-18 SDSS_i
53479.50000 5.40008e-16 7.95785e-18 BessellB
53480.50000 2.51652e-16 3.47670e-18 SDSS_i
53480.50000 4.59198e-16 6.34405e-18 BessellV
53480.50000 3.86189e-16 5.33540e-18 SDSS_r
53480.50000 5.61824e-16 7.76188e-18 SDSS_g
53480.50000 5.42500e-16 7.99458e-18 BessellB
53481.50000 2.61337e-16 3.61050e-18 SDSS_i
53481.50000 4.67304e-16 6.45605e-18 BessellV
53481.50000 4.10771e-16 5.67501e-18 SDSS_r
53481.50000 5.76501e-16 7.96465e-18 SDSS_g
53481.50000 5.47520e-16 8.06855e-18 BessellB
53482.19314 4.14572e-16 8.40037e-18 SDSS_r
53482.19482 2.70396e-16 7.72036e-18 SDSS_i
53482.19648 4.75992e-16 1.00833e-17 BessellV
53482.20677 4.19952e-16 8.12260e-18 SDSS_r
53482.20846 2.67917e-16 5.18197e-18 SDSS_i
53482.21025 4.96592e-16 1.32640e-17 BessellV
53482.22008 4.11529e-16 8.71773e-18 SDSS_r
53482.22176 2.63755e-16 5.34439e-18 SDSS_i
53482.22357 5.20955e-16 9.11652e-18 BessellV
53482.23350 4.15336e-16 7.26824e-18 SDSS_r
53482.23517 2.51420e-16 6.25230e-18 SDSS_i
53482.23696 4.97050e-16 1.09872e-17 BessellV
53482.50000 4.39744e-16 1.05305e-17 SDSS_r
53482.50000 5.94840e-16 1.64360e-17 SDSS_g
53482.50000 5.79696e-16 1.33480e-17 BessellB
53482.50000 2.87343e-16 5.29305e-18 SDSS_i
53482.50000 4.95678e-16 1.00438e-17 BessellV
53483.26834 4.54569e-16 1.46536e-17 SDSS_r
53483.27005 2.96483e-16 9.01135e-18 SDSS_i
53483.27183 5.19996e-16 1.91574e-17 BessellV
53483.50000 5.23359e-16 7.23048e-18 BessellV
53483.50000 2.87872e-16 3.97710e-18 SDSS_i
53483.50000 6.47441e-16 8.94472e-18 SDSS_g
53483.50000 6.17732e-16 9.10323e-18 BessellB
53483.50000 4.48332e-16 6.19394e-18 SDSS_r
53484.60000 6.35038e-16 9.35827e-18 BessellB
53484.60000 4.70760e-16 6.50380e-18 SDSS_r
53484.60000 3.05915e-16 4.22636e-18 SDSS_i
53484.60000 5.51569e-16 7.62021e-18 BessellV
53484.60000 6.81710e-16 9.41818e-18 SDSS_g
53485.18927 4.90230e-16 1.08365e-17 SDSS_r
53485.19096 3.12752e-16 6.33721e-18 SDSS_i
53485.20661 4.91587e-16 9.50813e-18 SDSS_r
53485.20829 2.98676e-16 4.40145e-18 SDSS_i
53486.21230 5.21435e-16 8.64467e-18 SDSS_r
53486.21579 6.39735e-16 1.11951e-17 BessellV
53489.50000 9.77237e-16 1.44011e-17 BessellB
53489.50000 7.67008e-16 1.05966e-17 BessellV
53489.50000 4.16869e-16 5.75926e-18 SDSS_i
53489.50000 6.53431e-16 9.02749e-18 SDSS_r
53489.50000 9.93574e-16 1.37267e-17 SDSS_g
53490.23475 8.48790e-16 2.26712e-17 BessellV
53490.24553 8.52707e-16 1.25660e-17 BessellV
53490.24799 6.93106e-16 1.08524e-17 SDSS_r
53490.24961 4.22669e-16 8.56443e-18 SDSS_i
53490.25125 1.13868e-15 1.99264e-17 BessellB
53490.50000 8.30233e-16 1.14701e-17 BessellV
53490.50000 4.39744e-16 6.07529e-18 SDSS_i
53490.50000 1.09044e-15 1.60693e-17 BessellB
53490.50000 1.10764e-15 1.53027e-17 SDSS_g
53490.50000 7.04693e-16 9.73570e-18 SDSS_r
53491.50000 7.51623e-16 1.03840e-17 SDSS_r
53491.50000 9.03650e-16 1.24844e-17 BessellV
53491.50000 4.57509e-16 7.16349e-18 SDSS_i
53491.50000 1.20670e-15 1.66712e-17 SDSS_g
53491.50000 1.20226e-15 1.77172e-17 BessellB
53492.16910 7.55092e-16 1.25184e-17 SDSS_r
53492.17079 4.55407e-16 8.38891e-18 SDSS_i
53492.17258 9.47109e-16 1.48294e-17 BessellV
53492.18260 1.26824e-15 1.98575e-17 BessellB
53492.18612 7.67715e-16 1.27277e-17 SDSS_r
53492.18781 4.66445e-16 7.73300e-18 SDSS_i
53492.18961 9.63829e-16 1.59790e-17 BessellV
53492.19964 1.27292e-15 2.11032e-17 BessellB
53493.13889 7.77678e-16 1.36091e-17 SDSS_r
53493.14057 4.88427e-16 8.54731e-18 SDSS_i
53493.14235 9.89008e-16 1.63964e-17 BessellV
53493.15237 1.33536e-15 2.21385e-17 BessellB
53493.15641 7.89951e-16 1.30963e-17 SDSS_r
53493.15810 4.84842e-16 8.03800e-18 SDSS_i
53493.15990 9.92659e-16 1.55426e-17 BessellV
53493.16990 1.34772e-15 2.23433e-17 BessellB
53493.50000 9.89008e-16 1.36637e-17 BessellV
53493.50000 1.31220e-15 1.81287e-17 SDSS_g
53493.50000 1.34772e-15 3.10324e-17 BessellB
53494.14829 8.08351e-16 1.26568e-17 SDSS_r
53494.14999 5.01649e-16 8.31665e-18 SDSS_i
53494.15177 1.01018e-15 1.58170e-17 BessellV
53494.16177 1.36396e-15 2.13562e-17 BessellB
53494.16713 4.97050e-16 8.24040e-18 SDSS_i
53494.16891 1.01578e-15 1.59047e-17 BessellV
53494.17895 1.37911e-15 2.15936e-17 BessellB
53495.16038 1.42824e-15 2.49936e-17 BessellB
53495.16414 8.44112e-16 1.39942e-17 SDSS_r
53495.16763 1.06365e-15 1.76339e-17 BessellV
53495.50000 1.40475e-15 2.07012e-17 BessellB
53495.50000 1.04040e-15 1.43736e-17 BessellV
53495.50000 1.40605e-15 1.94253e-17 SDSS_g
53496.13176 8.57433e-16 1.34253e-17 SDSS_r
53496.13344 5.39511e-16 8.44743e-18 SDSS_i
53496.13523 1.07053e-15 1.67620e-17 BessellV
53496.15645 8.67761e-16 1.43863e-17 SDSS_r
53496.15813 5.47016e-16 9.57259e-18 SDSS_i
53496.15994 1.06365e-15 1.66542e-17 BessellV
53496.16993 1.44278e-15 2.39193e-17 BessellB
53496.50000 1.04520e-15 1.44400e-17 BessellV
53496.50000 1.44145e-15 1.99144e-17 SDSS_g
53496.50000 1.44411e-15 2.12812e-17 BessellB
53497.14638 8.78213e-16 1.37507e-17 SDSS_r
53497.14807 5.31129e-16 1.22297e-17 SDSS_i
53497.14987 1.09245e-15 1.81112e-17 BessellV
53497.15987 1.47231e-15 2.44089e-17 BessellB
53497.16389 8.76597e-16 1.45328e-17 SDSS_r
53497.16557 5.14280e-16 1.42101e-17 SDSS_i
53497.16735 1.08543e-15 1.69951e-17 BessellV
53497.17735 1.47639e-15 2.58362e-17 BessellB
53497.50000 1.06856e-15 1.47627e-17 BessellV
53497.50000 9.06985e-16 1.25305e-17 SDSS_r
53497.50000 1.48047e-15 2.18170e-17 BessellB
53497.50000 1.45211e-15 2.00617e-17 SDSS_g
53498.13703 8.92894e-16 1.39806e-17 SDSS_r
53498.13870 5.74381e-16 1.00515e-17 SDSS_i
53498.14050 1.09648e-15 2.22177e-17 BessellV
53498.15053 1.47911e-15 2.31593e-17 BessellB
53498.15413 8.89611e-16 1.39292e-17 SDSS_r
53498.15581 5.66500e-16 9.39179e-18 SDSS_i
53498.15759 1.09749e-15 1.71840e-17 BessellV
53498.16762 1.46420e-15 2.42744e-17 BessellB
53499.13255 8.87156e-16 1.47078e-17 SDSS_r
53499.13421 5.73852e-16 9.51367e-18 SDSS_i
53499.13601 1.07944e-15 1.69015e-17 BessellV
53499.14599 1.44411e-15 2.26112e-17 BessellB
53499.14964 8.87156e-16 1.47078e-17 SDSS_r
53499.15132 5.60790e-16 9.81362e-18 SDSS_i
53499.15310 1.10459e-15 1.83125e-17 BessellV
53499.16310 1.44811e-15 2.40076e-17 BessellB
53499.40000 1.08443e-15 1.49819e-17 BessellV
53499.40000 1.44944e-15 2.00247e-17 SDSS_g
53499.40000 1.43615e-15 2.11639e-17 BessellB
53500.50000 1.41906e-15 2.09120e-17 BessellB
53500.50000 1.40475e-15 1.94074e-17 SDSS_g
53500.50000 1.05682e-15 1.46005e-17 BessellV
53501.15575 1.07152e-15 1.77643e-17 BessellV
53501.15823 8.94541e-16 1.64780e-17 SDSS_r
53501.15992 5.91562e-16 9.80727e-18 SDSS_i
53501.50000 1.36647e-15 1.88785e-17 SDSS_g
53501.50000 1.05682e-15 1.46005e-17 BessellV
53501.50000 1.34524e-15 1.98242e-17 BessellB
53502.17749 1.05003e-15 1.64409e-17 BessellV
53502.17997 8.77405e-16 1.53543e-17 SDSS_r
53502.18166 5.94840e-16 9.31375e-18 SDSS_i
53502.50000 1.03467e-15 1.42944e-17 BessellV
53502.50000 1.31099e-15 1.93195e-17 BessellB
53502.50000 1.33291e-15 1.84148e-17 SDSS_g
53503.17371 1.02141e-15 1.50520e-17 BessellV
53503.17616 8.59805e-16 1.34625e-17 SDSS_r
53503.17784 5.87219e-16 9.73527e-18 SDSS_i
53503.17960 1.24968e-15 2.07180e-17 BessellB
53503.50000 1.01672e-15 1.40465e-17 BessellV
53503.50000 1.25661e-15 1.85181e-17 BessellB
53503.50000 1.29300e-15 1.78635e-17 SDSS_g
53504.50000 1.25314e-15 1.73128e-17 SDSS_g
53504.50000 1.00184e-15 1.38410e-17 BessellV
53504.50000 1.19674e-15 1.76358e-17 BessellB
53506.50000 1.14710e-15 1.58477e-17 SDSS_g
53506.50000 9.54113e-16 1.31816e-17 BessellV
53506.50000 1.06463e-15 1.56890e-17 BessellB
53508.16858 8.37144e-16 4.24071e-17 SDSS_r
53508.17027 5.79162e-16 4.26742e-17 SDSS_i
53508.70000 5.77032e-16 7.97199e-18 SDSS_i
53508.70000 7.96526e-16 1.10044e-17 SDSS_r
53508.70000 8.98669e-16 1.24156e-17 BessellV
53508.70000 9.47109e-16 1.39571e-17 BessellB
53509.15366 7.69839e-16 1.27629e-17 SDSS_r
53509.15535 5.49035e-16 1.01136e-17 SDSS_i
53509.15714 8.49572e-16 1.33022e-17 BessellV
53509.16714 8.48008e-16 6.48267e-17 BessellB
53509.17348 7.86321e-16 1.59330e-17 SDSS_r
53509.17698 8.79832e-16 1.53968e-17 BessellV
53509.50000 8.89611e-16 1.31098e-17 BessellB
53509.50000 8.75790e-16 1.20995e-17 BessellV
53509.50000 5.74910e-16 7.94268e-18 SDSS_i
53509.50000 8.07607e-16 1.11575e-17 SDSS_r
53510.15030 7.59277e-16 1.46857e-17 SDSS_r
53510.15199 5.55648e-16 9.21188e-18 SDSS_i
53510.15380 8.30998e-16 1.60729e-17 BessellV
53510.16382 8.32530e-16 1.68694e-17 BessellB
53510.50000 8.36373e-16 1.77175e-17 BessellB
53510.50000 8.42558e-16 1.31924e-17 BessellV
53510.50000 7.87771e-16 1.08835e-17 SDSS_r
53510.50000 5.63897e-16 7.79053e-18 SDSS_i
53511.15421 7.37225e-16 1.29012e-17 SDSS_r
53511.15766 8.06121e-16 1.63342e-17 BessellV
53511.16765 7.05342e-16 2.20879e-17 BessellB
53511.50000 5.49035e-16 7.58520e-18 SDSS_i
53511.50000 7.58578e-16 1.11788e-17 BessellB
53511.50000 7.97260e-16 1.10145e-17 BessellV
53511.50000 7.53009e-16 1.04032e-17 SDSS_r
53512.15308 7.18456e-16 1.45579e-17 SDSS_r
53512.15478 5.23842e-16 1.10970e-17 SDSS_i
53512.15657 7.76962e-16 1.57434e-17 BessellV
53512.16661 6.87385e-16 1.77269e-17 BessellB
53512.70000 6.68036e-16 1.10751e-17 BessellB
53512.70000 5.52077e-16 7.62723e-18 SDSS_i
53512.70000 7.48169e-16 1.03363e-17 BessellV
53512.70000 8.12831e-16 1.12297e-17 SDSS_g
53512.70000 7.33162e-16 1.01290e-17 SDSS_r
53513.15544 6.57658e-16 1.27202e-17 SDSS_r
53513.15712 5.24807e-16 8.70058e-18 SDSS_i
53513.17255 6.95665e-16 1.98627e-17 SDSS_r
53513.17425 5.62341e-16 1.86457e-17 SDSS_i
53513.50000 5.27716e-16 7.29066e-18 SDSS_i
53513.50000 7.02102e-16 9.69989e-18 SDSS_r
53513.50000 6.62521e-16 9.76328e-18 BessellB
53513.50000 7.17134e-16 9.90756e-18 BessellV
53516.15816 5.80230e-16 9.08499e-18 SDSS_r
53516.16166 5.91562e-16 9.26242e-18 BessellV
53516.17168 4.92947e-16 8.62639e-18 BessellB
53516.40000 5.05825e-16 7.45411e-18 BessellB
53516.40000 6.12633e-16 8.46383e-18 BessellV
53516.40000 6.14894e-16 8.49507e-18 SDSS_g
53517.40000 5.71742e-16 7.89891e-18 BessellV
53517.40000 4.49159e-16 6.61905e-18 BessellB
53517.40000 5.67545e-16 1.51591e-17 SDSS_g
53520.50000 4.58353e-16 6.33238e-18 BessellV
53520.50000 3.30826e-16 4.87524e-18 BessellB
53520.50000 4.35311e-16 6.01405e-18 SDSS_g
53521.40000 4.14572e-16 8.40037e-18 SDSS_g
53521.40000 4.28943e-16 5.92607e-18 BessellV
53521.40000 3.08745e-16 4.54984e-18 BessellB
53522.15679 3.77746e-16 9.39376e-18 SDSS_r
53522.15723 4.08131e-16 8.26986e-18 SDSS_r
53522.16139 2.73401e-16 6.79891e-18 BessellB
53522.17480 4.04762e-16 1.00656e-17 SDSS_r
53522.40000 3.53834e-16 4.88840e-18 SDSS_i
53522.40000 3.92645e-16 6.50951e-18 BessellV
53522.40000 2.87078e-16 6.61022e-18 BessellB
53522.40000 4.15719e-16 5.74337e-18 SDSS_r
53523.50000 2.54449e-16 4.21840e-18 BessellB
53523.50000 3.90481e-16 5.39470e-18 SDSS_r
53523.50000 3.24489e-16 4.48298e-18 SDSS_i
53523.50000 3.56123e-16 4.92002e-18 BessellV
53524.14587 3.54487e-16 7.18288e-18 SDSS_r
53524.14756 2.81579e-16 6.48359e-18 SDSS_i
53524.14938 3.40722e-16 7.53159e-18 BessellV
