MJD flux flux_err filter
53554.42000 1.08319e-15 3.47825e-18 BessellB
53559.38000 1.13424e-15 3.65298e-18 BessellB
53589.37000 9.34770e-16 3.56822e-18 BessellB
53593.43000 9.26200e-16 2.94453e-18 BessellB
53596.42000 8.68370e-16 2.74942e-18 BessellB
53599.41000 8.29287e-16 3.14165e-18 BessellB
53601.33000 8.21684e-16 2.59253e-18 BessellB
53611.08000 7.22278e-16 2.71260e-18 BessellB
53613.36000 6.89771e-16 2.15256e-18 BessellB
53614.38000 6.77181e-16 4.64386e-18 BessellB
53615.41000 6.64821e-16 2.06994e-18 BessellB
53616.43000 6.58726e-16 2.45975e-18 BessellB
53620.32000 6.40774e-16 2.38860e-18 BessellB
53629.34000 5.47904e-16 1.68562e-18 BessellB
53648.33000 4.04301e-16 1.95360e-18 BessellB
53668.27000 3.21148e-16 1.72183e-18 BessellB
53672.24000 2.79708e-16 8.26340e-19 BessellB
53693.13000 1.93511e-16 8.61647e-18 BessellB
53694.17000 1.89979e-16 9.87686e-19 BessellB
53699.14000 1.55133e-16 1.24009e-18 BessellB
#53710.22000 1.52302e-16 7.99200e-18 BessellB
#53743.11000 1.12384e-16 1.19718e-18 BessellB
53559.38000 5.88112e-16 1.12909e-18 BessellV
53562.42000 7.33602e-16 9.52411e-19 BessellV
53570.35000 8.04378e-16 1.57587e-18 BessellV
53589.37000 7.54154e-16 2.94256e-18 BessellV
53593.43000 7.40390e-16 2.88539e-18 BessellV
53596.42000 7.33602e-16 1.42862e-18 BessellV
53601.33000 7.13609e-16 1.38719e-18 BessellV
53611.08000 6.21527e-16 1.19748e-18 BessellV
53613.36000 5.93554e-16 2.28042e-18 BessellV
53614.38000 6.21527e-16 7.98319e-19 BessellV
53615.41000 5.99046e-16 1.15144e-18 BessellV
53616.43000 5.88112e-16 7.52728e-19 BessellV
53620.32000 5.99046e-16 1.91907e-18 BessellV
53629.34000 5.02875e-16 1.27450e-18 BessellV
53648.33000 4.50257e-16 2.26641e-18 BessellV
53654.32000 3.38423e-16 1.25507e-18 BessellV
53663.22000 3.17293e-16 5.86020e-19 BessellV
53668.27000 3.64301e-16 2.94065e-18 BessellV
53672.24000 2.78908e-16 1.36285e-18 BessellV
53676.13000 2.76351e-16 1.85570e-18 BessellV
53693.13000 2.61493e-16 9.54560e-19 BessellV
#53710.22000 1.87698e-16 1.23133e-18 BessellV
#53743.11000 9.76024e-17 8.40350e-19 BessellV
53554.42000 4.23945e-16 5.49081e-19 BessellR
53559.38000 4.86754e-16 9.54178e-19 BessellR
53589.37000 5.53744e-16 7.29814e-19 BessellR
53593.43000 5.48668e-16 7.22684e-19 BessellR
53596.42000 5.33715e-16 7.01712e-19 BessellR
53601.33000 5.43637e-16 7.15625e-19 BessellR
53611.08000 5.05021e-16 6.61584e-19 BessellR
53613.36000 4.82291e-16 6.29908e-19 BessellR
53614.38000 4.82291e-16 6.29908e-19 BessellR
53616.43000 4.69147e-16 9.17457e-19 BessellR
53620.32000 4.64846e-16 6.05667e-19 BessellR
53629.34000 4.08610e-16 5.27961e-19 BessellR
53648.33000 3.46186e-16 4.42564e-19 BessellR
53654.32000 3.24571e-16 4.13228e-19 BessellR
53663.22000 2.80098e-16 7.06588e-19 BessellR
53672.24000 2.50790e-16 6.28276e-19 BessellR
53676.13000 2.43955e-16 7.62622e-19 BessellR
53689.13000 1.90243e-16 1.28835e-18 BessellR
53693.13000 1.73504e-16 6.37290e-19 BessellR
53699.14000 1.70337e-16 2.08318e-19 BessellR
53554.42000 2.36313e-16 1.07636e-18 BessellI
53559.38000 2.66371e-16 1.04811e-18 BessellI
53584.43000 3.95810e-16 3.73087e-18 BessellI
53593.43000 3.77996e-16 1.77597e-18 BessellI
53599.41000 3.35341e-16 1.33972e-18 BessellI
53611.08000 3.17312e-16 1.26305e-18 BessellI
53613.36000 3.23212e-16 1.28810e-18 BessellI
53614.38000 3.29220e-16 1.53260e-18 BessellI
53615.41000 3.29220e-16 1.31366e-18 BessellI
53616.43000 3.14403e-16 1.45915e-18 BessellI
53620.32000 2.89392e-16 1.14492e-18 BessellI
53629.34000 2.73834e-16 1.61915e-18 BessellI
53654.32000 2.19526e-16 9.95134e-19 BessellI
53663.22000 1.92969e-16 1.11536e-18 BessellI
53668.27000 2.17514e-16 1.83007e-18 BessellI
53672.24000 1.85989e-16 1.19165e-18 BessellI
53676.13000 1.91200e-16 1.10448e-18 BessellI
53689.13000 1.38512e-16 7.83911e-19 BessellI
53693.13000 1.37242e-16 1.55255e-18 BessellI
53694.17000 1.29863e-16 7.31998e-19 BessellI
53699.14000 1.03154e-16 4.45809e-19 BessellI
