# MJD flux flux_err filter
53773.21 1.1921e-16 1.6094000000000002e-19 BessellB
53774.32 1.3035000000000001e-16 1.4739e-19 BessellB
53775.17 1.3499e-16 1.5294e-19 BessellB
53778.31 1.5315e-16 3.4078000000000004e-19 BessellB
53784.4 1.7136000000000001e-16 4.92e-19 BessellB
53786.38 1.9494e-16 2.3683e-19 BessellB
53795.34 2.2569e-16 1.7118e-19 BessellB
53799.25 2.4205e-16 1.5599e-19 BessellB
53804.34 2.6589e-16 1.4097e-19 BessellB
53805.29 2.7334e-16 2.0967e-19 BessellB
53818.27 3.0472e-16 2.3525e-19 BessellB
53824.23 3.036e-16 1.6222999999999998e-19 BessellB
53832.25 2.8914e-16 1.7118e-19 BessellB
53838.25 2.6032e-16 6.2796e-19 BessellB
53846.23 1.7519e-16 1.4102000000000002e-19 BessellB
53853.14 1.0672999999999999e-16 1.0740000000000001e-19 BessellB
53862.07 6.5873e-17 1.0756999999999999e-19 BessellB
53867.07 5.3593e-17 2.4811e-19 BessellB
53898.06 4.0879e-17 7.3746e-20 BessellB
53773.21 1.6171e-16 1.1255e-19 SDSS_g
53774.32 1.635e-16 1.0437999999999999e-19 SDSS_g
53775.17 1.6777e-16 9.7518e-20 SDSS_g
53778.31 1.9051000000000001e-16 2.1195999999999996e-19 SDSS_g
53786.38 2.3852000000000003e-16 1.5567999999999998e-19 SDSS_g
53795.34 2.8942000000000003e-16 1.0424000000000001e-19 SDSS_g
53799.25 3.153e-16 1.1414e-19 SDSS_g
53804.34 3.4035e-16 1.2378e-19 SDSS_g
53805.29 3.4508000000000003e-16 1.4655e-19 SDSS_g
53818.27 3.8969000000000003e-16 2.1436e-19 SDSS_g
53824.23 3.9694e-16 1.4572e-19 SDSS_g
53832.25 3.7422e-16 1.3689e-19 SDSS_g
53838.25 3.323e-16 3.2180999999999998e-19 SDSS_g
53846.23 2.4838e-16 1.1819e-19 SDSS_g
53853.14 1.5759000000000001e-16 8.2139e-20 SDSS_g
53862.07 9.8429e-17 8.8787e-20 SDSS_g
53867.07 9.194399999999999e-17 1.4975e-19 SDSS_g
53892.06 6.5997e-17 9.460799999999999e-20 SDSS_g
53898.06 6.2334e-17 6.852000000000001e-20 SDSS_g
53773.21 1.6423e-16 1.1661e-19 BessellV
53774.32 1.7197e-16 1.2243e-19 BessellV
53775.17 1.781e-16 1.0587999999999999e-19 BessellV
53778.31 2.0242e-16 2.3040999999999997e-19 BessellV
53784.4 2.3717e-16 2.2951e-19 BessellV
53786.38 2.5204e-16 1.6829999999999998e-19 BessellV
53795.34 2.9996e-16 1.2882e-19 BessellV
53799.25 3.2437999999999996e-16 1.1999e-19 BessellV
53804.34 3.5048e-16 1.5197000000000002e-19 BessellV
53805.29 3.508e-16 1.7385000000000002e-19 BessellV
53818.27 4.0019e-16 2.2495e-19 BessellV
53824.23 4.1406e-16 1.5549e-19 BessellV
53832.25 3.9908e-16 1.7445e-19 BessellV
53838.25 3.6129e-16 3.1390999999999995e-19 BessellV
53846.23 2.7712e-16 1.1844000000000003e-19 BessellV
53853.14 1.8615e-16 9.986400000000001e-20 BessellV
53862.07 1.222e-16 9.948000000000001e-20 BessellV
53867.07 1.1341e-16 1.7073000000000002e-19 BessellV
53892.06 8.6429e-17 2.3648000000000004e-19 BessellV
53898.06 7.4518e-17 7.5817e-20 BessellV
53770.67 1.811e-16 1.0927e-18 SDSS_r
53772.93 1.6867e-16 9.0838e-20 SDSS_r
53774.32 1.7423e-16 9.4388e-20 SDSS_r
53775.17 1.8077e-16 9.814699999999999e-20 SDSS_r
53778.31 2.0041e-16 1.9465999999999997e-19 SDSS_r
53786.38 2.4839000000000003e-16 1.3749e-19 SDSS_r
53795.34 2.9918e-16 1.303e-19 SDSS_r
53799.25 3.2235e-16 1.209e-19 SDSS_r
53804.34 3.4796e-16 1.0927e-19 SDSS_r
53805.29 3.5086e-16 1.5433e-19 SDSS_r
53818.27 4.0172e-16 2.0369e-19 SDSS_r
53824.23 4.1260000000000004e-16 1.5717e-19 SDSS_r
53832.25 4.0358e-16 1.791e-19 SDSS_r
53838.25 3.7664e-16 2.1397e-19 SDSS_r
53846.23 3.0615e-16 1.1445000000000002e-19 SDSS_r
53853.14 2.1873999999999998e-16 1.068e-19 SDSS_r
53862.07 1.5259e-16 9.1121e-20 SDSS_r
53867.07 1.4019e-16 9.9956e-20 SDSS_r
53892.06 1.1239e-16 1.1864e-19 SDSS_r
53898.06 1.0743e-16 9.4255e-20 SDSS_r
53773.21 1.201e-16 7.9613e-20 SDSS_i
53774.32 1.2472e-16 8.286600000000001e-20 SDSS_i
53775.17 1.2833e-16 8.5413e-20 SDSS_i
53778.31 1.4386e-16 1.3147e-19 SDSS_i
53786.38 1.7536e-16 1.0815e-19 SDSS_i
53795.34 2.1006e-16 1.0480000000000001e-19 SDSS_i
53799.25 2.2405e-16 9.820199999999998e-20 SDSS_i
53804.34 2.4386000000000003e-16 9.2105e-20 SDSS_i
53805.29 2.468e-16 1.2438e-19 SDSS_i
53818.27 2.8154e-16 1.6096e-19 SDSS_i
53824.23 2.913e-16 1.2981e-19 SDSS_i
53832.25 2.8810000000000004e-16 1.4662000000000001e-19 SDSS_i
53838.25 2.6936e-16 1.7062999999999997e-19 SDSS_i
