# MJD flux flux_err filter
53862.428 1.1355e-15 1.6240999999999999e-18 BessellU
53866.41 1.0066e-15 1.8517e-18 BessellU
53880.422 3.7168e-16 6.9578e-19 BessellU
53886.459 2.2068e-16 1.228e-18 BessellU
53891.412000000004 1.454e-16 1.6636999999999999e-18 BessellU
53894.441 1.2783e-16 5.797600000000001e-19 BessellU
53932.309 9.5097e-17 1.9123e-18 BessellU
53862.433 1.0174e-15 1.1714e-18 BessellB
53866.416 9.7522e-16 1.4309e-18 BessellB
53880.418 7.202799999999999e-16 9.0155e-19 BessellB
53886.456 5.5502e-16 7.8607e-19 BessellB
53891.405 4.7721e-16 6.4053e-19 BessellB
53894.435999999994 4.5155e-16 6.315100000000001e-19 BessellB
53899.419 3.1268e-16 1.9712999999999997e-18 BessellB
53925.418 2.9181e-16 8.297000000000001e-19 BessellB
53932.306 3.5084e-16 1.0716e-18 BessellB
53862.422999999995 6.7774e-16 7.878399999999999e-19 BessellV
53866.405999999995 7.376699999999999e-16 8.622299999999999e-19 BessellV
53880.415 7.417500000000001e-16 1.0119e-18 BessellV
53886.454000000005 7.1889e-16 6.990600000000001e-19 BessellV
53891.403 6.840099999999999e-16 7.5141e-19 BessellV
53894.434 6.490199999999999e-16 7.1057e-19 BessellV
53899.416 5.7051e-16 2.0041e-18 BessellV
53925.415 5.251199999999999e-16 8.007200000000001e-19 BessellV
53932.303 5.8541e-16 8.614100000000001e-19 BessellV
53862.42 5.9694e-16 6.985300000000001e-19 SDSS_r
53866.403 6.9427e-16 8.660600000000001e-19 SDSS_r
53880.414000000004 7.5636e-16 1.0487e-18 SDSS_r
53886.452000000005 7.29e-16 9.1231e-19 SDSS_r
53891.401 7.1044e-16 8.408600000000001e-19 SDSS_r
53894.432 6.929899999999999e-16 8.1887e-19 SDSS_r
53899.415 6.6547e-16 1.9171e-18 SDSS_r
53925.413 6.3376e-16 7.858800000000001e-19 SDSS_r
53932.302 7.0263e-16 9.695200000000002e-19 SDSS_r
53939.212 6.6669e-16 8.731100000000001e-19 SDSS_r
53862.422 4.0063000000000006e-16 5.2065e-19 SDSS_i
53866.404 4.4335000000000005e-16 6.0898e-19 SDSS_i
53880.412000000004 5.2281e-16 8.988100000000001e-19 SDSS_i
53886.45 5.2041e-16 6.192e-19 SDSS_i
53891.4 5.1185e-16 6.4215e-19 SDSS_i
53894.43 4.9333e-16 7.1491e-19 SDSS_i
53899.413 4.9698e-16 8.8431e-19 SDSS_i
53925.41 4.8522e-16 6.0661e-19 SDSS_i
53932.3 5.3597e-16 7.0997e-19 SDSS_i
53939.209 5.2667e-16 7.316800000000001e-19 SDSS_i
