# MJD flux flux_err filter
54114.49165 1.12202e-15 2.06683e-17 SDSS_i
54114.49326 1.42298e-15 1.8348599999999998e-17 SDSS_r
54114.49488 1.40088e-15 1.67733e-17 BessellV
54114.49789 8.410080000000001e-16 1.39427e-17 BessellB
54117.5038 1.2291399999999999e-15 2.1509499999999998e-17 SDSS_i
54117.50542 1.51915e-15 1.9588599999999998e-17 SDSS_r
54117.50704 1.4295500000000001e-15 1.58e-17 BessellV
54117.51005 7.537030000000001e-16 1.31895e-17 BessellB
54122.54347999999 1.17382e-15 2.3784699999999996e-17 SDSS_i
54122.545079999996 1.3652100000000001e-15 2.01185e-17 SDSS_r
54122.5467 1.1324e-15 1.46017e-17 BessellV
54122.54972 4.446309999999999e-16 1.2695100000000001e-17 BessellB
54126.446860000004 9.58517e-16 1.7656499999999998e-17 SDSS_i
54126.44847999999 1.0539e-15 1.45602e-17 SDSS_r
54126.4501 7.994660000000001e-16 1.1781400000000001e-17 BessellV
54128.45155 8.3946e-16 1.7782899999999998e-17 SDSS_i
54128.453160000005 9.34114e-16 1.4626e-17 SDSS_r
54128.454770000004 7.11869e-16 1.24574e-17 BessellV
54128.45778 2.32274e-16 7.48762e-18 BessellB
54128.49857 8.046369999999999e-16 2.00096e-17 SDSS_i
54128.5002 9.315369999999999e-16 1.54436e-17 SDSS_r
54128.50181 6.94385e-16 1.3430599999999998e-17 BessellV
54128.50483 2.13206e-16 9.818510000000002e-18 BessellB
54136.45605 4.79513e-16 1.5015999999999998e-17 SDSS_i
54136.45766 5.850590000000001e-16 1.07772e-17 SDSS_r
54136.459279999995 4.2618700000000003e-16 1.1776e-17 BessellV
54141.351520000004 4.44222e-16 9.819440000000001e-18 SDSS_i
54141.353129999996 4.67304e-16 8.608069999999999e-18 SDSS_r
54141.35472999999 3.24489e-16 9.56369e-18 BessellV
54141.35775 1.0754700000000001e-16 1.01036e-17 BessellB
54148.35258 3.43558e-16 7.277860000000001e-18 SDSS_i
54148.35419 3.8264800000000003e-16 7.40108e-18 SDSS_r
54148.35581 2.55859e-16 7.540939999999999e-18 BessellV
54150.42185 2.54449e-16 2.22638e-17 BessellV
54152.41257000001 3.10456e-16 7.148510000000001e-18 SDSS_i
54152.4142 3.43874e-16 6.3344000000000015e-18 SDSS_r
