# MJD flux flux_err filter
54150.53 5.65457e-16 1.2499300000000001e-17 BessellB
54150.53 6.1038e-16 1.3492300000000002e-17 BessellV
54153.51 1.3365999999999999e-15 1.84657e-17 BessellB
54153.51 1.0685600000000002e-15 1.4762700000000002e-17 BessellV
54154.51 5.866780000000001e-16 8.10526e-18 SDSS_i
54154.51 1.65348e-15 2.28437e-17 SDSS_g
54154.51 1.26241e-15 1.7440799999999997e-17 BessellV
54154.51 9.70063e-16 1.34019e-17 SDSS_r
54154.51 1.67186e-15 2.3097600000000003e-17 BessellB
54155.52 2.00817e-15 2.77439e-17 BessellB
54155.52 6.748389999999999e-16 9.323239999999999e-18 SDSS_i
54155.52 1.11071e-15 1.5345e-17 SDSS_r
54155.52 1.45077e-15 2.00432e-17 BessellV
54156.51 2.14585e-15 1.2648999999999999e-16 BessellB
54158.52 2.8080200000000002e-15 3.87942e-17 SDSS_g
54158.52 1.53745e-15 2.1240599999999998e-17 SDSS_r
54158.52 9.57635e-16 1.32302e-17 SDSS_i
54158.52 2.0342300000000003e-15 2.81039e-17 BessellV
54158.52 2.95121e-15 4.07725e-17 BessellB
54159.52 1.66725e-15 2.30339e-17 SDSS_r
54159.52 3.05633e-15 4.22247e-17 SDSS_g
54159.52 3.20332e-15 4.4255500000000006e-17 BessellB
54159.52 2.21208e-15 3.0560999999999996e-17 BessellV
54159.52 1.03753e-15 1.4334e-17 SDSS_i
54160.51 2.3593900000000003e-15 3.2596199999999996e-17 BessellV
54160.51 3.2180999999999996e-15 4.4459700000000004e-17 SDSS_g
54160.51 3.3790900000000002e-15 4.668390000000001e-17 BessellB
54160.51 1.13449e-15 1.56735e-17 SDSS_i
54160.51 1.79639e-15 2.4818e-17 SDSS_r
54161.5 1.20781e-15 1.6686600000000002e-17 SDSS_i
54161.5 1.90897e-15 2.6373400000000002e-17 SDSS_r
54161.5 3.4578000000000003e-15 4.77713e-17 BessellB
54161.5 3.3573799999999997e-15 4.638390000000001e-17 SDSS_g
54161.5 2.48657e-15 3.43532e-17 BessellV
54163.51 2.71894e-15 3.7563600000000006e-17 BessellV
54163.51 3.6141e-15 4.99306e-17 BessellB
54163.51 1.3601900000000001e-15 1.87917e-17 SDSS_i
54163.51 2.13796e-15 2.9537e-17 SDSS_r
54163.51 3.59418e-15 4.9655500000000005e-17 SDSS_g
54165.5 2.27405e-15 3.14172e-17 SDSS_r
54165.5 3.49945e-15 4.8346699999999996e-17 SDSS_g
54165.5 1.4736700000000001e-15 2.03595e-17 SDSS_i
54165.5 2.82098e-15 3.89733e-17 BessellV
54165.5 3.41036e-15 4.7115799999999994e-17 BessellB
54166.52 2.29721e-15 3.1737100000000003e-17 SDSS_r
54166.52 2.7771499999999998e-15 3.8367800000000003e-17 BessellV
54166.52 1.48868e-15 2.0566799999999998e-17 SDSS_i
54166.52 3.32047e-15 4.5874e-17 SDSS_g
54166.52 3.16228e-15 4.36885e-17 BessellB
54169.5 2.56094e-15 3.5380700000000005e-17 SDSS_g
54169.5 2.18978e-15 3.02529e-17 BessellB
54169.5 1.41254e-15 1.9514899999999998e-17 SDSS_i
54169.5 2.37465e-15 3.2806999999999995e-17 BessellV
54169.5 2.12618e-15 2.93743e-17 SDSS_r
54170.5 1.37911e-15 1.90532e-17 SDSS_i
54170.5 2.2866499999999998e-15 3.15913e-17 SDSS_g
54170.5 2.16372e-15 2.9892800000000005e-17 BessellV
54170.5 1.8879899999999997e-15 2.6083600000000002e-17 BessellB
54170.5 1.9897600000000002e-15 2.74895e-17 SDSS_r
54171.51 1.61287e-15 2.22827e-17 BessellB
54171.51 1.8569500000000003e-15 2.5654699999999996e-17 SDSS_r
54171.51 1.33414e-15 1.84318e-17 SDSS_i
54171.51 1.97515e-15 2.7287699999999997e-17 BessellV
54174.5 1.53038e-15 2.1143000000000002e-17 SDSS_r
54174.5 1.0568199999999999e-15 1.46005e-17 BessellB
54174.5 1.43219e-15 1.97864e-17 SDSS_g
54174.5 1.5052199999999998e-15 2.07954e-17 BessellV
54174.5 1.19344e-15 1.6488e-17 SDSS_i
54179.49 9.664960000000002e-16 1.3352600000000001e-17 SDSS_g
54179.49 1.18468e-15 1.6366900000000002e-17 SDSS_r
54179.49 1.10053e-15 1.5204300000000002e-17 BessellV
54179.49 1.0148500000000001e-15 1.40206e-17 SDSS_i
54179.49 6.5887e-16 9.10263e-18 BessellB
54185.5 8.59013e-16 1.18677e-17 BessellV
54185.5 4.88877e-16 6.7540900000000004e-18 BessellB
54185.5 9.48855e-16 1.3108900000000001e-17 SDSS_r
54185.5 7.40628e-16 1.0232100000000001e-17 SDSS_g
54185.5 8.13579e-16 1.124e-17 SDSS_i
54190.49 8.203519999999999e-16 1.13336e-17 SDSS_r
54190.49 6.56448e-16 9.06916e-18 SDSS_g
54190.49 7.112139999999999e-16 9.82578e-18 SDSS_i
54190.49 7.81268e-16 1.07936e-17 BessellV
54190.49 4.46272e-16 8.63167e-18 BessellB
54194.48 4.29734e-16 1.0290799999999999e-17 BessellB
54194.48 7.4131e-16 1.0241600000000001e-17 SDSS_r
54194.48 5.953880000000001e-16 8.225589999999999e-18 SDSS_g
54194.48 7.001639999999999e-16 9.673129999999999e-18 BessellV
54194.48 6.46249e-16 8.92826e-18 SDSS_i
54197.48 3.89404e-16 5.37981e-18 BessellB
54197.48 5.712150000000001e-16 7.89163e-18 SDSS_g
54204.47 5.88302e-16 8.127689999999999e-18 BessellV
54150.53 6.103799999999999e-17 1.3492300000000002e-17 swift_UVW1
54153.51 1.0685600000000002e-16 1.4762700000000002e-17 swift_UVW1
54154.51 1.26241e-16 1.7440799999999997e-17 swift_UVW1
54155.52 1.4507699999999998e-16 2.00432e-17 swift_UVW1
54158.52 2.0342300000000004e-16 2.81039e-17 swift_UVW1
54159.52 2.21208e-16 3.0560999999999996e-17 swift_UVW1
54160.51 2.3593900000000003e-16 3.2596199999999996e-17 swift_UVW1
54161.5 2.4865700000000003e-16 3.43532e-17 swift_UVW1
54163.51 2.71894e-16 3.7563600000000006e-17 swift_UVW1
54165.5 2.82098e-16 3.89733e-17 swift_UVW1
54166.52 2.7771499999999997e-16 3.8367800000000003e-17 swift_UVW1
54169.5 2.37465e-16 3.2806999999999995e-17 swift_UVW1
54170.5 2.16372e-16 2.9892800000000005e-17 swift_UVW1
54171.51 1.9751500000000002e-16 2.7287699999999997e-17 swift_UVW1
54174.5 1.50522e-16 2.07954e-17 swift_UVW1
54179.49 1.10053e-16 1.5204300000000002e-17 swift_UVW1
54185.5 8.59013e-17 1.18677e-17 swift_UVW1
54190.49 7.812680000000001e-17 1.07936e-17 swift_UVW1
54194.48 7.001639999999998e-17 9.673129999999999e-18 swift_UVW1
54204.47 5.88302e-17 8.127689999999999e-18 swift_UVW1
