# MJD flux flux_err filter
54284.27358 5.44132e-16 4.20000e-18 BessellB
54288.42266 3.51483e-16 7.05234e-19 BessellB
54292.33051 2.99436e-16 6.03976e-19 BessellB
54296.33090 2.05374e-16 5.12441e-19 BessellB
54307.28721 8.89415e-17 9.25347e-19 BessellB
54282.30633 2.53478e-16 7.85020e-19 BessellV
54283.46109 2.25601e-16 9.79449e-19 BessellV
54284.29520 3.42942e-16 1.86688e-18 BessellV
54288.41964 3.79717e-16 5.67323e-19 BessellV
54292.32748 3.96187e-16 5.19311e-19 BessellV
54296.32789 3.32614e-16 4.92884e-19 BessellV
54307.28420 1.34853e-16 5.08700e-19 BessellV
54313.35691 1.09643e-16 6.08232e-19 BessellV
54282.30404 2.45769e-16 6.34463e-19 SDSS_r
54283.45880 3.09804e-16 8.40292e-19 SDSS_r
54284.29287 3.21756e-16 1.20659e-18 SDSS_r
54288.41734 3.71336e-16 4.68364e-19 SDSS_r
54292.32519 3.82126e-16 4.34561e-19 SDSS_r
54296.32557 3.41073e-16 4.70690e-19 SDSS_r
54307.28188 1.61156e-16 4.15171e-19 SDSS_r
54313.35458 1.03497e-16 3.56386e-19 SDSS_r
54282.30172 1.53060e-16 3.46343e-19 SDSS_i
54284.28704 2.20324e-16 9.50902e-19 SDSS_i
54288.41501 2.41758e-16 3.42230e-19 SDSS_i
54292.32286 2.64059e-16 3.17414e-19 SDSS_i
54296.32323 2.41870e-16 3.50006e-19 SDSS_i
54307.27958 1.32234e-16 3.92748e-19 SDSS_i
54313.35228 9.08451e-17 2.71894e-19 SDSS_i
