# MJD flux flux_err filter
54282.23138 1.96076e-16 8.62389e-19 BessellB
54284.20138 1.82232e-16 6.51097e-19 BessellB
54285.19508 1.72292e-16 6.13598e-19 BessellB
54290.16657 1.16162e-16 5.54612e-19 BessellB
54292.32643 1.20222e-16 5.88638e-19 BessellB
54297.20534 9.81623e-17 4.36972e-19 BessellB
54307.24348 1.13372e-16 7.75850e-19 BessellB
54313.28980 9.96930e-17 8.18935e-19 BessellB
54281.19993 1.02466e-16 4.18756e-19 BessellV
54282.22838 1.09754e-16 4.82033e-19 BessellV
54284.19836 1.03015e-16 3.44020e-19 BessellV
54285.19207 1.09159e-16 3.21616e-19 BessellV
54290.16355 9.11634e-17 3.07527e-19 BessellV
54292.32080 1.05376e-16 5.34621e-19 BessellV
54297.20233 9.50474e-17 3.02330e-19 BessellV
54307.24846 8.13842e-17 5.50162e-19 BessellV
54313.28678 5.00380e-17 4.09384e-19 BessellV
54281.19760 8.52486e-17 3.34542e-19 SDSS_r
54282.22607 9.57915e-17 3.45068e-19 SDSS_r
54284.19605 9.46863e-17 2.55643e-19 SDSS_r
54285.18977 9.63845e-17 2.52093e-19 SDSS_r
54290.16124 8.97691e-17 2.57207e-19 SDSS_r
54292.31849 9.56064e-17 2.86043e-19 SDSS_r
54297.20000 8.79280e-17 2.51630e-19 SDSS_r
54307.24055 8.17423e-17 3.52948e-19 SDSS_r
54313.28446 3.45467e-17 4.77528e-19 SDSS_r
54281.19528 5.83206e-17 2.17236e-19 SDSS_i
54282.22376 5.53021e-17 2.49937e-19 SDSS_i
54284.19374 6.22274e-17 2.00195e-19 SDSS_i
54285.18745 6.12268e-17 2.25157e-19 SDSS_i
54290.15892 5.90720e-17 2.15076e-19 SDSS_i
54292.31619 6.65919e-17 2.13144e-19 SDSS_i
54297.19770 6.44973e-17 1.83577e-19 SDSS_i
54307.23838 6.99361e-17 3.14283e-19 SDSS_i
54313.28214 6.23421e-17 3.99364e-19 SDSS_i
