# MJD flux flux_err filter
54418.144 4.1011e-15 5.0083e-18 BessellU
54419.947 4.1365e-15 9.8653e-18 BessellU
54421.12 3.4615000000000003e-15 8.055599999999999e-18 BessellU
54429.148 2.3648000000000005e-15 7.9248e-18 BessellU
54433.407 1.6119e-15 2.1577e-17 BessellU
54436.453 1.0664000000000001e-15 9.8806e-17 BessellU
54440.305 8.4121e-16 1.1884e-16 BessellU
54443.0 8.7855e-16 3.1945999999999997e-16 BessellU
54449.0 4.8727e-16 1.8273999999999999e-16 BessellU
54451.163 4.1144e-16 1.0732e-16 BessellU
54415.323 1.8118e-15 1.6459e-16 BessellB
54416.055 2.1238000000000003e-15 9.419e-17 BessellB
54417.0 2.5044000000000002e-15 1.8646e-16 BessellB
54418.144 2.0096e-15 5.3748999999999993e-17 BessellB
54419.205 2.4215999999999997e-15 1.8306e-16 BessellB
54419.947 2.0611e-15 4.8871000000000004e-17 BessellB
54421.12 2.1755e-15 1.3689000000000002e-17 BessellB
54422.153 2.4049e-15 1.4511e-16 BessellB
54423.34099999999 2.384e-15 3.8954e-17 BessellB
54424.099 2.3916999999999998e-15 1.4358e-16 BessellB
54425.223 2.3265000000000002e-15 2.6902e-16 BessellB
54429.155999999995 1.9329e-15 5.664000000000001e-17 BessellB
54431.22900000001 2.0049e-15 1.2091e-16 BessellB
54433.407 1.5716e-15 1.1995e-17 BessellB
54436.454000000005 1.3495999999999999e-15 2.5811e-17 BessellB
54437.29 1.6125e-15 1.4315e-17 BessellB
54438.89 1.4148e-15 2.3205e-17 BessellB
54440.307 1.2989e-15 1.2658e-17 BessellB
54443.0 1.1342e-15 2.3248e-17 BessellB
54448.208 8.756000000000001e-16 3.0064999999999995e-17 BessellB
54449.0 8.216799999999999e-16 5.1995e-17 BessellB
54451.165 7.6074e-16 1.4023e-17 BessellB
54452.212999999996 7.3266e-16 5.563600000000001e-17 BessellB
54454.2 6.6421e-16 1.9591e-16 BessellB
54457.238 6.3198e-16 1.4475e-16 BessellB
54458.227999999996 5.4891e-16 1.2621e-16 BessellB
54459.0 5.479e-16 1.3861000000000002e-16 BessellB
54461.746 4.9722e-16 2.2826e-17 BessellB
54462.965 4.3471e-16 3.221e-17 BessellB
54468.148 4.2237999999999997e-16 2.747e-17 BessellB
54471.195 3.63e-16 4.6856999999999996e-17 BessellB
54473.600999999995 2.7234e-16 3.0934e-17 BessellB
54474.89 3.489e-16 1.4514e-17 BessellB
54476.9 2.9021e-16 3.1548000000000005e-17 BessellB
54481.11 2.7637999999999997e-16 1.0471999999999999e-16 BessellB
54491.153 2.1355e-16 6.0869e-17 BessellB
54415.318 8.4151e-16 1.0518e-16 BessellV
54416.053 1.0712e-15 5.606100000000001e-17 BessellV
54417.0 1.2287e-15 6.0869e-17 BessellV
54418.145 1.2126e-15 1.1442000000000001e-17 BessellV
54419.2 1.2784e-15 2.3815999999999997e-17 BessellV
54419.949 1.2413e-15 3.3461000000000004e-17 BessellV
54421.122 1.165e-15 1.2392e-17 BessellV
