# MJD flux flux_err filter
54559.48417 3.59418e-16 6.28969e-18 BessellI
54559.48417 6.13197e-16 1.07307e-17 SDSS_i
54559.48649 7.50240e-16 1.17469e-17 BessellR
54559.48649 9.79941e-16 1.53435e-17 SDSS_r
54559.48880 1.08243e-15 1.69482e-17 BessellV
54559.49182 9.37562e-16 2.15882e-17 BessellB
54563.48803 3.63078e-16 5.68492e-18 BessellI
54563.48803 6.19441e-16 9.69895e-18 SDSS_i
54563.49034 1.01953e-15 1.59634e-17 SDSS_r
54563.49034 7.80549e-16 1.22215e-17 BessellR
54563.49264 1.15027e-15 1.90699e-17 BessellV
54563.49567 1.35894e-15 2.62842e-17 BessellB
54566.43440 4.10771e-16 7.18835e-18 BessellI
54566.43440 7.00810e-16 1.22639e-17 SDSS_i
54566.43671 1.15878e-15 1.81436e-17 SDSS_r
54566.43671 8.87156e-16 1.38907e-17 BessellR
54566.43902 1.38166e-15 2.03608e-17 BessellV
54566.44204 1.72663e-15 2.70349e-17 BessellB
54571.48084 4.69894e-16 9.08856e-18 BessellI
54571.48084 8.01678e-16 1.55058e-17 SDSS_i
54571.48315 9.78138e-16 1.53153e-17 BessellR
54571.48315 1.27761e-15 2.00044e-17 SDSS_r
54571.48546 1.52055e-15 2.38081e-17 BessellV
54571.48848 1.54882e-15 2.56772e-17 BessellB
54572.48365 4.67304e-16 6.88645e-18 BessellI
54572.48365 7.97260e-16 1.17489e-17 SDSS_i
54572.48595 1.25893e-15 1.73927e-17 SDSS_r
54572.48595 9.63829e-16 1.33158e-17 BessellR
54572.48828 1.42298e-15 1.96593e-17 BessellV
54572.49130 1.43615e-15 2.51321e-17 BessellB
54573.33558 8.01678e-16 1.40291e-17 SDSS_i
54573.33558 4.69894e-16 8.22298e-18 BessellI
54573.34022 1.30617e-15 2.64666e-17 BessellV
54574.44503 4.37321e-16 8.05574e-18 BessellI
54574.44503 7.46105e-16 1.37438e-17 SDSS_i
54574.44736 8.67761e-16 1.35870e-17 BessellR
54574.44736 1.13344e-15 1.77470e-17 SDSS_r
54574.44966 1.16520e-15 1.82442e-17 BessellV
54574.45268 1.01018e-15 2.32603e-17 BessellB
54579.29846 5.30640e-16 1.02635e-17 SDSS_i
54579.29846 3.11028e-16 6.01582e-18 BessellI
54579.30078 5.64417e-16 8.83740e-18 BessellR
54579.30078 7.37225e-16 1.15432e-17 SDSS_r
54579.30309 6.95665e-16 1.53775e-17 BessellV
54579.30609 3.81241e-16 2.17704e-17 BessellB
54586.29351 2.18978e-16 4.43709e-18 BessellI
54586.29351 3.73594e-16 7.57004e-18 SDSS_i
54586.29582 4.55827e-16 7.97681e-18 SDSS_r
54586.29582 3.48980e-16 6.10702e-18 BessellR
54586.29814 4.33311e-16 9.97736e-18 BessellV
54586.30115 2.32702e-16 1.28596e-17 BessellB
54587.30436 3.62744e-16 6.34789e-18 SDSS_i
54587.30436 2.12618e-16 3.72074e-18 BessellI
54587.30668 4.50402e-16 8.71154e-18 SDSS_r
54587.30668 3.44826e-16 6.66953e-18 BessellR
54587.30901 4.18023e-16 9.24032e-18 BessellV
54590.43620 3.69828e-16 1.77125e-17 BessellV
54590.44020 3.21810e-16 8.29915e-18 SDSS_i
