# MJD flux flux_err filter
54914.5 4.86183e-16 2.68675e-17 BessellB
54914.5 6.160269999999999e-16 3.4042899999999996e-17 SDSS_g
54914.5 2.87607e-16 1.32448e-17 SDSS_i
54914.5 4.10771e-16 1.135e-17 SDSS_r
54914.5 2.6037499999999997e-16 1.91852e-17 BessellI
54914.5 2.17571e-16 1.6031199999999998e-17 SDSS_z
54914.5 6.042269999999999e-16 3.3390799999999996e-17 BessellV
54914.5 3.86545e-16 1.06806e-17 BessellR
54914.6 3.2719e-16 3.0135300000000003e-17 SDSS_i
54914.6 4.50402e-16 4.14835e-17 SDSS_r
54914.6 5.33089e-16 4.90993e-17 BessellB
54914.6 6.1038e-16 5.621800000000001e-17 SDSS_g
54915.6 6.57052e-16 1.8155e-17 SDSS_r
54915.6 4.68598e-16 2.15797e-17 SDSS_i
54915.6 8.65366e-16 7.97032e-17 BessellV
54915.6 8.527070000000001e-16 4.13891e-15 BessellB
54915.6 8.66164e-16 2.3933e-17 SDSS_g
54916.5 7.571819999999999e-16 2.0921700000000002e-17 BessellR
54916.5 8.42558e-16 2.3280700000000003e-17 SDSS_r
54916.5 6.00897e-16 1.66034e-17 SDSS_i
54916.5 1.01205e-15 3.7285100000000005e-17 BessellV
54916.5 9.880980000000002e-16 3.64029e-17 BessellB
54916.5 4.3013000000000005e-16 2.7731500000000004e-17 SDSS_z
54916.5 1.06072e-15 4.88479e-17 SDSS_g
54916.5 5.44001e-16 2.5052199999999997e-17 BessellI
54917.5 1.1035700000000001e-15 3.0492800000000005e-17 BessellB
54917.5 7.15814e-16 1.9778699999999998e-17 SDSS_i
54917.5 1.01298e-15 2.79896e-17 SDSS_r
54917.5 6.24597e-16 2.87638e-17 BessellI
54917.5 5.72269e-16 3.16247e-17 SDSS_z
54917.5 9.18756e-16 2.5386199999999998e-17 BessellR
54917.5 1.21787e-15 4.48679e-17 SDSS_g
54917.5 1.18359e-15 4.3604899999999995e-17 BessellV
54917.7 7.027489999999999e-16 2.58902e-17 SDSS_i
54917.7 1.27409e-15 1.17348e-16 BessellV
54917.7 1.04136e-15 2.87738e-17 SDSS_r
54917.7 1.24051e-15 3.42765e-17 SDSS_g
54917.7 1.1449899999999999e-15 4.21828e-17 BessellB
54918.5 1.0074e-15 2.7835399999999996e-17 BessellR
54918.5 1.1879500000000001e-15 4.37659e-17 BessellB
54918.5 1.3601900000000001e-15 5.01113e-17 SDSS_g
54918.5 6.39146e-16 4.1207299999999995e-17 SDSS_z
54918.5 1.16305e-15 3.21364e-17 SDSS_r
54918.5 7.63484e-16 2.1095799999999998e-17 SDSS_i
54918.5 1.34648e-15 3.72046e-17 BessellV
54918.6 6.78578e-16 2.49998e-17 BessellI
54919.7 1.51775e-15 4.1936999999999995e-17 BessellV
54919.7 7.57879e-16 4.1882e-17 BessellI
54919.7 1.2439399999999999e-15 4.58285e-17 BessellB
54919.7 1.43747e-15 5.2958500000000007e-17 SDSS_g
54920.5 1.4914199999999999e-15 5.49459e-17 SDSS_g
54920.5 8.765969999999999e-16 2.4221300000000002e-17 SDSS_i
54920.5 1.15665e-15 3.1959299999999996e-17 BessellR
54920.5 1.2554500000000001e-15 4.6252600000000006e-17 BessellB
54920.5 8.233789999999999e-16 3.7918000000000004e-17 BessellI
54920.5 1.3231199999999999e-15 3.6559200000000005e-17 SDSS_r
54920.5 1.51775e-15 5.591589999999999e-17 BessellV
54920.5 7.33838e-16 4.05534e-17 SDSS_z
54920.6 1.47775e-15 4.08317e-17 SDSS_g
54920.6 1.2554500000000001e-15 3.46894e-17 BessellB
54920.6 9.011560000000002e-16 3.31998e-17 SDSS_i
54920.6 1.31099e-15 3.6224e-17 SDSS_r
54920.6 1.5892799999999999e-15 1.46378e-16 BessellV
54921.5 1.21116e-15 3.34655e-17 BessellR
54921.5 1.67958e-15 4.64084e-17 BessellV
54921.5 7.474810000000001e-16 4.13073e-17 SDSS_z
54921.5 8.30998e-16 3.82689e-17 BessellI
54921.5 9.011560000000002e-16 2.4899899999999998e-17 SDSS_i
54921.5 1.3601900000000001e-15 3.75835e-17 SDSS_r
54922.5 1.2554500000000001e-15 3.46894e-17 BessellB
54922.5 9.43626e-16 2.6073400000000002e-17 SDSS_i
54922.5 1.2566100000000001e-15 3.4721399999999995e-17 BessellR
54922.5 1.7108000000000001e-15 4.7271199999999995e-17 BessellV
54922.5 1.37278e-15 3.79312e-17 SDSS_r
54922.5 8.863389999999999e-16 4.89809e-17 BessellI
54922.5 8.12082e-16 4.48773e-17 SDSS_z
54922.5 1.45077e-15 5.34485e-17 SDSS_g
54923.6 8.582230000000001e-16 5.5331700000000006e-17 SDSS_z
54923.6 1.45077e-15 4.00864e-17 SDSS_r
54923.6 9.453660000000001e-16 3.48286e-17 BessellI
54923.6 9.790389999999998e-16 2.70518e-17 SDSS_i
54923.7 1.72663e-15 4.7708599999999996e-17 BessellV
54923.7 1.27997e-15 3.53669e-17 BessellR
54923.7 1.15558e-15 4.2573100000000003e-17 BessellB
54923.7 1.3983e-15 5.1515200000000005e-17 SDSS_g
54924.5 1.4243e-15 3.93547e-17 SDSS_r
54924.5 8.822670000000001e-16 4.87559e-17 SDSS_z
54924.5 1.38548e-15 5.10429e-17 SDSS_g
54924.5 9.790389999999998e-16 2.70518e-17 SDSS_i
54924.5 1.06365e-15 3.9186399999999997e-17 BessellB
54924.6 9.453660000000001e-16 5.22429e-17 BessellI
