# MJD flux flux_err filter
55095.42719 1.71554e-16 4.42419e-18 SDSS_i
55095.42950 2.85233e-16 6.56774e-18 SDSS_r
55095.42950 2.18373e-16 5.02824e-18 BessellR
55095.43182 3.65090e-16 8.40651e-18 BessellV
55095.43482 4.03645e-16 1.59862e-17 BessellB
55098.33241 2.25320e-16 5.39572e-18 SDSS_i
55098.33472 3.86189e-16 7.82525e-18 SDSS_r
55098.33472 2.95665e-16 5.99099e-18 BessellR
55098.33704 4.71629e-16 1.04253e-17 BessellV
55098.34006 5.89929e-16 1.84737e-17 BessellB
55099.27213 2.51189e-16 5.55248e-18 SDSS_i
55099.27444 3.15355e-16 5.80906e-18 BessellR
55099.27444 4.11908e-16 7.58762e-18 SDSS_r
55099.27676 5.22396e-16 1.05852e-17 BessellV
55099.27977 6.24597e-16 1.55324e-17 BessellB
55100.28411 2.61577e-16 5.54120e-18 SDSS_i
55100.28641 3.36667e-16 5.89155e-18 BessellR
55100.28641 4.39744e-16 7.69537e-18 SDSS_r
55100.28873 5.68068e-16 1.04642e-17 BessellV
55100.29174 6.68036e-16 1.72280e-17 BessellB
55101.27948 2.80543e-16 5.94297e-18 SDSS_i
55101.28179 4.71629e-16 8.25333e-18 SDSS_r
55101.28179 3.61077e-16 6.31872e-18 BessellR
55101.28410 5.94840e-16 1.09573e-17 BessellV
55101.28711 6.62521e-16 1.70857e-17 BessellB
55102.27937 2.96756e-16 6.01310e-18 SDSS_i
55102.28168 4.87978e-16 9.88777e-18 SDSS_r
55102.28168 3.73594e-16 7.57004e-18 BessellR
55102.28401 6.39735e-16 1.23736e-17 BessellV
55102.28701 7.59976e-16 2.09989e-17 BessellB
55103.37138 3.20922e-16 6.79835e-18 SDSS_i
55103.37371 5.19517e-16 1.00484e-17 SDSS_r
55103.37371 3.97741e-16 7.69299e-18 BessellR
55103.37602 6.49830e-16 1.19703e-17 BessellV
55103.37905 7.32487e-16 1.82154e-17 BessellB
55104.35633 3.37598e-16 6.84067e-18 SDSS_i
55104.35864 5.53095e-16 9.16955e-18 SDSS_r
55104.35864 4.23448e-16 7.02018e-18 BessellR
55104.36095 6.82339e-16 1.19407e-17 BessellV
55104.36396 8.09096e-16 2.16109e-17 BessellB
55105.20101 3.46737e-16 7.66456e-18 SDSS_i
55105.20483 5.70690e-16 1.10381e-17 SDSS_r
55105.20483 4.36918e-16 8.45075e-18 BessellR
55105.20563 7.03396e-16 1.42527e-17 BessellV
55105.20863 8.67761e-16 2.87725e-17 BessellB
55106.24612 3.60745e-16 7.30968e-18 SDSS_i
55106.24844 4.41774e-16 7.73089e-18 BessellR
55106.24844 5.77032e-16 1.00979e-17 SDSS_r
55106.25074 7.15155e-16 1.38323e-17 BessellV
55106.25375 7.30466e-16 2.35474e-17 BessellB
55113.49115 4.10393e-16 8.31569e-18 SDSS_i
55113.49347 4.69461e-16 9.51258e-18 BessellR
55113.49347 6.13197e-16 1.24251e-17 SDSS_r
55113.49579 6.49232e-16 1.55471e-17 BessellV
55113.49880 6.19441e-16 2.28210e-17 BessellB
55115.45851 4.15336e-16 8.03332e-18 SDSS_i
55115.46082 5.92652e-16 1.14629e-17 SDSS_r
55115.46082 4.53733e-16 8.77597e-18 BessellR
55115.46315 6.62521e-16 1.52551e-17 BessellV
55115.46614 5.75970e-16 2.17500e-17 BessellB
55118.31318 4.07005e-16 7.87218e-18 SDSS_i
55118.31549 4.28943e-16 7.11129e-18 BessellR
55118.31549 5.60273e-16 9.28856e-18 SDSS_r
55118.31780 6.12633e-16 1.18494e-17 BessellV
55118.32081 4.30923e-16 1.66696e-17 BessellB
55119.38297 3.96643e-16 7.30644e-18 SDSS_i
55119.40389 5.35057e-16 8.37770e-18 SDSS_r
55119.40389 4.09638e-16 6.41394e-18 BessellR
55119.40689 5.50047e-16 1.06389e-17 BessellV
55119.40990 3.82648e-16 1.40973e-17 BessellB
55122.37412 3.77398e-16 6.95194e-18 SDSS_i
55122.37711 4.86631e-16 8.51587e-18 SDSS_r
55122.37711 3.72563e-16 6.51973e-18 BessellR
55122.38013 4.88427e-16 8.99717e-18 BessellV
55122.38381 2.99502e-16 1.40684e-17 BessellB
55123.36166 3.57437e-16 6.58424e-18 SDSS_i
55123.36396 4.64729e-16 8.98866e-18 SDSS_r
55123.36396 3.55795e-16 6.88169e-18 BessellR
55123.36628 4.66445e-16 9.45145e-18 BessellV
55123.36931 3.17980e-16 1.46435e-17 BessellB
55125.42218 3.52209e-16 6.81232e-18 SDSS_i
55125.42519 3.42295e-16 6.62056e-18 BessellR
55125.42519 4.47095e-16 8.64759e-18 SDSS_r
55125.43189 2.22638e-16 1.27136e-17 BessellB
55127.31731 3.25687e-16 6.29934e-18 SDSS_i
55127.32330 4.11150e-16 7.57366e-18 SDSS_r
55127.32330 3.14775e-16 5.79837e-18 BessellR
55127.32962 3.95549e-16 8.74353e-18 BessellV
55127.33516 1.90546e-16 1.12320e-17 BessellB
55129.10584 3.12464e-16 6.33138e-18 SDSS_i
55129.10884 3.87614e-16 8.56815e-18 SDSS_r
55129.10884 2.96756e-16 6.55974e-18 BessellR
55129.11184 3.58096e-16 1.25331e-17 BessellV
55129.11553 2.48428e-16 2.10506e-17 BessellB
55130.40433 2.90536e-16 5.61947e-18 SDSS_i
55130.40735 3.59418e-16 6.95176e-18 SDSS_r
55130.40735 2.75169e-16 5.32225e-18 BessellR
55130.41037 3.48980e-16 8.35697e-18 BessellV
55130.41407 1.99526e-16 1.10262e-17 BessellB
55133.25850 2.64241e-16 5.84100e-18 SDSS_i
55133.26151 3.27190e-16 7.23248e-18 SDSS_r
55133.26151 2.50495e-16 5.53716e-18 BessellR
55133.26453 3.15065e-16 9.28594e-18 BessellV
55133.26822 1.95344e-16 1.58328e-17 BessellB
55134.47787 2.53046e-16 6.75886e-18 SDSS_i
55134.48088 2.48657e-16 5.72553e-18 BessellR
55134.48088 3.24788e-16 7.47852e-18 SDSS_r
55134.48390 2.87343e-16 8.99818e-18 BessellV
55134.48760 1.56027e-16 1.26461e-17 BessellB
55135.47006 2.64972e-16 6.83335e-18 SDSS_i
55135.47308 2.37247e-16 5.24429e-18 BessellR
55135.47308 3.09885e-16 6.84994e-18 SDSS_r
55135.47610 2.89468e-16 9.33133e-18 BessellV
55135.47980 1.67958e-16 1.33037e-17 BessellB
55136.10895 2.53046e-16 6.29274e-18 SDSS_i
55136.11497 3.13329e-16 1.32750e-17 BessellV
55136.11866 1.97152e-16 3.46824e-17 BessellB
55142.41782 2.21208e-16 2.54675e-17 BessellV
55144.27984 2.09315e-16 4.81965e-18 SDSS_i
55144.28285 2.49345e-16 5.97103e-18 SDSS_r
55144.28285 1.90897e-16 4.57140e-18 BessellR
55144.28586 2.34639e-16 7.56386e-18 BessellV
55144.28956 8.78213e-17 1.07579e-17 BessellB
55146.07287 1.92486e-16 5.14131e-18 SDSS_i
55146.07587 2.30781e-16 6.16416e-18 SDSS_r
55146.07587 1.76685e-16 4.71926e-18 BessellR
55146.07888 2.19382e-16 9.49672e-18 BessellV
55146.08258 9.27257e-17 1.08462e-17 BessellB
55150.28827 1.84842e-16 5.10736e-18 SDSS_i
55150.29128 1.61734e-16 4.46886e-18 BessellR
55150.29128 2.11252e-16 5.83710e-18 SDSS_r
55150.29429 2.06443e-16 8.55634e-18 BessellV
55150.30035 1.00462e-16 1.02707e-17 BessellB
