# MJD flux flux_err filter
55175.918 2.5408e-16 3.8909e-17 BessellU
55178.115999999995 4.967800000000001e-16 5.9954e-17 BessellU
55180.393 5.9671e-16 8.262799999999999e-17 BessellU
55182.105 7.673e-16 5.3415e-17 BessellU
55186.465 8.428800000000001e-16 8.3611e-17 BessellU
55188.974 7.194e-16 9.6704e-17 BessellU
55190.657 6.5852e-16 6.3512e-17 BessellU
55192.72 4.6749e-16 1.0192000000000001e-16 BessellU
55194.67 3.0602999999999997e-16 1.2442e-16 BessellU
55196.734000000004 2.5714e-16 6.7501e-17 BessellU
55198.405999999995 1.9832e-16 1.0526e-16 BessellU
55200.492 1.4975000000000002e-16 1.183e-16 BessellU
55202.426 5.9452e-17 7.689699999999999e-17 BessellU
55204.427 6.8765e-17 1.289e-16 BessellU
55206.746 7.5122e-17 1.4613e-16 BessellU
55208.850999999995 5.4471000000000005e-17 6.641199999999999e-17 BessellU
55210.519 5.783199999999999e-17 1.2154e-16 BessellU
55222.566 6.901899999999999e-17 1.3955e-16 BessellU
55226.552 7.253800000000001e-17 7.2235e-17 BessellU
55175.919 6.267699999999999e-16 1.0977e-16 BessellB
55178.117 1.0683e-15 1.3224e-16 BessellB
55180.393 1.3022999999999999e-15 3.9885e-17 BessellB
55182.105 1.4897e-15 9.5728e-17 BessellB
55186.465 1.8242999999999997e-15 1.3334e-16 BessellB
55188.975 1.7471e-15 3.6585e-17 BessellB
55190.657999999996 1.6350000000000001e-15 7.632299999999999e-17 BessellB
55192.721 1.53e-15 1.1317e-16 BessellB
55194.670999999995 1.2950999999999999e-15 3.7478e-17 BessellB
55196.735 9.618399999999999e-16 7.4612e-17 BessellB
55198.407 8.269999999999999e-16 1.2219e-16 BessellB
55200.492999999995 5.6847e-16 3.4805000000000005e-17 BessellB
55202.427 4.9193e-16 5.9938e-17 BessellB
55204.428 4.1334e-16 9.623799999999999e-17 BessellB
55206.747 3.2293e-16 2.4343e-17 BessellB
55208.850999999995 2.857e-16 5.0264e-17 BessellB
55210.52 3.5605000000000004e-16 8.2739e-17 BessellB
55175.924000000006 8.844200000000001e-16 6.2277e-17 BessellV
55178.122 1.1713e-15 1.1831999999999998e-18 BessellV
55180.397000000004 1.5271e-15 3.7266e-17 BessellV
55182.11 1.6499000000000002e-15 6.4827e-17 BessellV
55186.468 1.9782e-15 2.3365e-17 BessellV
55188.981 1.9762999999999998e-15 4.1411e-17 BessellV
55190.66099999999 2.1431999999999998e-15 6.144699999999999e-17 BessellV
55192.727 1.8444e-15 1.4991999999999999e-18 BessellV
55194.676 1.8598e-15 4.135100000000001e-17 BessellV
55196.74 1.4882e-15 5.8458e-17 BessellV
55198.41 1.48e-15 2.584e-17 BessellV
55200.496 1.0183e-15 3.5844e-17 BessellV
55202.432 9.1762e-16 4.8996000000000006e-17 BessellV
55204.434 7.7815e-16 1.2843e-18 BessellV
55206.752 6.6659e-16 3.3794999999999996e-17 BessellV
55208.857 6.3483e-16 5.0933000000000005e-17 BessellV
55210.525 5.892e-16 1.2997e-18 BessellV
