MJD flux flux_err filter
55175.91830 2.54078e-16 2.16180e-18 BessellU
55178.11600 4.96784e-16 3.09289e-18 BessellU
55180.39280 5.96715e-16 3.72040e-18 BessellU
55182.10470 7.67304e-16 4.01837e-18 BessellU
55186.46470 8.42883e-16 4.60564e-18 BessellU
55188.97430 7.19395e-16 3.93712e-18 BessellU
55190.65710 6.58517e-16 4.25810e-18 BessellU
55192.72040 4.67485e-16 2.89940e-18 BessellU
55194.66990 3.06032e-16 2.24120e-18 BessellU
55196.73370 2.57139e-16 2.03415e-18 BessellU
55198.40600 1.98320e-16 2.05165e-18 BessellU
55200.49220 1.49750e-16 1.87403e-18 BessellU
55202.42590 5.94521e-17 1.24354e-18 BessellU
55204.42730 6.87650e-17 1.22695e-18 BessellU
55206.74630 7.51220e-17 1.16969e-18 BessellU
55208.85060 5.44712e-17 3.00756e-19 BessellU
55210.51860 5.78319e-17 1.19178e-18 BessellU
55222.56600 6.90188e-17 3.86124e-19 BessellU
55226.55210 7.25383e-17 1.33478e-18 BessellU
#55230.79510 5.91245e-17 3.27932e-19 BessellU
#55238.43370 5.98366e-17 3.32103e-19 BessellU
#55241.31320 6.27144e-17 1.05742e-18 BessellU
55175.91910 6.26765e-16 3.42200e-18 BessellB
55178.11690 1.06833e-15 4.93558e-18 BessellB
55180.39350 1.30228e-15 6.09383e-18 BessellB
55182.10540 1.48972e-15 6.34867e-18 BessellB
55186.46530 1.82434e-15 7.87933e-18 BessellB
55188.97520 1.74705e-15 7.40814e-18 BessellB
55190.65760 1.63495e-15 7.65744e-18 BessellB
55192.72140 1.53005e-15 6.63245e-18 BessellB
55194.67090 1.29510e-15 5.72151e-18 BessellB
55196.73460 9.61844e-16 4.47521e-18 BessellB
55198.40660 8.26998e-16 4.33320e-18 BessellB
55200.49280 5.68466e-16 3.40053e-18 BessellB
55202.42670 4.91931e-16 2.82649e-18 BessellB
55204.42830 4.13337e-16 2.47491e-18 BessellB
55206.74720 3.22927e-16 2.03984e-18 BessellB
55208.85150 2.85696e-16 2.02821e-18 BessellB
55210.51950 3.56045e-16 2.28354e-18 BessellB
#55222.56660 2.60558e-16 2.23834e-18 BessellB
#55226.55260 2.32223e-16 1.92722e-18 BessellB
#55230.79560 1.99299e-16 1.80096e-18 BessellB
#55238.43410 1.80428e-16 1.75619e-18 BessellB
#55241.31390 1.62894e-16 1.40836e-18 BessellB
55175.92360 8.84424e-16 4.99798e-18 BessellV
55178.12190 1.17128e-15 5.95936e-18 BessellV
55180.39740 1.52707e-15 7.80596e-18 BessellV
55182.10990 1.64991e-15 7.46113e-18 BessellV
55186.46840 1.97815e-15 9.33257e-18 BessellV
55188.98080 1.97633e-15 8.91206e-18 BessellV
55190.66080 2.14319e-15 1.07658e-17 BessellV
55192.72700 1.84442e-15 8.40491e-18 BessellV
55194.67630 1.85977e-15 8.47972e-18 BessellV
55196.74020 1.48820e-15 7.08763e-18 BessellV
55198.41040 1.48000e-15 7.64985e-18 BessellV
55200.49640 1.01826e-15 5.87563e-18 BessellV
55202.43170 9.17615e-16 5.01680e-18 BessellV
55204.43390 7.78145e-16 4.31000e-18 BessellV
55206.75210 6.66592e-16 3.69829e-18 BessellV
55208.85680 6.34834e-16 3.83765e-18 BessellV
55210.52500 5.89197e-16 3.62018e-18 BessellV
#55222.57010 3.87133e-16 3.35395e-18 BessellV
#55226.55540 3.34088e-16 2.78552e-18 BessellV
#55230.79870 3.72101e-16 2.91503e-18 BessellV
#55238.43640 3.06380e-16 2.71031e-18 BessellV
#55241.31760 3.11215e-16 2.23903e-18 BessellV
