# MJD flux flux_err filter
55283.873 4.1934e-15 1.7969e-17 BessellU
55285.547999999995 3.6590000000000005e-15 1.6841e-17 BessellU
55287.552 3.2402e-15 1.5477e-17 BessellU
55289.365 2.5175e-15 1.3047e-17 BessellU
55291.235 1.8457e-15 9.9945e-18 BessellU
55293.210999999996 1.9044e-15 1.0595999999999998e-17 BessellU
55295.449 1.3758e-15 7.9501e-18 BessellU
55297.319 8.875e-16 5.7925999999999995e-18 BessellU
55299.225999999995 7.375099999999999e-16 6.278099999999999e-18 BessellU
55303.755 1.9997e-16 3.3306000000000002e-18 BessellU
55305.552 1.3285e-16 7.714900000000001e-19 BessellU
55309.681 1.5958000000000002e-16 9.3665e-19 BessellU
55311.247 1.3236000000000002e-16 7.684899999999999e-19 BessellU
55313.047999999995 1.3645e-16 7.9361e-19 BessellU
55315.529 1.2409999999999999e-16 7.1782e-19 BessellU
55319.475999999995 1.2768999999999999e-16 7.3983e-19 BessellU
55321.587 1.2722e-16 7.3696e-19 BessellU
55276.18 3.3306999999999995e-15 7.5127e-18 SDSS_u
55287.133 3.1675999999999996e-15 5.8454999999999994e-18 SDSS_u
55289.138 2.7550999999999997e-15 4.7623e-18 SDSS_u
55292.288 1.8152e-15 3.6989000000000004e-18 SDSS_u
55293.152 1.8027000000000003e-15 4.3129e-18 SDSS_u
55294.164000000004 1.5350999999999998e-15 4.4207e-18 SDSS_u
55295.142 1.4274e-15 3.5459e-18 SDSS_u
55297.139 1.1725e-15 3.467e-18 SDSS_u
55299.147000000004 7.3541e-16 2.7193000000000002e-18 SDSS_u
55301.142 5.3818e-16 2.3401e-18 SDSS_u
55304.19 1.778e-16 2.0447999999999997e-18 SDSS_u
55276.176 1.9521e-15 2.1499e-18 BessellB
55278.117999999995 2.5194000000000003e-15 2.7372000000000003e-18 BessellB
55281.280999999995 2.8281999999999997e-15 1.2872e-17 BessellB
55283.874 2.2136e-15 1.0579e-17 BessellB
55285.549000000006 2.0888000000000003e-15 1.0364000000000001e-17 BessellB
55287.128 2.1761999999999997e-15 2.2678999999999997e-18 BessellB
55287.553 1.8429e-15 9.4354e-18 BessellB
