# MJD flux flux_err filter
55275.24000 7.95060e-16 2.48974e-17 SDSS_g
55275.70000 5.84521e-16 3.55320e-17 BessellB
55275.70000 4.38935e-16 1.21282e-17 BessellI
55275.70000 9.21298e-16 2.46078e-17 BessellV
55275.70000 7.26440e-16 1.67269e-17 BessellR
55276.40000 9.80844e-16 3.16187e-17 SDSS_g
55276.40000 1.03562e-15 2.00306e-17 SDSS_r
55276.70000 5.71742e-16 1.36914e-17 BessellI
55276.70000 8.97842e-16 1.81928e-17 BessellR
55276.70000 1.07647e-15 2.57780e-17 BessellV
55276.70000 8.73373e-16 4.58512e-17 BessellB
55277.25000 1.26590e-15 3.26463e-17 SDSS_g
55277.70000 7.33838e-16 1.55455e-17 BessellI
55277.70000 1.31220e-15 2.90059e-17 BessellV
55277.70000 1.05682e-15 4.47748e-17 BessellB
55277.70000 1.09648e-15 2.01979e-17 BessellR
55279.15000 1.74743e-15 3.54077e-17 SDSS_g
55279.15000 5.97585e-16 1.76127e-17 SDSS_z
55279.15000 1.02991e-15 1.80231e-17 SDSS_i
55279.15000 1.59221e-15 2.34636e-17 SDSS_r
55279.60000 1.77011e-15 3.91279e-17 BessellV
55279.60000 1.40994e-15 5.58398e-17 BessellB
55279.60000 1.47639e-15 2.58362e-17 BessellR
55279.60000 8.70964e-16 1.60437e-17 BessellI
55280.24000 1.99342e-15 3.67202e-17 SDSS_g
55280.24000 1.75550e-15 2.42531e-17 SDSS_r
55280.24000 6.82967e-16 1.82420e-17 SDSS_z
55280.24000 1.14604e-15 1.79442e-17 SDSS_i
55280.70000 1.02612e-15 1.89019e-17 BessellI
55280.70000 1.59956e-15 2.50452e-17 BessellR
55280.70000 1.02141e-15 1.69336e-17 BessellI
55280.70000 1.57616e-15 2.61305e-17 BessellR
55280.70000 1.75227e-15 6.13281e-17 BessellB
55280.70000 1.71870e-15 6.17363e-17 BessellB
55280.70000 1.97879e-15 4.00958e-17 BessellV
55280.70000 1.95704e-15 3.42475e-17 BessellV
55281.29000 1.26241e-15 1.86035e-17 SDSS_i
55281.29000 1.96789e-15 2.71874e-17 SDSS_r
55281.29000 7.86321e-16 1.95542e-17 SDSS_z
55281.29000 2.22638e-15 4.10115e-17 SDSS_g
55281.80000 2.22433e-15 4.30224e-17 BessellV
55281.80000 1.08243e-15 1.79452e-17 BessellI
55281.80000 1.85012e-15 2.89684e-17 BessellR
55281.80000 1.94805e-15 6.27977e-17 BessellB
55282.22000 1.34524e-15 1.98242e-17 SDSS_i
55282.22000 2.10087e-15 2.70897e-17 SDSS_r
55282.22000 8.60597e-16 2.06086e-17 SDSS_z
55282.22000 2.36157e-15 3.91515e-17 SDSS_g
55283.24000 2.26987e-15 2.71781e-17 SDSS_r
55283.24000 9.16221e-16 2.10968e-17 SDSS_z
55283.24000 2.56803e-15 4.49396e-17 SDSS_g
55283.24000 1.42036e-15 1.96231e-17 SDSS_i
55283.70000 2.21004e-15 6.71722e-17 BessellB
55283.70000 2.51420e-15 4.63133e-17 BessellV
55283.70000 2.51884e-15 3.94389e-17 BessellV
55283.70000 1.24968e-15 1.84160e-17 BessellI
55283.70000 1.27409e-15 1.99492e-17 BessellI
55283.70000 2.03798e-15 3.00328e-17 BessellR
55283.70000 2.24698e-15 6.62256e-17 BessellB
55283.70000 2.02862e-15 2.61579e-17 BessellR
55284.24000 1.02235e-15 2.35405e-17 SDSS_z
55284.24000 1.58489e-15 2.18961e-17 SDSS_i
55284.24000 2.65950e-15 4.40908e-17 SDSS_g
55284.24000 2.39663e-15 2.86958e-17 SDSS_r
55284.70000 2.39663e-15 7.72581e-17 BessellB
55285.25000 1.62181e-15 2.38999e-17 SDSS_i
55285.25000 1.05584e-15 2.33393e-17 SDSS_z
55285.25000 2.54683e-15 3.28400e-17 SDSS_r
55285.25000 2.79512e-15 4.37648e-17 SDSS_g
55285.70000 2.46150e-15 6.80138e-17 BessellB
55285.70000 2.40104e-15 6.63433e-17 BessellB
55285.70000 1.40217e-15 2.06631e-17 BessellI
