MJD flux flux_err filter
55877.5 1.32273e-15 7.3998e-18 BessellR
55879.4 5.93569e-16 2.75141e-18 BessellR
55879.42 5.82736e-16 2.31249e-18 BessellR
55880.06 7.15231e-16 9.07938e-19 SDSS_g
55880.06 4.71338e-16 6.18951e-19 SDSS_i
55880.06 6.69774e-16 8.77412e-19 SDSS_r
55880.07 6.65429e-16 8.28734e-19 BessellB
55880.07 3.993e-16 2.69007e-19 BessellI
55880.07 5.93569e-16 3.93059e-19 BessellR
55880.07 7.00809e-16 4.53563e-19 BessellV
55880.27 6.90402e-16 3.01634e-18 BessellB
55880.27 6.30663e-16 2.81852e-18 BessellU
55880.27 6.57052e-16 3.38781e-18 BessellV
55880.67 7.64015e-16 2.87931e-18 BessellB
55880.67 6.48332e-16 2.9026e-18 BessellU
55880.67 8.04636e-16 3.6782e-18 BessellV
55880.7352 6.60693e-16 4.13196e-18 BessellV
55880.7681 5.97307e-16 3.30627e-18 BessellU
55880.7695 6.63593e-16 3.71837e-18 BessellB
55881.14 7.78219e-16 9.78745e-19 BessellB
55881.14 4.75663e-16 3.24275e-19 BessellI
55881.14 7.54174e-16 5.07455e-19 BessellR
55881.14 8.66163e-16 5.6837e-19 BessellV
55881.16 8.67853e-16 1.11537e-18 SDSS_g
55881.16 5.82549e-16 7.75779e-19 SDSS_i
55881.16 8.27805e-16 1.09969e-18 SDSS_r
55881.1701 8.19596e-16 4.60849e-18 BessellV
55881.1742 6.13476e-16 3.28426e-18 BessellU
55881.1756 7.35702e-16 3.82636e-18 BessellB
55882.03 8.93515e-16 1.1336e-18 BessellB
55882.03 5.71873e-16 3.94821e-19 BessellI
55882.03 8.90167e-16 6.05715e-19 BessellR
55882.03 1.05099e-15 6.98518e-19 BessellV
55882.05 1.04339e-15 1.35703e-18 SDSS_g
55882.05 6.93956e-16 9.35033e-19 SDSS_i
55882.05 1.00445e-15 6.75856e-19 SDSS_r
55882.08 9.88785e-16 1.26258e-18 BessellB
55882.08 5.77164e-16 7.97456e-19 BessellI
55882.08 8.98404e-16 1.22341e-18 BessellR
55882.08 6.24881e-16 1.19616e-18 BessellU
55882.08 1.00369e-15 1.33009e-18 BessellV
55882.83 1.05463e-15 4.05667e-18 BessellB
55882.83 5.54367e-16 2.80836e-18 BessellU
55882.83 1.14183e-15 4.57854e-18 BessellV
55883.03 1.01649e-15 1.30024e-18 BessellB
55883.03 6.81239e-16 4.76078e-19 BessellI
55883.03 1.07022e-15 7.37471e-19 BessellR
55883.03 1.21787e-15 8.17431e-19 BessellV
55883.04 1.02589e-15 6.56523e-19 BessellB
55883.04 1.21787e-15 8.17431e-19 BessellV
55883.06 1.22024e-15 8.01684e-19 SDSS_g
55883.06 8.34319e-16 1.13828e-18 SDSS_i
55883.06 1.19654e-15 8.14699e-19 SDSS_r
55883.06 6.57133e-16 1.6055e-18 SDSS_u
55883.09 8.34319e-16 1.13828e-18 SDSS_i
55883.09 1.19654e-15 1.6294e-18 SDSS_r
55883.3362 5.22153e-16 3.16222e-18 BessellU
55883.3371 1.0193e-15 5.02067e-18 BessellB
55883.3423 1.15771e-15 6.11793e-18 BessellV
55884.07 1.03539e-15 3.31494e-18 BessellB
55884.07 7.96708e-16 5.62931e-19 BessellI
55884.07 1.2632e-15 8.80509e-19 BessellR
55884.07 1.41124e-15 2.87004e-18 BessellV
55884.14 9.40442e-16 1.29363e-18 SDSS_i
55884.14 1.38653e-15 9.53621e-19 SDSS_r
55885.03 1.02589e-15 6.56523e-19 BessellB
55885.03 9.06357e-16 6.46293e-19 BessellI
55885.03 1.38507e-15 9.71696e-19 BessellR
55885.03 1.54739e-15 1.05557e-18 BessellV
55885.04 1.36284e-15 9.01919e-19 SDSS_g
55885.04 1.08976e-15 1.51437e-18 SDSS_i
55885.04 1.54856e-15 1.07322e-18 SDSS_r
55885.25 1.13528e-15 4.38758e-18 BessellB
55885.25 4.65369e-16 2.33168e-18 BessellU
55885.25 1.56171e-15 6.39603e-18 BessellV
55885.7486 4.33109e-16 2.88943e-18 BessellU
55885.7497 1.10332e-15 5.39126e-18 BessellB
55885.7559 1.59808e-15 7.86638e-18 BessellV
55886.03 1.44028e-15 9.56662e-19 SDSS_g
55887.04 9.7972e-16 6.25133e-19 BessellB
55887.04 1.72822e-15 1.18788e-18 BessellV
55887.04 1.44028e-15 1.91332e-18 SDSS_g
55887.09 9.70738e-16 4.9523e-18 BessellB
55887.09 3.43398e-16 2.95474e-18 BessellU
55887.09 1.68112e-15 8.07322e-18 BessellV
55887.5888 3.03527e-16 3.16596e-18 BessellU
55887.5899 9.39078e-16 5.67706e-18 BessellB
55887.5961 1.67803e-15 9.89902e-18 BessellV
55888.09 1.34689e-15 9.4982e-19 SDSS_i
55888.09 1.8278e-15 1.28146e-18 SDSS_r
55888.85 8.37726e-16 3.17546e-18 BessellB
55888.85 2.26881e-16 1.76772e-18 BessellU
55889.03 1.69618e-15 1.20711e-18 BessellR
55889.03 1.72822e-15 1.18788e-18 BessellV
55889.03 1.35035e-15 8.93106e-19 SDSS_g
55889.3941 1.92397e-16 2.02103e-18 BessellU
55889.3951 8.07424e-16 4.32579e-18 BessellB
55889.4013 1.54028e-15 7.66784e-18 BessellV
55890.04 1.27775e-15 1.68403e-18 SDSS_g
55890.04 1.86178e-15 1.30698e-18 SDSS_r
55891.03 1.63483e-15 1.16041e-18 BessellR
55891.03 1.60546e-15 1.09794e-18 BessellV
55891.04 1.20906e-15 7.93854e-19 SDSS_g
55891.1 7.09744e-16 3.1062e-18 BessellB
55891.1 1.58415e-16 1.4871e-18 BessellU
55891.6017 1.2017e-16 1.76227e-18 BessellU
55891.6027 6.71586e-16 3.84966e-18 BessellB
55891.6089 1.47367e-15 7.41438e-18 BessellV
55892.06 1.32231e-15 2.79382e-18 SDSS_i
55893.03 6.06879e-16 7.51505e-19 BessellB
55893.03 1.10994e-15 8.03061e-19 BessellI
55893.03 1.50477e-15 1.06185e-18 BessellR
55893.03 1.41124e-15 9.56681e-19 BessellV
55893.04 1.09256e-15 1.42525e-18 SDSS_g
55894.03 9.78242e-16 6.33495e-19 SDSS_g
55895.08 4.77641e-16 2.91415e-19 BessellB
55895.08 1.24051e-15 8.33658e-19 BessellV
55895.12 8.44202e-16 5.41526e-19 SDSS_g
55895.12 1.17309e-15 8.19279e-19 SDSS_i
55895.12 1.39936e-15 9.63055e-19 SDSS_r
55895.12 1.31115e-16 1.02073e-18 SDSS_u
55897.04 7.35269e-16 4.67507e-19 SDSS_g
55898.08 3.33505e-16 3.98225e-19 BessellB
55898.08 8.9043e-16 5.85355e-19 BessellV
55898.08 6.05963e-16 3.80611e-19 SDSS_g
55898.08 9.57926e-16 6.59675e-19 SDSS_i
55898.08 1.07134e-15 7.24006e-19 SDSS_r
55898.08 8.6627e-17 6.59198e-19 SDSS_u
55899.07 8.34319e-16 1.13828e-18 SDSS_i
55899.07 9.68118e-16 1.2996e-18 SDSS_r
55900.18 6.74993e-16 4.7141e-19 BessellI
55900.18 8.65908e-16 5.88102e-19 BessellR
55900.18 6.94384e-16 4.49137e-19 BessellV
55901.03 2.64912e-16 3.12033e-19 BessellB
55901.03 6.63132e-16 4.27649e-19 BessellV
55901.07 4.38982e-16 5.40515e-19 SDSS_g
55901.07 7.40171e-16 1.00165e-18 SDSS_i
55901.07 8.05245e-16 1.06776e-18 SDSS_r
55903.04 2.22383e-16 3.88902e-19 BessellB
55903.04 5.56672e-16 3.54989e-19 BessellV
55903.08 6.6907e-16 4.46595e-19 BessellR
55903.08 5.46512e-16 3.48101e-19 BessellV
55903.08 3.89445e-16 4.76013e-19 SDSS_g
55903.08 6.68855e-16 4.49491e-19 SDSS_i
55903.08 6.88538e-16 4.51814e-19 SDSS_r
55903.08 7.33928e-17 8.30256e-19 SDSS_u
55904.04 1.99114e-16 4.61307e-19 BessellB
55904.04 5.03037e-16 3.18727e-19 BessellV
55904.08 3.68507e-16 4.48905e-19 SDSS_g
55904.08 6.21344e-16 8.31009e-19 SDSS_i
55904.08 5.87939e-16 7.83438e-19 SDSS_i
55904.08 6.63633e-16 4.34422e-19 SDSS_r
55904.08 6.16103e-17 8.54854e-19 SDSS_u
55905.04 1.86682e-16 4.30896e-19 BessellB
55905.04 4.89328e-16 6.18998e-19 BessellV
55905.08 3.39193e-16 4.11119e-19 SDSS_g
55905.08 5.87939e-16 7.83438e-19 SDSS_i
55905.08 6.22197e-16 4.05586e-19 SDSS_r
55905.08 6.81794e-17 9.87726e-19 SDSS_u
55906.12 4.6302e-16 8.75519e-19 BessellV
55906.16 3.00917e-16 7.24201e-19 SDSS_g
55906.16 5.41168e-16 7.17155e-19 SDSS_i
55906.16 5.57093e-16 7.21101e-19 SDSS_r
55908.04 1.73421e-16 3.98593e-19 BessellB
55908.04 4.18408e-16 5.24095e-19 BessellV
55909.11 2.79541e-16 1.17213e-18 SDSS_g
55910.04 1.56712e-16 2.68578e-19 BessellB
55910.04 3.99576e-16 2.49534e-19 BessellV
55910.1 1.76645e-16 4.06434e-19 BessellB
55910.1 4.18118e-16 2.82562e-19 BessellI
55910.1 4.62883e-16 6.03109e-19 BessellR
55910.1 3.78094e-16 4.70613e-19 BessellV
55911.06 1.8497e-16 4.26718e-19 BessellB
55911.06 3.6779e-16 4.57002e-19 BessellV
55914.06 1.53852e-16 5.26798e-19 BessellB
55914.06 3.26061e-16 2.16709e-18 BessellI
55914.06 3.95796e-16 2.29722e-18 BessellR
#55914.06 3.46575e-17 1.12018e-19 BessellU
55914.06 3.17395e-16 1.17242e-18 BessellV
55916.04 1.53852e-16 4.38998e-19 BessellB
55916.04 1.49659e-16 1.70545e-19 BessellB
55916.04 3.05703e-16 6.06934e-19 BessellI
55916.04 3.8148e-16 1.22715e-18 BessellR
#55916.04 3.76528e-17 1.01871e-19 BessellU
55916.04 3.20332e-16 9.86614e-19 BessellV
55916.04 3.00331e-16 3.68541e-19 BessellV
#55918.05 2.47997e-16 5.89977e-19 SDSS_g
#55918.05 3.95669e-16 2.05474e-18 SDSS_i
#55918.05 3.71474e-16 7.02823e-19 SDSS_r
55921.05 1.39028e-16 4.73305e-19 BessellB
55921.05 2.81579e-16 3.44169e-19 BessellV
#55940.07 1.864e-16 9.81085e-19 SDSS_g
#55940.07 2.15739e-16 6.57755e-19 SDSS_r
#55942.06 1.96756e-16 2.38612e-19 SDSS_r
#56047.39 2.67363e-17 9.71092e-20 BessellB
#56047.39 2.29773e-17 1.55796e-19 BessellI
#56047.39 2.9206e-17 1.28999e-19 BessellR
#56047.39 2.59179e-17 1.5207e-19 BessellV
#56049.39 2.41603e-17 1.37176e-19 BessellB
#56049.39 2.66362e-17 1.02422e-19 BessellR
#56049.39 2.47514e-17 7.90201e-20 BessellV
#56099.4 1.01649e-17 4.52008e-20 BessellB
#56099.4 8.26607e-18 2.20781e-20 BessellI
#56099.4 1.0604e-17 3.32672e-20 BessellR
#56099.4 8.58222e-18 5.61984e-20 BessellV
