# MJD flux flux_err filter
55967.246 3.1332900000000004e-16 4.5019499999999994e-17 BessellB
55967.25 4.2736599999999996e-16 3.14895e-17 BessellV
55967.25 3.1017e-16 2.85677e-17 BessellR
55969.26 6.234480000000001e-16 4.59373e-17 BessellV
55969.26 5.429999999999999e-16 4.00097e-17 BessellB
55971.24 6.29216e-16 3.47718e-17 BessellB
55971.24 7.15814e-16 4.61502e-17 BessellV
55973.15 4.866309999999999e-16 1.79282e-17 BessellI
55973.15 6.42096e-16 2.3655700000000003e-17 BessellR
55973.15 8.294689999999999e-16 2.2919099999999997e-17 BessellV
55973.15 5.633780000000001e-16 2.0755599999999998e-17 BessellB
55973.41 7.092510000000001e-16 3.91947e-17 BessellB
55973.41 8.068630000000001e-16 4.45889e-17 BessellV
55974.19 6.29216e-16 1.73859e-17 BessellB
55974.19 6.91194e-16 1.27323e-17 BessellR
55974.19 8.068630000000001e-16 1.4863e-17 BessellV
55974.19 4.866309999999999e-16 8.96408e-18 BessellI
55975.46 8.4489e-16 4.6690299999999996e-17 BessellV
55975.46 6.234480000000001e-16 3.4453e-17 BessellB
55977.05 8.928939999999999e-16 7.40147e-17 BessellV
55977.05 5.84521e-16 4.8452700000000004e-17 BessellB
55978.15 8.143289999999998e-16 7.50025e-18 BessellV
55978.15 5.58727e-16 1.02921e-17 BessellI
55978.15 7.372250000000001e-16 1.3580200000000001e-17 BessellR
55978.15 5.09096e-16 1.87558e-17 BessellB
55979.72 5.13807e-16 3.31264e-17 BessellB
55979.72 7.495489999999999e-16 4.832520000000001e-17 BessellV
55980.13 3.9700900000000005e-16 2.1939499999999996e-17 BessellB
55980.13 6.975900000000001e-16 1.28501e-17 BessellR
55980.13 7.994660000000001e-16 2.2090100000000002e-17 BessellV
55980.13 6.07016e-16 1.11816e-17 BessellI
55980.17 6.91194e-16 2.5464499999999996e-17 BessellR
55981.15 7.15814e-16 1.9778699999999998e-17 BessellV
55981.15 3.39469e-16 2.5013e-17 BessellB
55981.15 6.12633e-16 2.2570199999999997e-17 BessellI
55981.15 6.975900000000001e-16 1.92751e-17 BessellR
55982.14 6.01451e-16 3.32374e-17 BessellI
55982.14 3.39469e-16 2.1886399999999998e-17 BessellB
55982.14 6.48037e-16 2.38746e-17 BessellR
55982.14 6.89922e-16 2.54177e-17 BessellV
55983.14 5.95937e-16 1.09776e-17 BessellI
55983.14 6.42096e-16 1.18278e-17 BessellR
55983.14 3.18273e-16 2.0519799999999998e-17 BessellB
55983.14 6.64967e-16 1.83737e-17 BessellV
55983.6 7.426769999999999e-16 4.7882200000000005e-17 BessellV
55983.6 3.9336900000000005e-16 2.8984499999999995e-17 BessellB
55985.64 3.03949e-16 2.51952e-17 BessellB
55985.64 6.5283e-16 4.2089499999999995e-17 BessellV
55987.62 3.5546800000000005e-16 5.89316e-17 BessellB
55987.62 5.79162e-16 9.6017e-17 BessellV
55988.55 2.4592400000000003e-16 2.49154e-17 BessellB
55988.55 4.600450000000001e-16 3.81345e-17 BessellV
55990.14 4.43813e-16 8.17534e-18 BessellI
55990.14 4.566669999999999e-16 1.68243e-17 BessellR
55990.14 1.86552e-16 3.0927700000000005e-17 BessellB
55990.14 3.89762e-16 2.15391e-17 BessellV
55990.18 4.566669999999999e-16 3.36485e-17 BessellR
55991.14 4.0513500000000002e-16 1.49257e-17 BessellR
55991.14 4.12287e-16 1.89865e-17 BessellI
55991.14 1.9715200000000002e-16 1.81583e-17 BessellB
55991.14 3.58757e-16 1.65214e-17 BessellV
55992.16 3.97741e-16 1.46533e-17 BessellR
55992.16 3.7949000000000003e-16 1.39809e-17 BessellI
55992.16 1.6248e-16 4.19019e-17 BessellB
55992.16 3.65426e-16 2.3559899999999997e-17 BessellV
55993.14 1.9001999999999998e-16 3.85033e-17 BessellB
55993.14 4.01051e-16 1.8469100000000003e-17 BessellI
55993.14 3.12464e-16 2.01453e-17 BessellV
55993.14 3.7635699999999996e-16 1.73319e-17 BessellR
55994.15 1.56603e-16 4.18286e-17 BessellB
55994.15 2.87607e-16 3.4436500000000006e-17 BessellV
55994.15 3.7256300000000004e-16 1.71572e-17 BessellI
55994.15 3.3697699999999995e-16 2.48294e-17 BessellR
55995.16 2.77204e-16 1.5318900000000003e-17 BessellV
55995.16 3.4641800000000003e-16 9.57187e-18 BessellR
55995.16 3.65763e-16 1.01064e-17 BessellI
55995.16 1.09345e-16 1.81279e-17 BessellB
55996.15 3.3358e-16 9.21716e-18 BessellI
55996.15 1.13449e-16 1.3583699999999998e-17 BessellB
55996.15 3.1886e-16 8.81043e-18 BessellR
55996.15 2.7976900000000004e-16 1.28838e-17 BessellV
55998.19 3.04229e-16 1.6812299999999998e-17 BessellI
55998.19 2.4592400000000003e-16 3.17106e-17 BessellV
55998.19 1.25545e-16 2.197e-17 BessellB
55967.25 4.2736599999999995e-17 3.14895e-17 swift_UVW1
55969.26 6.23448e-17 4.59373e-17 swift_UVW1
55971.24 7.158139999999999e-17 4.61502e-17 swift_UVW1
55973.15 8.294689999999999e-17 2.2919099999999997e-17 swift_UVW1
55973.41 8.068630000000001e-17 4.45889e-17 swift_UVW1
55974.19 8.068630000000001e-17 1.4863e-17 swift_UVW1
55975.46 8.4489e-17 4.6690299999999996e-17 swift_UVW1
55977.05 8.928939999999999e-17 7.40147e-17 swift_UVW1
55978.15 8.143289999999998e-17 7.50025e-18 swift_UVW1
55979.72 7.49549e-17 4.832520000000001e-17 swift_UVW1
55980.13 7.99466e-17 2.2090100000000002e-17 swift_UVW1
55981.15 7.158139999999999e-17 1.9778699999999998e-17 swift_UVW1
55982.14 6.89922e-17 2.54177e-17 swift_UVW1
55983.14 6.64967e-17 1.83737e-17 swift_UVW1
55983.6 7.426769999999999e-17 4.7882200000000005e-17 swift_UVW1
55985.64 6.5283e-17 4.2089499999999995e-17 swift_UVW1
55987.62 5.79162e-17 9.6017e-17 swift_UVW1
55988.55 4.6004500000000005e-17 3.81345e-17 swift_UVW1
55990.14 3.89762e-17 2.15391e-17 swift_UVW1
55991.14 3.58757e-17 1.65214e-17 swift_UVW1
55992.16 3.65426e-17 2.3559899999999997e-17 swift_UVW1
55993.14 3.1246400000000003e-17 2.01453e-17 swift_UVW1
55994.15 2.87607e-17 3.4436500000000006e-17 swift_UVW1
55995.16 2.7720400000000002e-17 1.5318900000000003e-17 swift_UVW1
55996.15 2.7976900000000004e-17 1.28838e-17 swift_UVW1
55998.19 2.4592400000000002e-17 3.17106e-17 swift_UVW1
