# MJD flux flux_err filter
56005.74140 4.89967e-14 1.73268e-16 BessellU
56005.82000 3.43058e-14 1.23491e-16 BessellU
56006.80000 3.72364e-14 1.34988e-16 BessellU
56007.81000 3.95337e-14 1.44061e-16 BessellU
56008.76000 3.66579e-14 1.32712e-16 BessellU
56010.84000 3.49114e-14 1.25860e-16 BessellU
56011.78000 3.41482e-14 1.25801e-16 BessellU
56012.03680 4.55583e-14 1.60079e-16 BessellU
56013.52690 4.24001e-14 1.48048e-16 BessellU
56015.40350 3.90272e-14 1.35292e-16 BessellU
56016.50280 3.57575e-14 1.23024e-16 BessellU
56017.47180 3.27316e-14 1.11764e-16 BessellU
56018.63000 2.51054e-14 8.80175e-17 BessellU
56019.41150 2.64586e-14 8.87333e-17 BessellU
56023.52180 1.39369e-14 4.65742e-17 BessellU
56024.63000 1.42222e-14 4.87377e-17 BessellU
56025.42500 1.03697e-14 3.46632e-17 BessellU
56026.74000 1.09690e-14 3.59708e-17 BessellU
56027.59830 7.88074e-15 2.69927e-17 BessellU
56028.50460 7.02372e-15 2.27884e-17 BessellU
56029.71000 8.39783e-15 2.69767e-17 BessellU
56030.23690 5.59973e-15 1.99401e-17 BessellU
56032.17310 5.29867e-15 1.95740e-17 BessellU
56033.31560 4.57686e-15 1.67266e-17 BessellU
56035.31540 3.75463e-15 1.48785e-17 BessellU
56036.65000 4.88166e-15 1.54154e-17 BessellU
56038.61000 4.38296e-15 1.37320e-17 BessellU
56039.19620 3.01278e-15 1.26072e-17 BessellU
56042.75000 3.37417e-15 1.06150e-17 BessellU
56043.21540 2.19062e-15 9.87584e-18 BessellU
56045.21210 2.12504e-15 9.70712e-18 BessellU
56046.21310 1.86624e-15 8.57701e-18 BessellU
56046.70000 2.83771e-15 1.00206e-17 BessellU
56048.61000 2.64099e-15 1.05780e-17 BessellU
56050.39190 1.50303e-15 6.90830e-18 BessellU
56051.49350 1.53238e-15 7.15615e-18 BessellU
56051.63000 2.41528e-15 1.50107e-17 BessellU
56053.62000 2.05953e-15 5.83163e-18 BessellU
56053.66810 1.43406e-15 6.76369e-18 BessellU
56056.61000 1.91852e-15 8.83405e-18 BessellU
56057.27850 1.18078e-15 5.81125e-18 BessellU
56060.68000 1.52815e-15 6.10100e-18 BessellU
56061.32190 9.56241e-16 4.95469e-18 BessellU
56061.69000 1.41438e-15 6.47427e-18 BessellU
56064.64000 1.28282e-15 4.20372e-18 BessellU
56071.63000 1.08185e-15 6.36661e-18 BessellU
56073.61270 6.70143e-16 4.25223e-18 BessellU
56074.66000 9.39652e-16 8.86449e-18 BessellU
56077.68930 6.45308e-16 4.00224e-18 BessellU
56084.64000 7.37509e-16 2.90125e-18 BessellU
56087.62000 6.30619e-16 2.49623e-18 BessellU
56089.63000 7.06915e-16 2.36414e-18 BessellU
56105.63000 6.48884e-16 9.08927e-18 BessellU
56112.87420 2.56193e-16 2.16542e-18 BessellU
56230.98000 6.07250e-17 1.21769e-18 BessellU
56247.98000 3.07162e-17 3.92909e-19 BessellU
56249.98000 4.26744e-17 3.55708e-19 BessellU
56256.95000 4.73552e-17 2.88001e-19 BessellU
56270.98000 3.44641e-17 3.06240e-19 BessellU
56003.91270 1.91384e-14 1.65768e-17 BessellB
56003.98300 1.92621e-14 1.66925e-17 BessellB
56005.74240 2.54862e-14 8.41775e-17 BessellB
56005.82000 2.49520e-14 4.21397e-17 BessellB
56005.90570 2.27984e-14 2.00228e-17 BessellB
56005.94580 2.29670e-14 2.01827e-17 BessellB
56006.80000 2.52293e-14 4.26459e-17 BessellB
56006.82560 2.36105e-14 2.07941e-17 BessellB
56006.91150 2.39831e-14 2.11487e-17 BessellB
56007.81000 2.60558e-14 4.41576e-17 BessellB
56007.87360 2.49290e-14 2.20512e-17 BessellB
56007.91330 2.44065e-14 2.15523e-17 BessellB
56007.94190 2.47232e-14 2.18546e-17 BessellB
56008.76000 2.70835e-14 4.60429e-17 BessellB
56008.80370 2.49980e-14 2.21171e-17 BessellB
56008.85140 2.50902e-14 2.22054e-17 BessellB
56008.92400 2.62485e-14 2.33151e-17 BessellB
56008.95190 2.54862e-14 2.25842e-17 BessellB
56009.23580 2.44740e-14 2.16167e-17 BessellB
56009.84560 2.52293e-14 2.23383e-17 BessellB
56009.85980 2.48602e-14 2.19855e-17 BessellB
56009.97440 2.60798e-14 2.31532e-17 BessellB
56010.04560 2.56274e-14 2.27195e-17 BessellB
56010.21870 2.56038e-14 2.26969e-17 BessellB
56010.84000 2.76124e-14 4.70158e-17 BessellB
56010.85780 2.61761e-14 2.32456e-17 BessellB
56011.78000 2.71835e-14 4.62267e-17 BessellB
56011.91480 2.50902e-14 2.22054e-17 BessellB
56011.92710 2.48602e-14 2.19855e-17 BessellB
56012.80840 2.45869e-14 2.17245e-17 BessellB
56012.89830 2.52758e-14 2.23828e-17 BessellB
56012.92340 2.47232e-14 2.18546e-17 BessellB
56013.22820 2.51597e-14 2.22717e-17 BessellB
56013.52760 2.68847e-14 8.70051e-17 BessellB
56013.92510 2.44965e-14 2.16382e-17 BessellB
56013.92520 2.38509e-14 2.10229e-17 BessellB
56014.90930 2.38949e-14 2.10647e-17 BessellB
56014.92210 2.46323e-14 2.17678e-17 BessellB
56015.40420 2.60558e-14 8.41097e-17 BessellB
56015.88220 2.40938e-14 2.12542e-17 BessellB
56016.22750 2.44740e-14 2.16167e-17 BessellB
56016.83210 2.41827e-14 2.13389e-17 BessellB
56016.83720 2.36322e-14 2.08148e-17 BessellB
56016.90150 2.23617e-14 1.96090e-17 BessellB
56016.91980 2.34156e-14 2.06087e-17 BessellB
56017.21960 2.40273e-14 2.11908e-17 BessellB
56017.47240 2.54862e-14 8.41775e-17 BessellB
56017.91510 2.26728e-14 1.99037e-17 BessellB
56018.63000 2.35453e-14 3.95795e-17 BessellB
56018.83800 2.26728e-14 1.99037e-17 BessellB
56019.41220 2.37195e-14 7.78916e-17 BessellB
56023.52240 2.11011e-14 6.86502e-17 BessellB
56023.84110 2.01514e-14 1.75254e-17 BessellB
56024.63000 1.97836e-14 3.27991e-17 BessellB
56025.42570 1.98383e-14 6.42275e-17 BessellB
56025.89270 1.84801e-14 1.59626e-17 BessellB
56026.74000 1.77298e-14 2.91421e-17 BessellB
56026.83240 1.77953e-14 1.53257e-17 BessellB
56026.90410 1.80928e-14 1.56021e-17 BessellB
56027.19010 1.77135e-14 1.52498e-17 BessellB
56027.59870 1.82266e-14 5.86172e-17 BessellB
56029.18720 1.63797e-14 1.40156e-17 BessellB
56029.71000 1.58017e-14 2.57410e-17 BessellB
56030.23760 1.59921e-14 5.09089e-17 BessellB
56033.17510 1.41744e-14 1.19937e-17 BessellB
56033.31630 1.46793e-14 4.75533e-17 BessellB
56034.84030 1.38773e-14 1.17232e-17 BessellB
56035.31590 1.37881e-14 4.44517e-17 BessellB
56036.65000 1.28087e-14 2.05310e-17 BessellB
56037.91710 1.24941e-14 1.04703e-17 BessellB
56038.61000 1.21648e-14 1.94224e-17 BessellB
56038.85400 1.18333e-14 9.87566e-18 BessellB
56039.13540 1.23910e-14 1.03773e-17 BessellB
