# MJD flux flux_err filter
56154.22 3.9425e-15 1.1402000000000001e-17 BessellU
56155.22 3.6963e-15 5.3203e-18 BessellU
56158.23 3.1029e-15 1.1027e-17 BessellU
56165.28 1.1582000000000002e-15 3.0770999999999996e-18 BessellU
56168.2 9.903e-16 3.9060999999999996e-18 BessellU
56171.08 8.467700000000001e-16 4.4079e-18 BessellU
56173.09 6.4829e-16 2.4878e-18 BessellU
56176.13 6.0781e-16 2.71e-18 BessellU
56196.2 2.6288999999999997e-16 1.4306000000000001e-18 BessellU
56202.01 2.5809e-16 1.7146999999999998e-18 BessellU
56204.21 2.3756e-16 1.9987999999999997e-18 BessellU
56208.04 2.3756e-16 2.5699e-18 BessellU
56211.05 1.9942e-16 1.1859999999999999e-18 BessellU
56221.06 1.3545e-16 6.2996e-19 BessellU
56154.22 6.3490000000000004e-15 9.199500000000001e-18 BessellB
56155.22 6.3490000000000004e-15 1.8399000000000002e-17 BessellB
56157.91 5.715600000000001e-15 1.1027999999999999e-17 BessellB
56159.31 4.8162e-15 1.7104e-17 BessellB
56160.3 5.3297e-15 2.6690999999999998e-17 BessellB
56165.28 4.0804000000000006e-15 1.4322e-17 BessellB
56168.2 3.7906e-15 5.2946e-18 BessellB
56171.08 3.3939e-15 1.4113000000000002e-17 BessellB
56173.09 3.1239e-15 8.6107e-18 BessellB
56176.13 3.1239e-15 8.6107e-18 BessellB
56179.34 2.746e-15 1.1252999999999999e-17 BessellB
56180.92 2.6224e-15 7.1422e-18 BessellB
56181.59 2.3916999999999998e-15 3.2366000000000006e-18 BessellB
56186.2 2.3698e-15 1.1217000000000001e-17 BessellB
56194.87 2.1813e-15 2.9335000000000002e-18 BessellB
56196.2 2.1613000000000002e-15 8.7145e-18 BessellB
56202.105 1.9934999999999998e-15 4.1658999999999995e-18 BessellB
56204.21 1.848e-15 4.916e-18 BessellB
56208.04 2.0263e-15 1.0847000000000001e-17 BessellB
56211.05 1.8143e-15 4.8203e-18 BessellB
56212.19 1.6395e-15 6.4902e-18 BessellB
56217.15 1.5802e-15 7.2803e-18 BessellB
56220.42 1.4019e-15 4.5773e-18 BessellB
56221.06 1.4679e-15 2.8845e-18 BessellB
56232.13 1.2097999999999999e-15 7.042500000000001e-18 BessellB
56242.13 9.0929e-16 5.7748e-18 BessellB
56246.96 6.897700000000001e-16 4.3050999999999995e-18 BessellB
56250.19 4.684999999999999e-16 2.5695999999999998e-18 BessellB
56253.08 4.1563e-16 2.5146e-18 BessellB
56266.93 2.5044e-16 2.9402999999999997e-18 BessellB
56268.94 2.284e-16 2.0003999999999998e-18 BessellB
56270.95 2.0831e-16 1.5727000000000001e-18 BessellB
56282.94 1.8997999999999998e-16 2.1949e-18 BessellB
56290.0 1.5802e-16 1.8064e-18 BessellB
56302.81 1.3763e-16 2.3415000000000002e-18 BessellB
56331.0 1.2098e-16 6.129800000000001e-19 BessellB
56346.0 1.1877e-16 6.679600000000001e-19 BessellB
56154.22 4.2998999999999995e-15 6.3062000000000004e-18 BessellV
56155.22 4.106399999999999e-15 1.2004e-17 BessellV
56158.053 3.9790999999999995e-15 6.8636e-18 BessellV
56159.31 3.8856e-15 1.1313e-17 BessellV
56160.3 4.106399999999999e-15 1.8006e-17 BessellV
56165.28 3.85e-15 1.1202000000000001e-17 BessellV
56168.2 3.5436999999999996e-15 5.124500000000001e-18 BessellV
56171.08 3.6767e-15 1.5992999999999998e-17 BessellV
