MJD flux flux_err filter
56500.87800 5.05554e-14 2.68913e-16 BessellU
56501.87800 5.49246e-14 2.45264e-16 BessellU
#56507.09470 8.45215e-14 2.27670e-16 BessellU
#56507.16850 8.72906e-14 2.35835e-16 BessellU
56507.85900 5.69859e-14 3.06370e-16 BessellU
#56508.86200 5.64634e-14 4.04414e-16 BessellU
#56508.89770 7.56776e-14 2.01777e-16 BessellU
56509.93200 5.24526e-14 2.79919e-16 BessellU
56510.86700 4.73988e-14 2.08909e-16 BessellU
#56511.97950 5.63595e-14 1.46306e-16 BessellU
#56511.98020 5.45214e-14 1.41116e-16 BessellU
#56512.10140 5.17330e-14 1.33274e-16 BessellU
#56512.16810 5.39718e-14 1.39567e-16 BessellU
56512.16810 5.20196e-14 1.80313e-16 BessellU
56512.23470 4.98158e-14 1.27906e-16 BessellU
56513.30330 4.77054e-14 1.22020e-16 BessellU
#56513.30400 4.60222e-14 1.17343e-16 BessellU
#56513.83900 3.90631e-14 1.69284e-16 BessellU
#56513.87600 3.97894e-14 2.07248e-16 BessellU
56514.81100 3.59557e-14 1.54706e-16 BessellU
#56515.77950 3.48471e-14 8.97203e-17 BessellU
56515.78020 3.45277e-14 8.58666e-17 BessellU
#56517.59000 3.21934e-14 3.56756e-16 BessellU
#56517.84180 2.60476e-14 6.76112e-17 BessellU
56517.84230 2.55016e-14 6.60769e-17 BessellU
#56517.89400 2.72752e-14 1.37558e-16 BessellU
56518.79200 2.53377e-14 1.05834e-16 BessellU
#56519.79300 2.20682e-14 7.29006e-17 BessellU
#56519.99370 1.90269e-14 5.27795e-17 BessellU
56519.99420 1.91499e-14 5.00224e-17 BessellU
56520.78400 2.10750e-14 1.04034e-16 BessellU
56521.64630 1.38985e-14 4.09075e-17 BessellU
#56521.64680 1.52394e-14 4.03002e-17 BessellU
#56521.78000 1.92206e-14 9.41666e-17 BessellU
56522.94300 1.65870e-14 5.35318e-17 BessellU
#56523.72540 1.01992e-14 3.32576e-17 BessellU
56523.72580 1.06602e-14 2.98976e-17 BessellU
56524.84200 1.35446e-14 7.52678e-17 BessellU
#56525.80300 1.28164e-14 7.09101e-17 BessellU
#56525.81700 1.22396e-14 5.78341e-17 BessellU
#56526.52590 7.20058e-15 2.66721e-17 BessellU
#56526.52640 7.58171e-15 2.35907e-17 BessellU
56526.83200 1.11626e-14 3.49104e-17 BessellU
#56527.13970 7.12143e-15 2.68948e-17 BessellU
#56527.14020 7.28731e-15 2.26068e-17 BessellU
56529.27100 9.90301e-15 4.60257e-17 BessellU
#56529.80500 8.86681e-15 3.40500e-17 BessellU
56531.73800 4.54744e-15 2.15946e-17 BessellU
#56531.73850 4.72680e-15 1.76616e-17 BessellU
56533.93100 6.66450e-15 3.00525e-17 BessellU
56534.82600 6.36454e-15 2.86009e-17 BessellU
56535.84800 5.75132e-15 2.99257e-17 BessellU
56536.83800 5.44211e-15 2.41723e-17 BessellU
56538.90900 4.91776e-15 2.16807e-17 BessellU
#56541.16390 2.36901e-15 1.10688e-17 BessellU
#56541.40650 2.11723e-15 1.62614e-17 BessellU
#56541.40730 2.20276e-15 9.62870e-18 BessellU
56541.86700 3.94246e-15 1.71032e-17 BessellU
56543.85400 3.40226e-15 1.46042e-17 BessellU
56544.86400 3.40226e-15 1.46042e-17 BessellU
56549.85800 2.90916e-15 1.23492e-17 BessellU
#56551.63630 1.22735e-15 5.64683e-18 BessellU
#56551.81840 1.42353e-15 1.42842e-17 BessellU
56551.81920 1.31029e-15 6.31809e-18 BessellU
56559.75500 1.72095e-15 7.04377e-18 BessellU
#56561.44480 1.01898e-15 6.44279e-18 BessellU
#56561.49260 8.70497e-16 1.16893e-17 BessellU
#56561.49340 9.15730e-16 4.85113e-18 BessellU
56561.74100 1.59870e-15 5.42559e-18 BessellU
56564.74900 1.45803e-15 5.90096e-18 BessellU
56571.88310 6.05017e-16 3.62137e-18 BessellU
#56574.48900 1.04657e-15 4.83354e-18 BessellU
56574.50700 1.06602e-15 3.52099e-18 BessellU
56579.48900 1.20162e-15 5.60069e-18 BessellU
#56581.61000 4.56843e-16 3.57238e-18 BessellU
#56581.78660 6.15130e-16 9.88108e-18 BessellU
56581.78740 4.15879e-16 3.00028e-18 BessellU
56583.60000 7.58171e-16 3.91850e-18 BessellU
56585.61800 6.72616e-16 4.31205e-18 BessellU
56588.32800 6.19109e-16 5.92207e-18 BessellU
56590.92200 5.85824e-16 4.09494e-18 BessellU
#56591.61500 4.44393e-16 2.49770e-18 BessellU
56591.95260 3.96431e-16 4.20347e-18 BessellU
56593.60700 4.61070e-16 3.46321e-18 BessellU
56593.63800 5.05554e-16 3.50107e-18 BessellU
56595.38000 3.62884e-16 4.25198e-18 BessellU
56600.47000 2.06903e-16 2.58981e-18 BessellU
56602.16440 1.24213e-16 2.18431e-18 BessellU
56608.84000 1.65870e-16 9.75810e-19 BessellU
56609.19160 9.56241e-17 1.66741e-18 BessellU
#56609.67990 3.27015e-16 2.00383e-18 BessellU
#56609.68070 1.19500e-16 1.81395e-18 BessellU
#56616.42820 1.03031e-16 1.26178e-18 BessellU
#56621.26700 1.26989e-16 2.35367e-18 BessellU
#56621.50030 8.68895e-17 1.59059e-18 BessellU
#56623.34000 1.55513e-16 9.11427e-19 BessellU
#56624.29100 1.20162e-16 2.84441e-18 BessellU
#56626.43210 7.36152e-17 1.15732e-18 BessellU
#56635.74840 7.35474e-17 1.13142e-18 BessellU
56500.87300 5.49442e-14 4.14051e-16 u
56501.87300 5.86032e-14 3.94686e-16 u
56518.81200 2.22803e-14 6.93805e-17 u
56519.79200 2.03199e-14 1.41357e-16 u
56520.78600 1.88765e-14 1.59589e-16 u
56521.77900 1.54142e-14 1.39985e-16 u
56522.86700 1.52729e-14 1.27054e-16 u
56526.81500 1.00907e-14 4.43964e-17 u
56529.12000 8.70806e-15 6.94900e-17 u
56529.81100 7.04566e-15 7.04751e-17 u
56533.96900 6.19329e-15 3.50765e-17 u
56535.88200 4.40475e-15 1.82695e-17 u
56536.92300 4.24543e-15 2.04913e-17 u
56541.90900 3.07554e-15 8.29823e-18 u
56543.86700 3.59684e-15 1.96167e-17 u
56549.84600 1.76979e-15 1.03580e-17 u
56559.76800 2.08892e-15 9.61257e-18 u
56561.76000 1.75356e-15 5.69830e-18 u
56564.73300 1.11666e-15 7.05055e-18 u
56574.45000 8.23989e-16 7.65704e-18 u
56579.47000 4.78544e-16 5.73619e-18 u
56581.64100 1.57008e-15 1.11445e-17 u
56583.62600 1.23572e-15 7.06727e-18 u
56625.58200 8.01533e-16 5.45280e-18 u
56498.31800 9.34770e-15 4.18048e-17 BessellB
56500.83600 4.19474e-14 1.40819e-16 BessellB
56500.89400 4.23355e-14 1.77789e-16 BessellB
56501.25200 4.39243e-14 2.22041e-16 BessellB
56501.83600 4.43307e-14 1.49513e-16 BessellB
56501.87800 4.51549e-14 1.52529e-16 BessellB
56501.89400 4.59944e-14 1.94509e-16 BessellB
56502.83600 5.08985e-14 1.73686e-16 BessellB
56502.83600 4.90574e-14 1.25160e-16 BessellB
56506.85900 5.42881e-14 3.25986e-16 BessellB
56507.09660 5.63773e-14 1.40704e-16 BessellB
56507.17000 5.62218e-14 1.40283e-16 BessellB
56508.87300 5.52974e-14 2.37551e-16 BessellB
#56508.89920 5.67420e-14 1.41693e-16 BessellB
#56508.96590 5.72143e-14 1.42974e-16 BessellB
56509.85500 5.42881e-14 1.86278e-16 BessellB
56509.94100 5.37904e-14 1.84424e-16 BessellB
56510.85100 5.13694e-14 2.19289e-16 BessellB
56511.98190 5.00155e-14 1.23554e-16 BessellB
56513.30500 4.05793e-14 9.84899e-17 BessellB
#56513.30570 4.61641e-14 1.13267e-16 BessellB
#56513.86900 4.59944e-14 1.55607e-16 BessellB
#56513.89900 4.47409e-14 1.88767e-16 BessellB
56514.67200 4.43307e-14 2.24269e-16 BessellB
56515.67300 4.08042e-14 2.04996e-16 BessellB
#56515.78120 3.88602e-14 9.39770e-17 BessellB
#56515.78190 4.18702e-14 1.01890e-16 BessellB
56516.79300 3.82564e-14 1.27443e-16 BessellB
#56517.59000 3.72139e-14 2.16450e-16 BessellB
#56517.84310 3.49546e-14 8.66815e-17 BessellB
56517.84350 3.68727e-14 8.87820e-17 BessellB
56517.89700 3.55390e-14 1.47086e-16 BessellB
56518.79600 3.42535e-14 1.41335e-16 BessellB
#56519.79600 3.27118e-14 8.06776e-17 BessellB
56519.99500 3.25915e-14 8.03566e-17 BessellB
56519.99550 3.21443e-14 7.91642e-17 BessellB
56520.78700 3.09531e-14 1.01327e-16 BessellB
#56521.64760 3.12395e-14 7.67560e-17 BessellB
#56521.64800 2.94242e-14 7.19430e-17 BessellB
56521.78400 2.82296e-14 9.17198e-17 BessellB
56522.94700 2.67119e-14 6.48007e-17 BessellB
#56523.72660 2.54393e-14 6.35199e-17 BessellB
56523.72710 2.57932e-14 6.23954e-17 BessellB
56524.84500 2.28404e-14 1.45910e-16 BessellB
56525.52500 2.18125e-14 1.04125e-16 BessellB
#56525.80700 2.16125e-14 6.87296e-17 BessellB
#56525.82000 2.20143e-14 7.01100e-17 BessellB
56526.48000 2.08307e-14 1.48613e-16 BessellB
#56526.52720 2.16723e-14 5.51479e-17 BessellB
#56526.52770 2.14143e-14 5.27385e-17 BessellB
56526.83600 2.02630e-14 4.80823e-17 BessellB
#56527.14100 2.31156e-14 5.72760e-17 BessellB
56527.14150 2.14934e-14 5.29486e-17 BessellB
56529.80900 1.73263e-14 5.41477e-17 BessellB
56531.73930 1.72944e-14 4.45832e-17 BessellB
56531.73970 1.68851e-14 4.21304e-17 BessellB
56533.93400 1.41483e-14 5.44089e-17 BessellB
56534.83000 1.38901e-14 5.33403e-17 BessellB
56535.85200 1.31433e-14 5.02593e-17 BessellB
56536.84100 1.27851e-14 3.90292e-17 BessellB
56538.91200 1.19868e-14 4.55165e-17 BessellB
56539.57500 1.23227e-14 3.75120e-17 BessellB
#56541.40850 1.09523e-14 3.13918e-17 BessellB
#56541.40930 1.16066e-14 2.90169e-17 BessellB
56541.87100 1.06342e-14 4.00164e-17 BessellB
56543.85800 9.97022e-15 3.73367e-17 BessellB
56544.86700 9.69850e-15 3.62442e-17 BessellB
56549.86200 8.29287e-15 2.45063e-17 BessellB
#56551.82030 7.65428e-15 2.41726e-17 BessellB
56551.82110 8.19416e-15 2.11690e-17 BessellB
56559.75800 6.40774e-15 2.78724e-17 BessellB
56561.49460 6.61766e-15 2.26015e-17 BessellB
#56561.49540 6.89771e-15 1.86016e-17 BessellB
#56561.74500 6.29078e-15 2.27726e-17 BessellB
56564.75200 5.95257e-15 2.57550e-17 BessellB
56572.46000 5.08985e-15 1.81470e-17 BessellB
#56574.49300 4.81620e-15 1.71040e-17 BessellB
56574.51200 4.99695e-15 1.42339e-17 BessellB
56578.36500 4.47409e-15 3.47739e-17 BessellB
56579.49500 4.23355e-15 1.48984e-17 BessellB
#56581.49000 4.15628e-15 1.75290e-17 BessellB
#56581.78860 3.87886e-15 1.73653e-17 BessellB
56581.78940 4.34015e-15 1.37702e-17 BessellB
56583.60500 3.72139e-15 1.03826e-17 BessellB
56585.62500 3.39394e-15 9.40861e-18 BessellB
56588.33100 3.09531e-15 8.52634e-18 BessellB
56590.92600 2.67119e-15 9.10518e-18 BessellB
56591.62200 2.55097e-15 8.66818e-18 BessellB
#56593.61600 2.24236e-15 6.04268e-18 BessellB
56593.64200 2.24236e-15 7.55335e-18 BessellB
56595.38900 1.83107e-15 7.30186e-18 BessellB
56599.57100 9.00958e-16 2.85927e-18 BessellB
56600.47400 8.29287e-16 2.61804e-18 BessellB
56602.38500 6.52686e-16 2.02983e-18 BessellB
56604.55000 5.32972e-16 1.63690e-18 BessellB
56608.85300 4.55727e-16 1.66359e-18 BessellB
#56609.35000 4.47409e-16 1.63140e-18 BessellB
#56609.68180 4.21798e-16 7.76481e-18 BessellB
56609.68260 3.91836e-16 2.74020e-18 BessellB
56614.56000 4.47409e-16 1.90330e-18 BessellB
56615.67200 4.39243e-16 1.59984e-18 BessellB
56616.42920 4.39648e-16 2.40210e-18 BessellB
#56617.28800 4.19474e-16 1.52357e-18 BessellB
56617.48000 4.35216e-16 2.37642e-18 BessellB
56618.39900 4.15628e-16 1.50876e-18 BessellB
#56621.29100 4.11817e-16 1.24508e-18 BessellB
56621.33600 4.00594e-16 1.20913e-18 BessellB
56623.39500 3.86104e-16 1.62793e-18 BessellB
56624.31200 3.68727e-16 1.55037e-18 BessellB
#56624.57300 3.72139e-16 1.34192e-18 BessellB
56626.34600 3.68727e-16 1.55037e-18 BessellB
56626.43270 3.44116e-16 2.07902e-18 BessellB
56630.02000 3.65346e-16 1.31597e-18 BessellB
56633.26200 3.52131e-16 1.47650e-18 BessellB
#56635.74910 3.31363e-16 2.01725e-18 BessellB
56637.29300 2.69591e-16 1.27155e-18 BessellB
#56638.33700 3.03882e-16 1.44348e-18 BessellB
56673.70000 2.06398e-16 1.07821e-18 BessellB
#56885.88200 4.39243e-17 1.87157e-19 BessellB
56498.30900 5.77378e-15 3.02914e-17 BessellV
56500.84000 2.31985e-14 5.82286e-17 BessellV
56500.89700 2.31985e-14 9.70477e-17 BessellV
56501.25600 2.47435e-14 1.04072e-16 BessellV
#56501.84000 2.56720e-14 8.66506e-17 BessellV
#56501.89700 2.61493e-14 1.10499e-16 BessellV
56502.84000 2.89375e-14 7.40017e-17 BessellV
56502.84000 2.84093e-14 7.25372e-17 BessellV
56503.97870 3.03292e-14 1.09021e-16 BessellV
56504.50210 3.24983e-14 1.11917e-16 BessellV
56506.86200 3.41555e-14 1.47663e-16 BessellV
56507.90500 3.54373e-14 1.22955e-16 BessellV
56508.87500 3.57652e-14 1.24192e-16 BessellV
56509.85700 3.60961e-14 9.40809e-17 BessellV
56509.94300 3.54373e-14 9.22162e-17 BessellV
56510.85300 3.57652e-14 9.31438e-17 BessellV
#56511.98470 3.78321e-14 1.02310e-16 BessellV
56511.98540 3.59634e-14 9.37049e-17 BessellV
56513.30850 3.53395e-14 9.80690e-17 BessellV
#56513.30910 3.45669e-14 8.97577e-17 BessellV
#56513.87100 3.51124e-14 9.12978e-17 BessellV
#56513.90100 3.47905e-14 1.50648e-16 BessellV
56514.67400 3.47905e-14 1.50648e-16 BessellV
56515.67500 3.32246e-14 1.43296e-16 BessellV
#56515.78470 3.33780e-14 9.21694e-17 BessellV
#56515.78540 3.36248e-14 8.71032e-17 BessellV
56516.79500 3.35321e-14 1.15790e-16 BessellV
#56517.59000 3.44715e-14 1.78977e-16 BessellV
56517.84670 3.10356e-14 8.51666e-17 BessellV
#56517.84720 3.49511e-14 9.38701e-17 BessellV
#56517.90000 3.32246e-14 1.43296e-16 BessellV
56518.79800 3.35321e-14 1.15790e-16 BessellV
#56519.99860 3.42500e-14 9.47882e-17 BessellV
56519.99910 3.32859e-14 8.90215e-17 BessellV
56520.79000 3.20229e-14 1.10140e-16 BessellV
56521.65120 3.09215e-14 8.48266e-17 BessellV
#56521.65170 3.16417e-14 8.42562e-17 BessellV
#56521.78600 3.11502e-14 1.06885e-16 BessellV
56522.94600 3.08646e-14 7.93661e-17 BessellV
56523.73030 3.21115e-14 8.83771e-17 BessellV
56523.73070 2.85141e-14 7.76829e-17 BessellV
56524.84800 2.86722e-14 1.22110e-16 BessellV
56525.52500 2.81488e-14 1.19693e-16 BessellV
#56525.80900 2.68819e-14 9.10882e-17 BessellV
#56525.82200 2.78908e-14 9.48024e-17 BessellV
56526.48000 2.92052e-14 1.74405e-16 BessellV
#56526.53080 2.60292e-14 7.47648e-17 BessellV
#56526.53130 2.79937e-14 7.61457e-17 BessellV
56526.83800 2.68819e-14 6.83161e-17 BessellV
56527.14460 2.47435e-14 7.28504e-17 BessellV
#56527.14510 2.56012e-14 7.12729e-17 BessellV
#56529.27600 2.47435e-14 1.24886e-16 BessellV
56529.81100 2.40691e-14 8.08008e-17 BessellV
#56531.74290 2.39144e-14 7.02084e-17 BessellV
56531.74340 2.31345e-14 6.38600e-17 BessellV
56533.93600 2.19513e-14 5.48446e-17 BessellV
56534.83100 2.13531e-14 1.06455e-16 BessellV
56535.85400 2.07711e-14 6.88777e-17 BessellV
56536.84300 2.07711e-14 6.88777e-17 BessellV
56538.91400 1.92957e-14 6.35967e-17 BessellV
#56539.57500 1.82583e-14 8.98573e-17 BessellV
56541.41040 1.88044e-14 5.72077e-17 BessellV
#56541.41120 1.80244e-14 4.87368e-17 BessellV
#56541.87300 1.80909e-14 5.93109e-17 BessellV
56544.86900 1.69613e-14 5.53154e-17 BessellV
#56551.82230 1.41730e-14 4.78325e-17 BessellV
56551.82310 1.53979e-14 4.23501e-17 BessellV
56559.76000 1.31057e-14 3.13959e-17 BessellV
56561.49660 1.31662e-14 4.52251e-17 BessellV
#56561.49800 1.29617e-14 3.51599e-17 BessellV
#56561.74700 1.28665e-14 4.10368e-17 BessellV
56564.75500 1.22874e-14 4.88081e-17 BessellV
56572.46200 1.12062e-14 4.41902e-17 BessellV
56574.49600 1.04102e-14 4.08141e-17 BessellV
56574.51500 1.10017e-14 3.46566e-17 BessellV
#56578.11200 9.76024e-15 4.56880e-17 BessellV
#56578.36500 9.94169e-15 1.55348e-16 BessellV
56579.49800 9.49424e-15 3.69561e-17 BessellV
56581.49300 8.73897e-15 4.05578e-17 BessellV
#56581.79060 8.98380e-15 3.69086e-17 BessellV
#56581.79190 8.66683e-15 2.54582e-17 BessellV
56583.60700 8.34565e-15 2.57300e-17 BessellV
56585.62800 7.89697e-15 1.81826e-17 BessellV
56588.33400 7.33602e-15 2.23947e-17 BessellV
56590.92900 6.50819e-15 2.46097e-17 BessellV
56591.62600 6.15829e-15 2.31897e-17 BessellV
#56593.62000 5.36365e-15 1.99894e-17 BessellV
56593.64600 5.36365e-15 1.59916e-17 BessellV
56595.39300 4.33971e-15 1.59220e-17 BessellV
56599.57500 1.96544e-15 6.81504e-18 BessellV
56600.47800 1.71183e-15 4.70347e-18 BessellV
56602.38900 1.28665e-15 3.46725e-18 BessellV
56604.55600 1.09008e-15 3.63139e-18 BessellV
56608.85900 9.23550e-16 3.04301e-18 BessellV
#56609.35000 9.76024e-16 5.16425e-18 BessellV
#56609.68380 1.00800e-15 1.52328e-17 BessellV
56609.68580 7.97738e-16 3.54056e-18 BessellV
56614.57000 8.81983e-16 2.31781e-18 BessellV
56615.68000 8.11821e-16 2.65234e-18 BessellV
56616.43490 7.41755e-16 3.85475e-18 BessellV
#56617.29600 7.97004e-16 2.60080e-18 BessellV
56617.48000 7.61133e-16 3.46682e-18 BessellV
56618.40700 7.89697e-16 2.57541e-18 BessellV
56621.29900 7.68175e-16 2.50071e-18 BessellV
#56621.34400 7.68175e-16 2.50071e-18 BessellV
56623.39500 7.89697e-16 3.60557e-18 BessellV
