# MJD flux flux_err filter
56460.37700 1.65348e-16 3.04583e-18 SDSS_i
56460.37800 3.09314e-16 2.84889e-18 SDSS_r
56460.38300 4.08508e-16 3.76249e-18 SDSS_g
#56460.38900 3.76010e-16 0.00000e+00 SDSS_g
56460.38900 3.76010e-16 3.76249e-18 SDSS_g
#56460.39400 3.29913e-16 0.00000e+00 SDSS_r
56460.39400 3.29913e-16 2.84889e-18 SDSS_r
56460.39800 1.76360e-16 1.62433e-18 SDSS_i
56460.75100 4.89779e-16 9.02206e-18 BessellB
56460.76000 4.81282e-16 8.86555e-18 BessellV
56460.84100 4.11529e-16 3.79032e-18 SDSS_r
56460.84600 2.57276e-16 2.36960e-18 SDSS_i
56460.85000 1.72822e-16 6.36701e-18 SDSS_z
56461.00000 5.27230e-16 9.71193e-18 BessellB
56461.01000 5.52586e-16 1.01790e-17 BessellV
56461.01400 5.48529e-16 1.01043e-17 SDSS_g
56461.02400 4.47095e-16 8.23580e-18 SDSS_r
56461.02900 2.64484e-16 4.87198e-18 SDSS_i
56461.08400 4.12287e-16 7.59461e-18 BessellR
56461.08900 2.16172e-16 3.98204e-18 BessellI
56461.09400 1.79308e-16 6.60596e-18 SDSS_z
56461.17100 2.45697e-16 4.52591e-18 SDSS_i
56461.17400 4.59621e-16 4.23327e-18 SDSS_r
56461.30300 2.50265e-16 4.61005e-18 SDSS_i
56461.30500 4.63874e-16 4.27244e-18 SDSS_r
56461.33600 2.50265e-16 4.61005e-18 SDSS_i
56461.33700 6.07016e-16 5.59082e-18 SDSS_g
#56461.69600 2.84971e-16 0.00000e+00 BessellI
56461.69600 2.84971e-16 3.98204e-18 BessellI
56461.70000 2.07778e-16 1.14823e-17 SDSS_z
56462.03000 6.76083e-16 3.73617e-17 BessellB
56462.03900 7.21772e-16 1.32955e-17 BessellV
56462.08400 5.79696e-16 5.33919e-18 BessellR
56462.08900 3.24190e-16 5.97181e-18 BessellI
56462.09300 2.42996e-16 6.71424e-18 SDSS_z
56462.14000 6.05341e-16 1.11508e-17 BessellB
56462.14000 6.95665e-16 6.40731e-18 BessellV
56462.14000 5.00265e-16 4.60761e-18 BessellR
56462.14000 2.84971e-16 2.62468e-18 BessellI
56462.19800 7.41310e-16 1.36554e-17 BessellB
56462.20700 7.62781e-16 7.72802e-17 BessellV
56462.21200 7.36546e-16 6.78384e-18 SDSS_g
56462.22200 6.52229e-16 6.00725e-18 SDSS_r
56462.22700 3.61743e-16 6.66355e-18 SDSS_i
56462.32300 6.12633e-16 1.12851e-17 BessellR
56462.32800 3.30217e-16 1.21657e-17 BessellI
56462.33300 2.68906e-16 9.90685e-18 SDSS_z
56463.00000 9.77237e-16 1.80014e-17 BessellB
56463.00400 9.25550e-16 1.70493e-17 BessellV
56463.00600 1.01672e-15 9.36431e-18 SDSS_g
56463.01000 8.36373e-16 1.54066e-17 SDSS_r
56463.01200 4.81282e-16 8.86555e-18 SDSS_i
56463.06300 7.85597e-16 7.23562e-18 BessellR
56463.06500 4.11908e-16 1.13814e-17 BessellI
56463.06700 3.14485e-16 1.44826e-17 SDSS_z
56463.13000 8.67761e-16 7.99237e-18 BessellV
56463.13000 6.71738e-16 6.18694e-18 BessellR
56463.13000 8.20352e-16 1.51114e-17 BessellB
56463.13000 3.82648e-16 7.04865e-18 BessellI
56465.05000 5.63378e-16 1.03778e-17 BessellI
56465.05000 1.49279e-15 2.74983e-17 BessellB
56465.05000 1.08443e-15 2.99638e-17 BessellR
56465.05000 1.37531e-15 2.53341e-17 BessellV
56465.07000 1.68267e-15 1.54980e-17 BessellB
56465.07300 1.52195e-15 2.80353e-17 BessellV
56465.07600 1.16735e-15 1.07517e-17 BessellR
56465.07800 6.17732e-16 1.13790e-17 BessellI
56465.08000 1.70294e-15 1.56847e-17 SDSS_g
56465.08400 1.23140e-15 1.81466e-16 SDSS_r
56465.08600 7.15155e-16 1.31736e-17 SDSS_i
56465.08800 4.46272e-16 1.64413e-17 SDSS_z
56465.35600 1.77828e-15 1.63786e-16 BessellB
56465.35900 1.32556e-15 1.22089e-17 SDSS_r
#56465.44000 1.76685e-15 0.00000e+00 SDSS_g
56465.44000 1.76685e-15 1.56847e-17 SDSS_g
56465.44300 8.06121e-16 7.42464e-18 SDSS_i
56466.14000 1.65348e-15 3.04583e-17 BessellV
56466.14000 1.26824e-15 1.16809e-17 BessellR
56466.14000 1.89671e-15 5.24079e-17 BessellB
56466.14000 6.83597e-16 6.29616e-18 BessellI
56466.26000 2.24492e-15 2.06764e-17 SDSS_g
56466.26300 9.00326e-16 1.65846e-17 SDSS_i
56466.26700 1.44012e-15 2.65281e-17 SDSS_r
56466.26900 1.94985e-15 1.79587e-16 BessellB
56466.34900 2.19786e-15 2.02430e-16 BessellB
56466.35300 1.53603e-15 1.41474e-17 SDSS_r
#56466.35700 2.16372e-15 0.00000e+00 SDSS_g
56466.35700 2.16372e-15 2.06764e-17 SDSS_g
56466.35900 9.17065e-16 8.44648e-18 SDSS_i
56467.08000 2.37247e-15 2.18512e-17 SDSS_g
56467.08400 1.71554e-15 1.58007e-17 SDSS_r
56467.08600 1.02424e-15 9.43356e-18 SDSS_i
56467.08800 5.61824e-16 1.55238e-17 SDSS_z
56467.27500 1.02424e-15 9.43356e-18 SDSS_i
56467.27700 1.69981e-15 1.56558e-17 SDSS_r
56467.27800 2.28665e-15 2.10608e-17 SDSS_g
56468.09400 2.71644e-15 2.50193e-17 BessellB
56468.09800 2.39001e-15 2.20128e-17 BessellV
