# MJD flux flux_err filter
50837.300 3.7906e-16 2.2806e-18 BessellB
50846.200 4.5573e-16 2.7727e-18 BessellB
50898.000 5.1369e-16 3.1483e-18 BessellB
50899.300 4.642e-16 2.8274e-18 BessellB
50939.100 1.3265e-16 7.5069e-19 BessellB
50962.000 1.2785e-16 7.2203e-19 BessellB
50991.000 9.3477e-17 5.1873e-19 BessellB
51200.200 2.348e-17 1.2102e-19 BessellB
50837.300 6.1583e-16 3.9527e-18 BessellV
50845.400 7.1361e-16 4.624e-18 BessellV
50846.200 7.4724e-16 4.8564e-18 BessellV
50898.000 1.0507e-15 6.9829e-18 BessellV
50899.300 1.0034e-15 6.6483e-18 BessellV
50939.100 3.0023e-16 1.8421e-18 BessellV
50960.000 2.5672e-16 1.5601e-18 BessellV
50962.000 2.5437e-16 1.545e-18 BessellV
50991.000 1.9119e-16 1.1415e-18 BessellV
51143.300 4.3799e-17 2.4035e-19 BessellV
51200.200 2.3848e-17 1.2665e-19 BessellV
50819.800 3.4301e-16 2.1912e-18 BessellR
50837.300 5.7984e-16 3.8327e-18 BessellR
50845.400 6.7191e-16 4.4849e-18 BessellR
50846.200 6.844e-16 4.5739e-18 BessellR
50894.200 1.0551e-15 7.2616e-18 BessellR
50898.000 1.0649e-15 7.3334e-18 BessellR
50899.300 1.017e-15 6.9812e-18 BessellR
50939.100 3.9022e-16 2.5135e-18 BessellR
50960.000 3.3366e-16 2.1278e-18 BessellR
50962.000 3.3061e-16 2.107e-18 BessellR
50991.000 2.6997e-16 1.6986e-18 BessellR
51143.300 6.2418e-17 3.5961e-19 BessellR
51200.200 3.2457e-17 1.8021e-19 BessellR
50837.300 3.78e-16 2.5371e-18 BessellI
50845.400 4.5866e-16 3.119e-18 BessellI
50846.200 4.8027e-16 3.2762e-18 BessellI
50898.000 7.7533e-16 5.4676e-18 BessellI
50939.100 3.1731e-16 2.1051e-18 BessellI
50962.000 2.6884e-16 1.7641e-18 BessellI
50991.000 2.1159e-16 1.3669e-18 BessellI
51143.300 5.0291e-17 2.9731e-19 BessellI
51201.200 2.5674e-17 1.4598e-19 BessellI
