# MJD flux flux_err filter
52700.100 2.5533e-15 5.5509e-17 BessellB
52702.000 3.2412e-15 3.8934e-17 BessellB
52710.000 8.3542e-15 8.4556e-17 BessellB
52733.000 3.15e-15 6.2641e-17 BessellB
52738.000 2.2177e-15 1.8162e-16 BessellB
52744.000 1.7041e-15 8.0814e-17 BessellB
52745.000 1.6623e-15 1.5965e-16 BessellB
52746.000 1.4545e-15 6.848e-17 BessellB
52754.000 1.34e-15 9.8188e-17 BessellB
52845.400 5.0899e-16 6.7498e-17 BessellB
52702.000 2.8831e-15 5.8676e-17 BessellV
52710.000 6.3894e-15 5.8299e-17 BessellV
52733.000 4.5192e-15 6.324e-17 BessellV
52738.000 3.5016e-15 4.5516e-17 BessellV
52744.000 2.7081e-15 5.481e-17 BessellV
52745.000 2.6944e-15 2.3391e-17 BessellV
52746.000 2.5227e-15 4.6694e-17 BessellV
52754.000 2.1491e-15 1.378e-17 BessellV
52843.400 6.3425e-16 1.1065e-17 BessellV
52845.400 6.1924e-16 1.1646e-17 BessellV
52700.720 1.8001e-15 2.6209e-18 BessellR
52740.700 2.602e-15 4.1033e-18 BessellR
52845.400 6.4226e-16 3.7649e-18 BessellR
52870.400 4.908e-16 4.7042e-18 BessellR
52905.400 3.137e-16 1.0354e-17 BessellR
52951.300 1.8972e-16 2.439e-18 BessellR
52710.000 2.6588e-15 1.8376e-18 BessellI
52738.000 2.6103e-15 1.6541e-18 BessellI
52744.000 2.1711e-15 1.5662e-18 BessellI
52745.000 2.1554e-15 1.1494e-18 BessellI
52746.000 2.0965e-15 1.8009e-18 BessellI
52754.000 1.8075e-15 1.2017e-18 BessellI
52845.400 5.364e-16 1.2247e-18 BessellI
52870.400 3.7661e-16 1.5748e-18 BessellI
52905.400 2.0468e-16 1.2793e-18 BessellI
