# MJD flux flux_err filter
53572.310 1.3023e-16 2.5768e-18 BessellB
53573.360 2.1414e-16 1.8684e-18 BessellB
53585.490 2.746e-16 8.1038e-19 BessellB
53589.350 2.7971e-16 6.6107e-19 BessellB
53593.360 2.8491e-16 1.5167e-18 BessellB
53594.440 2.7714e-16 8.1832e-19 BessellB
53596.390 2.823e-16 1.1682e-18 BessellB
53599.360 2.7714e-16 8.1832e-19 BessellB
53601.300 2.746e-16 8.1038e-19 BessellB
53608.450 2.6712e-16 9.4441e-19 BessellB
53611.100 2.551e-16 5.9964e-19 BessellB
53613.220 2.6224e-16 1.3892e-18 BessellB
53614.290 2.5984e-16 7.6432e-19 BessellB
53616.360 2.4362e-16 5.7111e-19 BessellB
53617.510 2.4138e-16 1.6967e-18 BessellB
53619.180 2.3698e-16 9.7063e-19 BessellB
53620.210 2.348e-16 6.8658e-19 BessellB
53621.220 2.2218e-16 6.4758e-19 BessellB
53629.330 1.9351e-16 1.0071e-18 BessellB
53643.160 1.4545e-16 1.2411e-18 BessellB
53657.300 8.447e-17 1.1187e-18 BessellB
53664.190 7.4938e-17 1.8076e-18 BessellB
53669.290 6.176e-17 7.0354e-19 BessellB
53673.160 5.0432e-17 4.6002e-19 BessellB
53694.300 3.0669e-17 1.6028e-19 BessellB
53572.310 1.6652e-16 1.7749e-18 BessellV
53573.360 2.1951e-16 9.2502e-19 BessellV
53584.380 2.7382e-16 1.1694e-18 BessellV
53585.490 3.1438e-16 1.1606e-18 BessellV
53589.350 3.2319e-16 1.5936e-18 BessellV
53593.360 3.0865e-16 1.5176e-18 BessellV
53594.440 3.2023e-16 1.1836e-18 BessellV
53596.390 3.4155e-16 1.0562e-18 BessellV
53599.360 3.3532e-16 1.0357e-18 BessellV
53601.300 3.3842e-16 1.0459e-18 BessellV
53608.450 3.2319e-16 1.1952e-18 BessellV
53611.100 3.115e-16 9.5779e-19 BessellV
53614.290 3.115e-16 1.1493e-18 BessellV
53615.340 2.9475e-16 1.0839e-18 BessellV
53616.360 2.8409e-16 1.0423e-18 BessellV
53617.510 2.8409e-16 1.216e-18 BessellV
53619.180 2.8937e-16 1.0629e-18 BessellV
53620.210 2.8409e-16 2.0846e-18 BessellV
53621.220 2.8149e-16 1.2042e-18 BessellV
53628.230 2.4972e-16 1.5151e-18 BessellV
53629.330 2.6636e-16 1.2979e-18 BessellV
53635.420 2.4517e-16 5.9431e-18 BessellV
53643.160 2.2566e-16 1.0886e-18 BessellV
53651.330 1.7598e-16 1.15e-18 BessellV
53657.300 1.437e-16 9.2792e-19 BessellV
53664.190 1.1734e-16 1.0211e-18 BessellV
53669.290 1.0127e-16 4.0774e-19 BessellV
53673.160 8.9838e-17 1.3857e-18 BessellV
53690.160 3.643e-17 1.9791e-19 BessellV
53694.300 1.0315e-17 5.2443e-20 BessellV
