# MJD flux flux_err filter
53773.210 1.1921e-16 1.6094e-19 BessellB
53774.320 1.3035e-16 1.4739e-19 BessellB
53775.170 1.3499e-16 1.5294e-19 BessellB
53778.310 1.5315e-16 3.4078e-19 BessellB
53784.400 1.7136e-16 4.92e-19 BessellB
53786.380 1.9494e-16 2.3683e-19 BessellB
53795.340 2.2569e-16 1.7118e-19 BessellB
53799.250 2.4205e-16 1.5599e-19 BessellB
53804.340 2.6589e-16 1.4097e-19 BessellB
53805.290 2.7334e-16 2.0967e-19 BessellB
53818.270 3.0472e-16 2.3525e-19 BessellB
53824.230 3.036e-16 1.6223e-19 BessellB
53832.250 2.8914e-16 1.7118e-19 BessellB
53838.250 2.6032e-16 6.2796e-19 BessellB
53846.230 1.7519e-16 1.4102e-19 BessellB
53853.140 1.0673e-16 1.074e-19 BessellB
53862.070 6.5873e-17 1.0757e-19 BessellB
53867.070 5.3593e-17 2.4811e-19 BessellB
53898.060 4.0879e-17 7.3746e-20 BessellB
53773.210 1.6171e-16 1.1255e-19 SDSS_g
53774.320 1.635e-16 1.0438e-19 SDSS_g
53775.170 1.6777e-16 9.7518e-20 SDSS_g
53778.310 1.9051e-16 2.1196e-19 SDSS_g
53786.380 2.3852e-16 1.5568e-19 SDSS_g
53795.340 2.8942e-16 1.0424e-19 SDSS_g
53799.250 3.153e-16 1.1414e-19 SDSS_g
53804.340 3.4035e-16 1.2378e-19 SDSS_g
53805.290 3.4508e-16 1.4655e-19 SDSS_g
53818.270 3.8969e-16 2.1436e-19 SDSS_g
53824.230 3.9694e-16 1.4572e-19 SDSS_g
53832.250 3.7422e-16 1.3689e-19 SDSS_g
53838.250 3.323e-16 3.2181e-19 SDSS_g
53846.230 2.4838e-16 1.1819e-19 SDSS_g
53853.140 1.5759e-16 8.2139e-20 SDSS_g
53862.070 9.8429e-17 8.8787e-20 SDSS_g
53867.070 9.1944e-17 1.4975e-19 SDSS_g
53892.060 6.5997e-17 9.4608e-20 SDSS_g
53898.060 6.2334e-17 6.852e-20 SDSS_g
53773.210 1.6423e-16 1.1661e-19 BessellV
53774.320 1.7197e-16 1.2243e-19 BessellV
53775.170 1.781e-16 1.0588e-19 BessellV
53778.310 2.0242e-16 2.3041e-19 BessellV
53784.400 2.3717e-16 2.2951e-19 BessellV
53786.380 2.5204e-16 1.683e-19 BessellV
53795.340 2.9996e-16 1.2882e-19 BessellV
53799.250 3.2438e-16 1.1999e-19 BessellV
53804.340 3.5048e-16 1.5197e-19 BessellV
53805.290 3.508e-16 1.7385e-19 BessellV
53818.270 4.0019e-16 2.2495e-19 BessellV
53824.230 4.1406e-16 1.5549e-19 BessellV
53832.250 3.9908e-16 1.7445e-19 BessellV
53838.250 3.6129e-16 3.1391e-19 BessellV
53846.230 2.7712e-16 1.1844e-19 BessellV
53853.140 1.8615e-16 9.9864e-20 BessellV
53862.070 1.222e-16 9.948e-20 BessellV
53867.070 1.1341e-16 1.7073e-19 BessellV
53892.060 8.6429e-17 2.3648e-19 BessellV
53898.060 7.4518e-17 7.5817e-20 BessellV
53770.670 1.811e-16 1.0927e-18 SDSS_r
53772.930 1.6867e-16 9.0838e-20 SDSS_r
53774.320 1.7423e-16 9.4388e-20 SDSS_r
53775.170 1.8077e-16 9.8147e-20 SDSS_r
53778.310 2.0041e-16 1.9466e-19 SDSS_r
53786.380 2.4839e-16 1.3749e-19 SDSS_r
53795.340 2.9918e-16 1.303e-19 SDSS_r
53799.250 3.2235e-16 1.209e-19 SDSS_r
53804.340 3.4796e-16 1.0927e-19 SDSS_r
53805.290 3.5086e-16 1.5433e-19 SDSS_r
53818.270 4.0172e-16 2.0369e-19 SDSS_r
53824.230 4.126e-16 1.5717e-19 SDSS_r
53832.250 4.0358e-16 1.791e-19 SDSS_r
53838.250 3.7664e-16 2.1397e-19 SDSS_r
53846.230 3.0615e-16 1.1445e-19 SDSS_r
53853.140 2.1874e-16 1.068e-19 SDSS_r
53862.070 1.5259e-16 9.1121e-20 SDSS_r
53867.070 1.4019e-16 9.9956e-20 SDSS_r
53892.060 1.1239e-16 1.1864e-19 SDSS_r
53898.060 1.0743e-16 9.4255e-20 SDSS_r
53773.210 1.201e-16 7.9613e-20 SDSS_i
53774.320 1.2472e-16 8.2866e-20 SDSS_i
53775.170 1.2833e-16 8.5413e-20 SDSS_i
53778.310 1.4386e-16 1.3147e-19 SDSS_i
53786.380 1.7536e-16 1.0815e-19 SDSS_i
53795.340 2.1006e-16 1.048e-19 SDSS_i
53799.250 2.2405e-16 9.8202e-20 SDSS_i
53804.340 2.4386e-16 9.2105e-20 SDSS_i
53805.290 2.468e-16 1.2438e-19 SDSS_i
53818.270 2.8154e-16 1.6096e-19 SDSS_i
53824.230 2.913e-16 1.2981e-19 SDSS_i
53832.250 2.881e-16 1.4662e-19 SDSS_i
53838.250 2.6936e-16 1.7063e-19 SDSS_i
53846.230 2.2508e-16 1.1278e-19 SDSS_i
53853.140 1.6686e-16 9.2326e-20 SDSS_i
53862.070 1.1791e-16 8.5171e-20 SDSS_i
53867.070 1.0733e-16 1.0922e-19 SDSS_i
53892.060 8.1422e-17 1.1507e-19 SDSS_i
53898.060 7.7258e-17 9.524e-20 SDSS_i
