# MJD flux flux_err filter
53774.380 1.1205e-16 1.8491e-18 BessellU
53775.936 3.6593e-16 1.2192e-18 BessellU
53780.410 5.5488e-16 3.4436e-18 BessellU
53783.890 6.3474e-16 3.8515e-18 BessellU
53785.992 1.004e-15 1.2111e-18 BessellU
53787.106 9.1452e-16 1.9277e-18 BessellU
53787.927 9.3513e-16 1.0794e-18 BessellU
53790.512 5.1499e-16 3.6679e-18 BessellU
53792.588 4.2364e-16 3.3235e-18 BessellU
53793.863 6.2945e-16 1.0505e-18 BessellU
53794.869 3.1405e-16 2.5915e-18 BessellU
53795.932 4.9776e-16 8.0706e-19 BessellU
53796.828 4.1186e-16 1.2892e-18 BessellU
53797.877 4.1998e-16 7.9477e-19 BessellU
53798.915 3.5607e-16 5.2019e-19 BessellU
53799.913 3.2349e-16 4.7761e-19 BessellU
53802.945 2.4041e-16 6.0832e-19 BessellU
53806.703 9.6694e-17 1.6044e-18 BessellU
53812.115 6.4953e-17 1.445e-18 BessellU
53814.881 9.7483e-17 4.6164e-19 BessellU
53816.895 8.5231e-17 8.0097e-19 BessellU
53821.554 5.4676e-17 3.0195e-19 BessellU
53823.334 5.4075e-17 2.9845e-19 BessellU
53826.860 7.5544e-17 1.1936e-18 BessellU
53831.839 8.0426e-17 7.2158e-19 BessellU
53840.746 7.1878e-17 8.2219e-19 BessellU
53775.174 3.3446e-16 8.0458e-19 SDSS_u
53778.351 6.5636e-16 1.2831e-18 SDSS_u
53783.216 9.1441e-16 1.7105e-18 SDSS_u
53784.323 9.0103e-16 1.3471e-18 SDSS_u
53785.300 8.9031e-16 1.2747e-18 SDSS_u
53786.325 8.7004e-16 8.6531e-19 SDSS_u
53788.314 8.1647e-16 7.5828e-19 SDSS_u
53790.292 7.033e-16 6.472e-19 SDSS_u
53795.276 4.8881e-16 5.28e-19 SDSS_u
53798.287 3.6236e-16 4.4859e-19 SDSS_u
53799.287 3.1013e-16 4.529e-19 SDSS_u
53802.278 2.1714e-16 3.7277e-19 SDSS_u
53804.265 1.7634e-16 3.9888e-19 SDSS_u
53805.224 1.5818e-16 5.0675e-19 SDSS_u
53809.227 1.1878e-16 1.1498e-18 SDSS_u
53815.215 7.0785e-17 2.8929e-19 SDSS_u
53818.277 5.986e-17 2.6479e-19 SDSS_u
53819.249 5.2281e-17 1.3555e-19 SDSS_u
53824.234 4.2222e-17 2.7393e-19 SDSS_u
53831.195 4.1223e-17 1.7018e-19 SDSS_u
53832.265 4.3605e-17 2.3768e-19 SDSS_u
53835.153 3.499e-17 3.3358e-19 SDSS_u
53841.217 2.3418e-17 4.8257e-19 SDSS_u
53774.441 9.1885e-16 1.5742e-18 BessellB
53775.312 1.3255e-15 5.8292e-19 BessellB
53776.200 1.7626e-15 2.0514e-18 BessellB
53776.881 2.1336e-15 9.4543e-18 BessellB
53778.141 2.7354e-15 1.1857e-18 BessellB
53780.390 3.6191e-15 2.245e-18 BessellB
53783.216 4.3722e-15 2.1588e-18 BessellB
53784.143 4.4893e-15 2.2055e-18 BessellB
53785.161 4.5563e-15 2.5138e-18 BessellB
53786.112 4.4959e-15 1.7135e-18 BessellB
53787.215 4.1563e-15 4.2278e-18 BessellB
53788.221 4.2864e-15 1.928e-18 BessellB
53789.450 4.0059e-15 4.4934e-18 BessellB
53790.361 3.9425e-15 1.8144e-18 BessellB
53790.513 3.3877e-15 1.6666e-17 BessellB
53791.834 3.1908e-15 4.844e-18 BessellB
53792.588 2.7009e-15 1.4925e-17 BessellB
53793.859 2.8282e-15 3.4838e-18 BessellB
53794.992 2.7677e-15 1.104e-18 BessellB
53795.932 2.3394e-15 2.126e-18 BessellB
53796.830 2.0554e-15 3.0928e-18 BessellB
53798.080 2.0279e-15 8.7901e-19 BessellB
53799.043 1.8462e-15 6.5548e-19 BessellB
53799.914 1.5673e-15 1.2233e-18 BessellB
53802.278 1.3954e-15 7.2874e-19 BessellB
53802.941 1.1311e-15 1.5296e-18 BessellB
53804.265 1.1596e-15 5.9835e-19 BessellB
53805.224 1.0693e-15 7.5474e-19 BessellB
53806.704 8.0742e-16 4.6311e-18 BessellB
53809.227 7.9342e-16 1.1489e-18 BessellB
53812.116 5.5043e-16 3.523e-18 BessellB
53813.420 4.5363e-16 1.2691e-18 BessellB
53815.051 4.969e-16 3.8123e-19 BessellB
53816.400 4.642e-16 1.2157e-18 BessellB
53816.898 3.694e-16 7.7665e-19 BessellB
53818.010 4.3337e-16 3.7147e-19 BessellB
53819.249 4.1219e-16 3.2402e-19 BessellB
53821.360 3.801e-16 6.8616e-19 BessellB
53821.557 3.4987e-16 2.8699e-18 BessellB
