# MJD flux flux_err filter
53984.471 2.9861e-16 7.0848e-19 BessellB
53990.293 2.2096e-16 6.0517e-19 BessellB
53991.388 1.7422e-16 7.5106e-19 BessellB
53992.206 1.9174e-16 5.5409e-19 BessellB
53994.284 1.5428e-16 5.3718e-19 BessellB
54000.335 8.5962e-17 4.4633e-19 BessellB
54002.355 7.1962e-17 4.7629e-19 BessellB
54006.404 6.6851e-17 4.2247e-19 BessellB
54007.194 7.2762e-17 5.0577e-19 BessellB
54009.264 5.617e-17 4.3349e-19 BessellB
54011.173 6.9104e-17 4.9408e-19 BessellB
54012.185 5.3052e-17 5.252e-19 BessellB
54019.224 5.7904e-17 4.789e-19 BessellB
54021.200 5.6015e-17 4.7454e-19 BessellB
54030.260 4.7589e-17 4.3274e-19 BessellB
53962.300 2.6636e-17 1.4228e-19 BessellV
53963.400 4.5442e-17 2.2489e-19 BessellV
53964.200 4.2214e-17 2.0807e-19 BessellV
53965.100 4.0687e-17 2.0014e-19 BessellV
53966.100 6.0459e-17 2.3642e-19 BessellV
53967.100 6.4485e-17 2.1693e-19 BessellV
53968.200 8.5008e-17 2.9046e-19 BessellV
53969.100 1.0604e-16 3.0578e-19 BessellV
53970.300 1.3598e-16 3.9782e-19 BessellV
53972.400 1.7598e-16 3.1364e-19 BessellV
53973.300 1.9296e-16 3.4579e-19 BessellV
53974.200 2.0771e-16 3.7388e-19 BessellV
53975.200 2.3199e-16 4.2036e-19 BessellV
53976.200 2.6149e-16 4.7728e-19 BessellV
53977.200 2.6882e-16 4.9148e-19 BessellV
53978.200 2.7891e-16 5.1107e-19 BessellV
53984.468 3.3749e-16 6.0484e-19 BessellV
53987.355 3.2799e-16 5.4631e-19 BessellV
53989.400 2.7917e-16 5.9683e-19 BessellV
53990.290 2.8357e-16 5.2014e-19 BessellV
53991.385 2.4972e-16 4.6968e-19 BessellV
53992.203 2.4926e-16 3.7803e-19 BessellV
53994.280 2.1138e-16 3.301e-19 BessellV
54000.332 1.5075e-16 3.1061e-19 BessellV
54002.351 1.319e-16 2.6966e-19 BessellV
54006.400 1.0497e-16 2.7832e-19 BessellV
54007.190 9.6352e-17 2.8185e-19 BessellV
54008.300 1.2175e-16 3.539e-19 BessellV
54009.260 9.7963e-17 2.6996e-19 BessellV
54011.169 9.5293e-17 2.895e-19 BessellV
54012.180 8.454e-17 3.2246e-19 BessellV
54019.217 7.2354e-17 2.7356e-19 BessellV
54021.198 6.8024e-17 2.4099e-19 BessellV
54030.257 5.5855e-17 2.3299e-19 BessellV
54038.200 8.2691e-17 2.3509e-19 BessellV
54042.141 4.4123e-17 3.8756e-19 BessellV
54045.141 4.7061e-17 3.6558e-19 BessellV
54046.132 5.4333e-17 3.5603e-19 BessellV
54052.168 4.2448e-17 1.9301e-19 BessellV
54054.146 4.449e-17 1.7593e-19 BessellV
54056.235 4.3118e-17 2.4114e-19 BessellV
54066.148 3.6869e-17 2.4853e-19 BessellV
54067.094 3.2648e-17 4.4256e-19 BessellV
54069.169 4.292e-17 4.7524e-19 BessellV
54076.118 2.8514e-17 2.446e-19 BessellV
54080.094 3.2349e-17 1.6239e-19 BessellV
54081.090 3.4758e-17 2.1472e-19 BessellV
54082.127 3.0525e-17 2.2668e-19 BessellV
54086.142 2.5554e-17 2.3563e-19 BessellV
54095.086 1.98e-17 2.0928e-19 BessellV
53984.466 2.8942e-16 3.9533e-19 SDSS_r
