# MJD flux flux_err filter
54136.550 6.551e-16 1.2634e-18 BessellB
54141.403 6.0409e-16 1.1218e-18 BessellB
54148.469 4.591e-16 6.986e-19 BessellB
54150.524 4.2806e-16 1.5826e-18 BessellB
54154.486 3.3259e-16 5.1621e-19 BessellB
54159.997 2.4356e-16 3.8324e-19 BessellB
54165.497 1.9209e-16 8.4385e-19 BessellB
54169.008 1.7737e-16 2.5274e-19 BessellB
54170.433 1.6823e-16 3.3776e-19 BessellB
54175.484 1.3425e-16 3.041e-19 BessellB
54188.334 1.149e-16 7.4172e-19 BessellB
54199.458 1.2999e-16 5.4374e-19 BessellB
54219.369 5.8332e-17 8.8325e-19 BessellB
54227.421 3.4539e-17 4.1412e-19 BessellB
54232.411 2.9971e-17 2.8786e-19 BessellB
54234.417 2.3829e-17 2.0035e-19 BessellB
54236.432 2.1218e-17 2.0453e-19 BessellB
54240.419 1.0212e-17 2.1399e-19 BessellB
54136.547 4.0352e-16 4.7909e-19 BessellV
54137.974 4.0571e-16 3.3141e-19 BessellV
54139.446 3.9288e-16 5.1471e-19 BessellV
54141.400 3.9798e-16 4.4726e-19 BessellV
54148.466 3.8678e-16 4.8211e-19 BessellV
54154.483 3.5765e-16 4.2146e-19 BessellV
54159.994 3.228e-16 3.3013e-19 BessellV
54161.453 3.1496e-16 3.8764e-19 BessellV
54162.482 3.019e-16 5.1883e-19 BessellV
54165.494 2.9611e-16 5.0829e-19 BessellV
54166.463 2.9475e-16 3.4323e-19 BessellV
54169.005 2.8084e-16 2.5483e-19 BessellV
54170.430 2.8911e-16 3.7165e-19 BessellV
54175.481 2.5886e-16 3.3052e-19 BessellV
54188.331 2.4539e-16 5.0566e-19 BessellV
54193.355 2.2817e-16 3.1666e-19 BessellV
54199.463 2.1452e-16 3.3529e-19 BessellV
54206.452 1.9709e-16 3.3007e-19 BessellV
54208.359 1.8191e-16 2.9237e-19 BessellV
54217.223 1.5583e-16 3.309e-19 BessellV
54218.477 1.7024e-16 4.4413e-19 BessellV
54219.366 1.4651e-16 4.4773e-19 BessellV
54220.332 1.4357e-16 3.6238e-19 BessellV
54221.339 1.449e-16 6.8931e-19 BessellV
54226.297 1.2831e-16 1.4067e-18 BessellV
54227.418 1.1383e-16 2.7687e-19 BessellV
54232.408 9.2015e-17 2.5266e-19 BessellV
54234.413 7.6888e-17 2.5687e-19 BessellV
54236.428 7.0772e-17 2.2736e-19 BessellV
54239.421 4.8827e-17 2.1564e-19 BessellV
54240.415 4.4778e-17 1.9436e-19 BessellV
54253.361 1.5537e-17 1.6907e-19 BessellV
54254.373 9.6441e-18 1.681e-19 BessellV
54136.545 3.0699e-16 4.4001e-19 SDSS_r
54137.538 3.1851e-16 4.5757e-19 SDSS_r
54141.397 3.3016e-16 4.1337e-19 SDSS_r
54148.435 3.3391e-16 3.1064e-19 SDSS_r
54154.480 3.2473e-16 4.2646e-19 SDSS_r
54159.991 3.1634e-16 3.176e-19 SDSS_r
54161.450 2.9671e-16 4.0592e-19 SDSS_r
54162.480 3.0362e-16 4.916e-19 SDSS_r
54165.492 2.9725e-16 4.8066e-19 SDSS_r
54166.461 2.9453e-16 3.6614e-19 SDSS_r
54169.003 2.865e-16 2.5141e-19 SDSS_r
54170.428 2.865e-16 3.7333e-19 SDSS_r
54175.479 2.8205e-16 3.6717e-19 SDSS_r
54179.503 2.7085e-16 3.3496e-19 SDSS_r
54188.328 2.5866e-16 3.9872e-19 SDSS_r
54193.353 2.53e-16 3.5831e-19 SDSS_r
54195.352 2.8283e-16 6.6635e-19 SDSS_r
54196.383 2.3159e-16 3.6876e-19 SDSS_r
54199.453 2.3395e-16 3.5841e-19 SDSS_r
54206.450 2.2322e-16 3.2735e-19 SDSS_r
54208.357 2.2632e-16 3.1834e-19 SDSS_r
54217.221 1.9968e-16 2.9084e-19 SDSS_r
54219.363 2.047e-16 3.8571e-19 SDSS_r
54220.330 1.9016e-16 3.222e-19 SDSS_r
54221.337 1.8261e-16 4.7399e-19 SDSS_r
54227.415 1.5964e-16 2.3896e-19 SDSS_r
54232.406 1.2786e-16 2.4933e-19 SDSS_r
54234.410 1.1511e-16 2.1633e-19 SDSS_r
54236.425 9.8975e-17 2.0165e-19 SDSS_r
54237.399 8.4631e-17 2.0016e-19 SDSS_r
54239.418 7.6476e-17 1.6667e-19 SDSS_r
54240.412 6.5453e-17 1.7487e-19 SDSS_r
54247.313 4.0209e-17 1.8682e-19 SDSS_r
54251.378 2.9075e-17 1.8801e-19 SDSS_r
54252.350 2.4453e-17 1.935e-19 SDSS_r
54253.358 2.1886e-17 1.2345e-19 SDSS_r
54136.542 1.8161e-16 2.806e-19 SDSS_i
54137.969 1.8724e-16 2.1713e-19 SDSS_i
54139.460 2.0194e-16 2.3046e-19 SDSS_i
54141.395 1.8999e-16 3.297e-19 SDSS_i
54148.433 1.8934e-16 2.2401e-19 SDSS_i
54154.478 2.0852e-16 2.7296e-19 SDSS_i
54159.989 2.0283e-16 2.1527e-19 SDSS_i
54161.448 2.0042e-16 2.8664e-19 SDSS_i
54162.478 2.068e-16 3.0922e-19 SDSS_i
54165.489 2.0227e-16 3.0204e-19 SDSS_i
54166.459 2.0061e-16 2.8692e-19 SDSS_i
54169.000 1.9472e-16 1.9216e-19 SDSS_i
54170.425 1.9968e-16 2.731e-19 SDSS_i
54175.476 1.9211e-16 2.7402e-19 SDSS_i
54179.501 1.9388e-16 2.7672e-19 SDSS_i
54188.326 1.9158e-16 3.0886e-19 SDSS_i
54193.350 1.8791e-16 2.6767e-19 SDSS_i
54196.379 1.8044e-16 3.0098e-19 SDSS_i
54199.451 1.7456e-16 2.3676e-19 SDSS_i
54206.447 1.7058e-16 2.3104e-19 SDSS_i
54208.355 1.6231e-16 2.4905e-19 SDSS_i
54217.218 1.4492e-16 2.5617e-19 SDSS_i
54219.361 1.3827e-16 2.9415e-19 SDSS_i
54220.327 1.3303e-16 2.2586e-19 SDSS_i
54221.334 1.3193e-16 3.0384e-19 SDSS_i
54226.293 1.1856e-16 3.2841e-19 SDSS_i
54227.413 1.1533e-16 2.288e-19 SDSS_i
54232.403 9.3571e-17 2.111e-19 SDSS_i
54234.407 8.1048e-17 1.9562e-19 SDSS_i
54236.422 7.3985e-17 1.6895e-19 SDSS_i
54237.396 7.1177e-17 1.5386e-19 SDSS_i
54239.415 5.4644e-17 1.4776e-19 SDSS_i
54240.409 4.9288e-17 1.5222e-19 SDSS_i
54251.375 2.5843e-17 1.4967e-19 SDSS_i
54252.347 1.9767e-17 1.3967e-19 SDSS_i
54253.355 1.82e-17 1.0331e-19 SDSS_i
