# MJD flux flux_err filter
54284.274 5.4413e-16 4.2e-18 BessellB
54288.423 3.5148e-16 7.0523e-19 BessellB
54292.331 2.9944e-16 6.0398e-19 BessellB
54296.331 2.0537e-16 5.1244e-19 BessellB
54307.287 8.8941e-17 9.2535e-19 BessellB
54282.306 2.5348e-16 7.8502e-19 BessellV
54283.461 2.256e-16 9.7945e-19 BessellV
54284.295 3.4294e-16 1.8669e-18 BessellV
54288.420 3.7972e-16 5.6732e-19 BessellV
54292.327 3.9619e-16 5.1931e-19 BessellV
54296.328 3.3261e-16 4.9288e-19 BessellV
54307.284 1.3485e-16 5.087e-19 BessellV
54313.357 1.0964e-16 6.0823e-19 BessellV
54282.304 2.4577e-16 6.3446e-19 SDSS_r
54283.459 3.098e-16 8.4029e-19 SDSS_r
54284.293 3.2176e-16 1.2066e-18 SDSS_r
54288.417 3.7134e-16 4.6836e-19 SDSS_r
54292.325 3.8213e-16 4.3456e-19 SDSS_r
54296.326 3.4107e-16 4.7069e-19 SDSS_r
54307.282 1.6116e-16 4.1517e-19 SDSS_r
54313.355 1.035e-16 3.5639e-19 SDSS_r
54282.302 1.5306e-16 3.4634e-19 SDSS_i
54284.287 2.2032e-16 9.509e-19 SDSS_i
54288.415 2.4176e-16 3.4223e-19 SDSS_i
54292.323 2.6406e-16 3.1741e-19 SDSS_i
54296.323 2.4187e-16 3.5001e-19 SDSS_i
54307.280 1.3223e-16 3.9275e-19 SDSS_i
54313.352 9.0845e-17 2.7189e-19 SDSS_i
