# MJD flux flux_err filter
54282.231 1.9608e-16 8.6239e-19 BessellB
54284.201 1.8223e-16 6.511e-19 BessellB
54285.195 1.7229e-16 6.136e-19 BessellB
54290.167 1.1616e-16 5.5461e-19 BessellB
54292.326 1.2022e-16 5.8864e-19 BessellB
54297.205 9.8162e-17 4.3697e-19 BessellB
54307.243 1.1337e-16 7.7585e-19 BessellB
54313.290 9.9693e-17 8.1893e-19 BessellB
54281.200 1.0247e-16 4.1876e-19 BessellV
54282.228 1.0975e-16 4.8203e-19 BessellV
54284.198 1.0301e-16 3.4402e-19 BessellV
54285.192 1.0916e-16 3.2162e-19 BessellV
54290.164 9.1163e-17 3.0753e-19 BessellV
54292.321 1.0538e-16 5.3462e-19 BessellV
54297.202 9.5047e-17 3.0233e-19 BessellV
54307.248 8.1384e-17 5.5016e-19 BessellV
54313.287 5.0038e-17 4.0938e-19 BessellV
54281.198 8.5249e-17 3.3454e-19 SDSS_r
54282.226 9.5792e-17 3.4507e-19 SDSS_r
54284.196 9.4686e-17 2.5564e-19 SDSS_r
54285.190 9.6385e-17 2.5209e-19 SDSS_r
54290.161 8.9769e-17 2.5721e-19 SDSS_r
54292.318 9.5606e-17 2.8604e-19 SDSS_r
54297.200 8.7928e-17 2.5163e-19 SDSS_r
54307.241 8.1742e-17 3.5295e-19 SDSS_r
54313.284 3.4547e-17 4.7753e-19 SDSS_r
54281.195 5.8321e-17 2.1724e-19 SDSS_i
54282.224 5.5302e-17 2.4994e-19 SDSS_i
54284.194 6.2227e-17 2.002e-19 SDSS_i
54285.187 6.1227e-17 2.2516e-19 SDSS_i
54290.159 5.9072e-17 2.1508e-19 SDSS_i
54292.316 6.6592e-17 2.1314e-19 SDSS_i
54297.198 6.4497e-17 1.8358e-19 SDSS_i
54307.238 6.9936e-17 3.1428e-19 SDSS_i
54313.282 6.2342e-17 3.9936e-19 SDSS_i
