# MJD flux flux_err filter
54418.144 4.1011e-15 5.0083e-18 BessellU
54419.947 4.1365e-15 9.8653e-18 BessellU
54421.120 3.4615e-15 8.0556e-18 BessellU
54429.148 2.3648e-15 7.9248e-18 BessellU
54433.407 1.6119e-15 2.1577e-17 BessellU
54436.453 1.0664e-15 9.8806e-17 BessellU
54440.305 8.4121e-16 1.1884e-16 BessellU
54443.000 8.7855e-16 3.1946e-16 BessellU
54449.000 4.8727e-16 1.8274e-16 BessellU
54451.163 4.1144e-16 1.0732e-16 BessellU
54415.323 1.8118e-15 1.6459e-16 BessellB
54416.055 2.1238e-15 9.419e-17 BessellB
54417.000 2.5044e-15 1.8646e-16 BessellB
54418.144 2.0096e-15 5.3749e-17 BessellB
54419.205 2.4216e-15 1.8306e-16 BessellB
54419.947 2.0611e-15 4.8871e-17 BessellB
54421.120 2.1755e-15 1.3689e-17 BessellB
54422.153 2.4049e-15 1.4511e-16 BessellB
54423.341 2.384e-15 3.8954e-17 BessellB
54424.099 2.3917e-15 1.4358e-16 BessellB
54425.223 2.3265e-15 2.6902e-16 BessellB
54429.156 1.9329e-15 5.664e-17 BessellB
54431.229 2.0049e-15 1.2091e-16 BessellB
54433.407 1.5716e-15 1.1995e-17 BessellB
54436.454 1.3496e-15 2.5811e-17 BessellB
54437.290 1.6125e-15 1.4315e-17 BessellB
54438.890 1.4148e-15 2.3205e-17 BessellB
54440.307 1.2989e-15 1.2658e-17 BessellB
54443.000 1.1342e-15 2.3248e-17 BessellB
54448.208 8.756e-16 3.0065e-17 BessellB
54449.000 8.2168e-16 5.1995e-17 BessellB
54451.165 7.6074e-16 1.4023e-17 BessellB
54452.213 7.3266e-16 5.5636e-17 BessellB
54454.200 6.6421e-16 1.9591e-16 BessellB
54457.238 6.3198e-16 1.4475e-16 BessellB
54458.228 5.4891e-16 1.2621e-16 BessellB
54459.000 5.479e-16 1.3861e-16 BessellB
54461.746 4.9722e-16 2.2826e-17 BessellB
54462.965 4.3471e-16 3.221e-17 BessellB
54468.148 4.2238e-16 2.747e-17 BessellB
54471.195 3.63e-16 4.6857e-17 BessellB
54473.601 2.7234e-16 3.0934e-17 BessellB
54474.890 3.489e-16 1.4514e-17 BessellB
54476.900 2.9021e-16 3.1548e-17 BessellB
54481.110 2.7638e-16 1.0472e-16 BessellB
54491.153 2.1355e-16 6.0869e-17 BessellB
54415.318 8.4151e-16 1.0518e-16 BessellV
54416.053 1.0712e-15 5.6061e-17 BessellV
54417.000 1.2287e-15 6.0869e-17 BessellV
54418.145 1.2126e-15 1.1442e-17 BessellV
54419.200 1.2784e-15 2.3816e-17 BessellV
54419.949 1.2413e-15 3.3461e-17 BessellV
54421.122 1.165e-15 1.2392e-17 BessellV
54422.149 1.366e-15 1.9001e-17 BessellV
54423.336 1.4252e-15 1.1534e-16 BessellV
54424.094 1.3838e-15 2.2042e-17 BessellV
54425.222 1.385e-15 1.0534e-16 BessellV
54429.156 1.2008e-15 2.4941e-17 BessellV
