# MJD flux flux_err filter
54514.422 6.826e-16 1.3141e-18 BessellU
54515.410 6.0893e-16 1.2219e-18 BessellU
54516.501 6.053e-16 1.3683e-18 BessellU
54520.985 4.8554e-16 8.012e-19 BessellU
54524.504 3.3913e-16 8.435e-19 BessellU
54526.532 2.5608e-16 8.5802e-19 BessellU
54530.002 3.3844e-16 7.6733e-19 BessellU
54534.522 2.3701e-16 1.2391e-18 BessellU
54540.495 1.9887e-16 1.017e-18 BessellU
54543.493 2.2028e-16 1.14e-18 BessellU
54544.358 1.2734e-16 7.8931e-19 BessellU
54557.459 6.7853e-17 9.1207e-19 BessellU
54570.406 5.1117e-17 7.875e-19 BessellU
54574.411 3.5593e-17 5.8564e-19 BessellU
54586.441 5.9562e-17 9.7495e-19 BessellU
54618.324 4.5516e-17 7.764e-19 BessellU
54514.472 1.1564e-15 1.678e-18 BessellB
54515.404 1.0822e-15 1.4247e-18 BessellB
54516.495 1.1484e-15 1.6657e-18 BessellB
54520.979 8.8661e-16 9.5217e-19 BessellB
54524.498 7.0001e-16 1.0495e-18 BessellB
54526.526 5.5835e-16 8.4268e-19 BessellB
54529.997 3.6482e-16 4.6088e-19 BessellB
54534.517 2.6357e-16 5.5869e-19 BessellB
54537.528 2.551e-16 7.7954e-19 BessellB
54540.489 2.7651e-16 1.0367e-18 BessellB
54543.487 2.7347e-16 6.5353e-19 BessellB
54544.352 2.8583e-16 1.0231e-18 BessellB
54557.454 1.0747e-16 5.68e-19 BessellB
54560.414 7.7429e-17 5.2729e-19 BessellB
54566.354 6.0716e-17 4.0638e-19 BessellB
54570.398 4.4494e-17 5.5255e-19 BessellB
54572.340 8.8167e-17 9.2416e-19 BessellB
54586.437 4.0617e-17 5.1704e-19 BessellB
54590.392 5.617e-17 7.6694e-19 BessellB
54514.469 6.1867e-16 8.7386e-19 BessellV
54515.401 6.2497e-16 7.6288e-19 BessellV
54516.492 5.7552e-16 9.1949e-19 BessellV
54520.976 5.4488e-16 5.8742e-19 BessellV
54524.495 4.4184e-16 5.6923e-19 BessellV
54526.523 3.5683e-16 5.2001e-19 BessellV
54529.994 2.5355e-16 3.1545e-19 BessellV
54534.514 1.8804e-16 3.7012e-19 BessellV
54537.525 1.7437e-16 3.7272e-19 BessellV
54540.486 1.7525e-16 4.3197e-19 BessellV
54543.484 1.9946e-16 4.0592e-19 BessellV
54544.349 2.1177e-16 4.5795e-19 BessellV
54557.451 8.0105e-17 3.6372e-19 BessellV
54560.411 6.7462e-17 2.8439e-19 BessellV
54566.351 4.7936e-17 2.7229e-19 BessellV
54570.420 4.486e-17 2.7731e-19 BessellV
54572.337 4.1885e-17 3.382e-19 BessellV
54574.404 3.5519e-17 4.0949e-19 BessellV
54578.337 3.9506e-17 3.4492e-19 BessellV
54603.313 2.5273e-17 3.8773e-19 BessellV
54618.314 1.4291e-17 2.0687e-19 BessellV
54622.325 1.1627e-17 2.0103e-19 BessellV
54629.249 1.3812e-17 2.4664e-19 BessellV
54514.491 4.8209e-16 5.5641e-19 SDSS_r
54515.399 4.9972e-16 5.7809e-19 SDSS_r
54520.498 4.3284e-16 5.237e-19 SDSS_r
54521.449 4.0432e-16 1.0767e-18 SDSS_r
54524.493 3.528e-16 4.2137e-19 SDSS_r
54526.521 2.9453e-16 3.8444e-19 SDSS_r
54529.991 2.201e-16 2.4116e-19 SDSS_r
54534.511 1.5934e-16 2.9574e-19 SDSS_r
54537.523 1.6089e-16 3.5661e-19 SDSS_r
54540.484 1.6886e-16 2.9421e-19 SDSS_r
54543.482 1.8601e-16 3.3721e-19 SDSS_r
54544.347 1.7903e-16 3.1842e-19 SDSS_r
54557.448 8.8782e-17 2.3881e-19 SDSS_r
54560.409 6.994e-17 2.1151e-19 SDSS_r
54566.349 5.9804e-17 2.266e-19 SDSS_r
54570.415 5.0481e-17 2.3188e-19 SDSS_r
54572.334 5.0995e-17 2.1865e-19 SDSS_r
54574.402 5.4166e-17 2.7568e-19 SDSS_r
54586.432 1.8981e-17 1.7792e-19 SDSS_r
54590.380 1.5536e-17 1.6981e-19 SDSS_r
54597.390 1.1645e-17 1.4949e-19 SDSS_r
54603.311 1.1085e-17 1.7743e-19 SDSS_r
54618.311 1.0738e-17 1.7768e-19 SDSS_r
54622.322 1.2392e-17 1.6088e-19 SDSS_r
54514.464 2.796e-16 4.0833e-19 SDSS_i
54515.396 2.7973e-16 4.263e-19 SDSS_i
54520.496 2.5046e-16 3.7903e-19 SDSS_i
54521.447 2.4151e-16 5.0899e-19 SDSS_i
54524.491 2.1734e-16 3.5316e-19 SDSS_i
54526.518 1.752e-16 2.9171e-19 SDSS_i
54529.989 1.3621e-16 1.9027e-19 SDSS_i
54534.509 9.7531e-17 2.5541e-19 SDSS_i
54537.521 9.1948e-17 2.5358e-19 SDSS_i
54540.481 9.939e-17 2.428e-19 SDSS_i
54543.479 1.0783e-16 3.1636e-19 SDSS_i
54544.345 1.2899e-16 2.7323e-19 SDSS_i
54557.446 4.9016e-17 2.0599e-19 SDSS_i
54560.407 4.4253e-17 1.8992e-19 SDSS_i
54566.346 4.0695e-17 1.7267e-19 SDSS_i
54570.416 3.826e-17 1.9952e-19 SDSS_i
54572.332 3.5379e-17 1.9461e-19 SDSS_i
54574.400 3.642e-17 2.1397e-19 SDSS_i
54578.333 2.358e-17 1.9023e-19 SDSS_i
54586.430 1.3358e-17 1.8413e-19 SDSS_i
54603.308 1.2928e-17 2.1499e-19 SDSS_i
54622.320 9.2457e-18 1.3465e-19 SDSS_i
