# MJD flux flux_err filter
54560.755 3.5956e-16 4.2328e-18 BessellU
54562.501 4.4113e-16 4.1579e-18 BessellU
54564.500 6.347e-16 4.7431e-18 BessellU
54566.276 7.7227e-16 5.145e-18 BessellU
54568.787 7.4502e-16 5e-18 BessellU
54570.831 6.9401e-16 4.9932e-18 BessellU
54573.240 3.4591e-16 3.552e-18 BessellU
54576.513 1.395e-16 2.6159e-18 BessellU
54578.360 9.7402e-17 5.5562e-19 BessellU
54580.192 8.2674e-17 2.2614e-18 BessellU
54582.527 7.2272e-17 4.0537e-19 BessellU
54584.548 7.0367e-17 3.9409e-19 BessellU
54587.492 7.4502e-17 4.1859e-19 BessellU
54590.864 2.5268e-16 1.5242e-18 BessellU
54592.399 9.2761e-17 5.2768e-19 BessellU
54594.836 7.533e-17 4.235e-19 BessellU
54595.569 6.9529e-17 3.8914e-19 BessellU
54598.315 6.6522e-17 3.7139e-19 BessellU
54600.287 6.8765e-17 3.8462e-19 BessellU
54603.196 6.4948e-17 3.6212e-19 BessellU
54613.473 7.2739e-17 4.0813e-19 BessellU
54614.243 7.3615e-17 4.1333e-19 BessellU
54616.383 6.174e-17 3.4326e-19 BessellU
54620.328 6.0837e-17 3.3797e-19 BessellU
54628.799 6.1456e-17 3.416e-19 BessellU
54640.062 5.9837e-17 3.321e-19 BessellU
54652.970 1.8508e-16 1.0959e-18 BessellU
54756.114 6.388e-17 3.5584e-19 BessellU
54559.492 7.9415e-16 1.2502e-18 BessellB
54560.756 7.9269e-16 5.8392e-18 BessellB
54562.998 1.1332e-15 1.5049e-18 BessellB
54564.501 1.0832e-15 6.3304e-18 BessellB
54566.359 1.4537e-15 1.5854e-18 BessellB
54568.788 1.2726e-15 6.8547e-18 BessellB
54571.160 1.3097e-15 1.5003e-18 BessellB
54572.491 1.2165e-15 1.4955e-18 BessellB
54573.241 9.1265e-16 5.6815e-18 BessellB
54574.453 8.5567e-16 1.3533e-18 BessellB
54576.514 4.685e-16 3.9686e-18 BessellB
54578.360 3.6941e-16 3.8835e-18 BessellB
54579.306 3.2293e-16 1.1931e-18 BessellB
54580.194 3.1067e-16 3.4356e-18 BessellB
54582.464 2.774e-16 3.5386e-18 BessellB
54584.549 1.8928e-16 3.039e-18 BessellB
54586.301 1.9711e-16 6.8463e-19 BessellB
54587.493 1.8311e-16 3.1137e-18 BessellB
54590.448 1.8548e-16 1.0165e-18 BessellB
54590.865 2.5021e-16 1.4687e-18 BessellB
54592.434 1.7206e-16 5.6262e-19 BessellB
54593.413 1.8824e-16 7.6075e-19 BessellB
54594.433 1.801e-16 6.1191e-19 BessellB
54595.143 1.7797e-16 6.5074e-19 BessellB
54595.570 1.5343e-16 2.9504e-18 BessellB
54597.455 1.8737e-16 9.0847e-19 BessellB
54598.318 1.3425e-16 2.7293e-18 BessellB
54600.373 1.7311e-16 7.8686e-19 BessellB
54601.475 1.826e-16 1.0524e-18 BessellB
54602.469 1.4174e-16 7.5687e-19 BessellB
54603.296 1.8119e-16 1.091e-18 BessellB
54613.475 1.3499e-16 2.8523e-18 BessellB
54614.341 1.4838e-16 6.8551e-19 BessellB
54615.436 1.6244e-16 8.1837e-19 BessellB
54618.415 1.6022e-16 5.224e-19 BessellB
54622.420 1.4938e-16 5.362e-19 BessellB
54624.288 1.4509e-16 6.1552e-19 BessellB
54625.421 1.3611e-16 5.4e-19 BessellB
54626.376 1.4142e-16 5.3784e-19 BessellB
54627.362 1.4319e-16 7.5688e-19 BessellB
54629.341 1.1177e-16 6.5148e-19 BessellB
54631.323 1.0644e-16 9.3408e-19 BessellB
54639.301 1.15e-16 1.1621e-18 BessellB
54643.381 1.0723e-16 6.9554e-19 BessellB
