# MJD flux flux_err filter
54938.250 5.1067e-15 6.3741e-18 BessellB
54944.198 4.0591e-15 4.5575e-18 BessellB
54945.214 3.7293e-15 4.9429e-18 BessellB
54946.227 3.5454e-15 4.1898e-18 BessellB
54948.195 3.0394e-15 4.1809e-18 BessellB
54950.179 2.6501e-15 3.2503e-18 BessellB
54962.174 1.5199e-15 2.0456e-18 BessellB
54964.186 1.3916e-15 1.9983e-18 BessellB
54968.196 1.2691e-15 1.8116e-18 BessellB
54969.179 1.1734e-15 1.515e-18 BessellB
54975.237 1.0382e-15 1.5293e-18 BessellB
54977.193 9.7155e-16 1.4251e-18 BessellB
54994.185 6.8024e-16 1.2726e-18 BessellB
55003.191 6.342e-16 1.1616e-18 BessellB
54937.133 4.2691e-15 4.8497e-18 BessellV
54938.252 4.2703e-15 5.6336e-18 BessellV
54944.196 4.3549e-15 6.7124e-18 BessellV
54945.212 4.3249e-15 5.711e-18 BessellV
54946.224 4.2273e-15 5.5727e-18 BessellV
54948.193 4.0894e-15 4.7804e-18 BessellV
54950.175 3.877e-15 5.361e-18 BessellV
54962.170 3.0101e-15 4.3021e-18 BessellV
54964.183 2.9117e-15 4.1515e-18 BessellV
54968.192 2.6781e-15 4.1754e-18 BessellV
54969.173 2.6818e-15 3.7064e-18 BessellV
54975.231 2.4189e-15 3.0636e-18 BessellV
54977.187 2.3308e-15 2.6171e-18 BessellV
54983.197 2.1477e-15 2.6975e-18 BessellV
54994.181 1.9266e-15 2.2681e-18 BessellV
55003.188 1.7478e-15 2.2844e-18 BessellV
54937.131 3.5982e-15 3.9727e-18 SDSS_r
54938.251 3.7079e-15 5.4704e-18 SDSS_r
54944.194 4.0287e-15 7.3259e-18 SDSS_r
54945.210 3.9698e-15 5.8864e-18 SDSS_r
54946.210 4.0076e-15 5.6494e-18 SDSS_r
54948.192 3.8308e-15 5.5237e-18 SDSS_r
54950.173 3.8478e-15 5.9769e-18 SDSS_r
54962.167 3.3242e-15 5.23e-18 SDSS_r
54964.180 3.1577e-15 4.1437e-18 SDSS_r
54968.189 3.0958e-15 4.282e-18 SDSS_r
54969.170 3.0801e-15 4.0346e-18 SDSS_r
54975.228 2.7578e-15 5.1764e-18 SDSS_r
54977.183 2.8229e-15 3.4702e-18 SDSS_r
54983.194 2.6556e-15 4.015e-18 SDSS_r
54994.177 2.457e-15 2.9904e-18 SDSS_r
55003.184 2.3395e-15 3.1713e-18 SDSS_r
54937.130 2.3435e-15 2.7523e-18 SDSS_i
54938.252 2.3368e-15 3.0868e-18 SDSS_i
54939.236 2.3562e-15 4.6716e-18 SDSS_i
54944.192 2.5571e-15 5.7615e-18 SDSS_i
54945.209 2.5986e-15 5.6699e-18 SDSS_i
54946.184 2.6653e-15 3.555e-18 SDSS_i
54948.190 2.6001e-15 3.654e-18 SDSS_i
54950.171 2.5996e-15 4.2301e-18 SDSS_i
54962.164 2.2727e-15 5.9088e-18 SDSS_i
54964.177 2.2975e-15 4.7152e-18 SDSS_i
54968.186 2.1957e-15 3.2883e-18 SDSS_i
54969.166 2.256e-15 2.8073e-18 SDSS_i
54975.203 2.1286e-15 2.8703e-18 SDSS_i
54977.180 2.0969e-15 3.0535e-18 SDSS_i
54983.190 1.9335e-15 5.8078e-18 SDSS_i
54994.173 1.8581e-15 2.8161e-18 SDSS_i
55003.180 1.7286e-15 2.8546e-18 SDSS_i
