# MJD flux flux_err filter
55283.873 4.1934e-15 1.7969e-17 BessellU
55285.548 3.659e-15 1.6841e-17 BessellU
55287.552 3.2402e-15 1.5477e-17 BessellU
55289.365 2.5175e-15 1.3047e-17 BessellU
55291.235 1.8457e-15 9.9945e-18 BessellU
55293.211 1.9044e-15 1.0596e-17 BessellU
55295.449 1.3758e-15 7.9501e-18 BessellU
55297.319 8.875e-16 5.7926e-18 BessellU
55299.226 7.3751e-16 6.2781e-18 BessellU
55303.755 1.9997e-16 3.3306e-18 BessellU
55305.552 1.3285e-16 7.7149e-19 BessellU
55309.681 1.5958e-16 9.3665e-19 BessellU
55311.247 1.3236e-16 7.6849e-19 BessellU
55313.048 1.3645e-16 7.9361e-19 BessellU
55315.529 1.241e-16 7.1782e-19 BessellU
55319.476 1.2769e-16 7.3983e-19 BessellU
55321.587 1.2722e-16 7.3696e-19 BessellU
55276.180 3.3307e-15 7.5127e-18 SDSS_u
55287.133 3.1676e-15 5.8455e-18 SDSS_u
55289.138 2.7551e-15 4.7623e-18 SDSS_u
55292.288 1.8152e-15 3.6989e-18 SDSS_u
55293.152 1.8027e-15 4.3129e-18 SDSS_u
55294.164 1.5351e-15 4.4207e-18 SDSS_u
55295.142 1.4274e-15 3.5459e-18 SDSS_u
55297.139 1.1725e-15 3.467e-18 SDSS_u
55299.147 7.3541e-16 2.7193e-18 SDSS_u
55301.142 5.3818e-16 2.3401e-18 SDSS_u
55304.190 1.778e-16 2.0448e-18 SDSS_u
55276.176 1.9521e-15 2.1499e-18 BessellB
55278.118 2.5194e-15 2.7372e-18 BessellB
55281.281 2.8282e-15 1.2872e-17 BessellB
55283.874 2.2136e-15 1.0579e-17 BessellB
55285.549 2.0888e-15 1.0364e-17 BessellB
55287.128 2.1762e-15 2.2679e-18 BessellB
55287.553 1.8429e-15 9.4354e-18 BessellB
55289.249 1.9541e-15 2.2377e-18 BessellB
55291.236 1.487e-15 7.9934e-18 BessellB
55292.283 1.5751e-15 1.9175e-18 BessellB
55293.179 1.4821e-15 2.3347e-18 BessellB
55294.159 1.4292e-15 1.5887e-18 BessellB
55295.293 1.3409e-15 1.4576e-18 BessellB
55297.227 1.1406e-15 1.3339e-18 BessellB
55299.184 9.3575e-16 1.4053e-18 BessellB
55301.136 6.9295e-16 9.734e-19 BessellB
55303.971 3.4189e-16 8.0288e-19 BessellB
55305.899 1.871e-16 8.7961e-19 BessellB
55309.682 1.6761e-16 9.6127e-19 BessellB
55311.248 1.4187e-16 8.0596e-19 BessellB
55313.048 1.4598e-16 8.3065e-19 BessellB
55315.530 1.3363e-16 7.5655e-19 BessellB
55319.476 1.3737e-16 7.7897e-19 BessellB
55321.588 1.3775e-16 7.8125e-19 BessellB
55329.160 2.7059e-17 4.7627e-19 BessellB
55276.172 1.0401e-15 1.3816e-18 BessellV
55278.114 1.3566e-15 1.5134e-18 BessellV
55283.878 1.4705e-15 8.8969e-18 BessellV
55285.552 1.295e-15 8.5534e-18 BessellV
55287.124 1.3838e-15 1.5458e-18 BessellV
55287.556 1.4095e-15 8.9811e-18 BessellV
55289.249 1.298e-15 1.3411e-18 BessellV
55291.239 1.1144e-15 7.7335e-18 BessellV
55292.279 1.1144e-15 1.227e-18 BessellV
55293.180 1.0601e-15 1.3892e-18 BessellV
55294.155 1.0075e-15 1.1352e-18 BessellV
55295.293 9.8067e-16 1.0884e-18 BessellV
55297.227 8.5502e-16 9.463e-19 BessellV
55299.185 7.5265e-16 1.0663e-18 BessellV
55301.133 6.1215e-16 7.8551e-19 BessellV
55303.971 3.3923e-16 6.1277e-19 BessellV
55305.900 2.2785e-16 5.9865e-19 BessellV
55309.686 2.3543e-16 1.4233e-18 BessellV
55311.251 1.951e-16 1.1662e-18 BessellV
55313.052 1.9385e-16 1.1583e-18 BessellV
55315.535 1.8275e-16 1.0882e-18 BessellV
55319.480 1.8632e-16 1.1107e-18 BessellV
55321.591 1.8943e-16 1.1304e-18 BessellV
55276.169 7.5775e-16 1.0258e-18 SDSS_r
55278.111 1.0128e-15 1.0228e-18 SDSS_r
55287.121 1.0718e-15 1.1228e-18 SDSS_r
55289.125 1.0133e-15 1.0915e-18 SDSS_r
55292.276 8.8293e-16 9.4237e-19 SDSS_r
55293.140 8.4514e-16 1.1524e-18 SDSS_r
55294.152 8.2173e-16 8.4559e-19 SDSS_r
55295.130 7.8655e-16 8.5911e-19 SDSS_r
55297.127 7.1503e-16 7.5259e-19 SDSS_r
55299.135 6.3493e-16 9.3248e-19 SDSS_r
55301.130 5.3497e-16 5.8705e-19 SDSS_r
55304.179 3.153e-16 3.9363e-19 SDSS_r
55306.244 2.2653e-16 5.2647e-19 SDSS_r
55276.166 4.2908e-16 7.5617e-19 SDSS_i
55278.108 5.8931e-16 7.8555e-19 SDSS_i
55282.186 5.5455e-16 1.6197e-18 SDSS_i
55287.118 6.8445e-16 8.2941e-19 SDSS_i
55289.122 6.5214e-16 7.6581e-19 SDSS_i
55292.273 5.8741e-16 7.2414e-19 SDSS_i
55293.137 5.6747e-16 8.6772e-19 SDSS_i
55294.149 5.4018e-16 1.0381e-18 SDSS_i
55295.127 5.3155e-16 6.5094e-19 SDSS_i
55297.124 4.9197e-16 6.1561e-19 SDSS_i
55299.132 4.4807e-16 7.4787e-19 SDSS_i
55301.127 3.708e-16 4.7948e-19 SDSS_i
55304.176 2.3375e-16 3.8889e-19 SDSS_i
55305.238 1.6186e-16 1.3111e-18 SDSS_i
55306.190 1.8448e-16 8.7874e-19 SDSS_i
