# MJD flux flux_err filter
55880.270 6.3066e-16 4.7943e-17 BessellU
55880.871 6.2235e-16 3.0935e-17 BessellU
55882.080 6.2488e-16 2.0359e-17 BessellU
55883.083 5.4022e-16 3.6072e-17 BessellU
55885.250 4.6537e-16 4.0431e-17 BessellU
55885.749 4.3311e-16 5.0328e-17 BessellU
55887.090 3.434e-16 5.221e-17 BessellU
55887.589 3.0353e-16 5.6367e-17 BessellU
55889.122 2.121e-16 2.4212e-17 BessellU
55891.100 1.5842e-16 2.7526e-17 BessellU
55891.602 1.2017e-16 3.3148e-17 BessellU
55883.060 6.5713e-16 2.8546e-17 SDSS_u
55895.120 1.3111e-16 1.9935e-17 SDSS_u
55898.080 8.6627e-17 1.3171e-17 SDSS_u
55903.080 7.3393e-17 1.6738e-17 SDSS_u
55904.080 6.161e-17 1.7396e-17 SDSS_u
55905.080 6.8179e-17 1.9992e-17 SDSS_u
55880.170 6.6719e-16 1.3934e-17 BessellB
55880.939 7.6846e-16 1.513e-17 BessellB
55882.055 9.3634e-16 1.4399e-17 BessellB
55883.059 1.0227e-15 1.505e-17 BessellB
55884.070 1.0354e-15 5.6221e-17 BessellB
55885.140 1.035e-15 2.1336e-17 BessellB
55885.750 1.1033e-15 9.1064e-17 BessellB
55887.065 9.7918e-16 2.0633e-17 BessellB
55887.590 9.3908e-16 9.6885e-17 BessellB
55889.123 8.2715e-16 4.4039e-17 BessellB
55891.100 7.0974e-16 5.3955e-17 BessellB
55891.603 6.7159e-16 6.7099e-17 BessellB
55893.030 6.0688e-16 1.3181e-17 BessellB
55895.080 4.7764e-16 1.0374e-17 BessellB
55898.080 3.335e-16 7.2437e-18 BessellB
55901.030 2.6491e-16 5.7539e-18 BessellB
55903.040 2.2238e-16 7.2452e-18 BessellB
55904.040 1.9911e-16 8.6495e-18 BessellB
55905.040 1.8668e-16 8.1095e-18 BessellB
55908.040 1.7342e-16 7.5334e-18 BessellB
55910.070 1.6283e-16 4.2507e-18 BessellB
55911.060 1.8497e-16 8.0351e-18 BessellB
55914.060 1.5385e-16 1.0025e-17 BessellB
55916.040 1.5021e-16 3.0293e-18 BessellB
55921.050 1.3903e-16 9.0591e-18 BessellB
55880.060 7.1523e-16 1.5535e-17 SDSS_g
55881.160 8.6785e-16 1.885e-17 SDSS_g
55882.050 1.0434e-15 2.2662e-17 SDSS_g
55883.060 1.2202e-15 2.6504e-17 SDSS_g
55885.040 1.3628e-15 2.9601e-17 SDSS_g
55886.030 1.4403e-15 3.1283e-17 SDSS_g
55887.040 1.4403e-15 3.1283e-17 SDSS_g
55889.030 1.3503e-15 2.933e-17 SDSS_g
