# MJD flux flux_err filter
56154.220 3.9425e-15 1.1402e-17 BessellU
56155.220 3.6963e-15 5.3203e-18 BessellU
56158.230 3.1029e-15 1.1027e-17 BessellU
56165.280 1.1582e-15 3.0771e-18 BessellU
56168.200 9.903e-16 3.9061e-18 BessellU
56171.080 8.4677e-16 4.4079e-18 BessellU
56173.090 6.4829e-16 2.4878e-18 BessellU
56176.130 6.0781e-16 2.71e-18 BessellU
56196.200 2.6289e-16 1.4306e-18 BessellU
56202.010 2.5809e-16 1.7147e-18 BessellU
56204.210 2.3756e-16 1.9988e-18 BessellU
56208.040 2.3756e-16 2.5699e-18 BessellU
56211.050 1.9942e-16 1.186e-18 BessellU
56221.060 1.3545e-16 6.2996e-19 BessellU
56154.220 6.349e-15 9.1995e-18 BessellB
56155.220 6.349e-15 1.8399e-17 BessellB
56157.910 5.7156e-15 1.1028e-17 BessellB
56159.310 4.8162e-15 1.7104e-17 BessellB
56160.300 5.3297e-15 2.6691e-17 BessellB
56165.280 4.0804e-15 1.4322e-17 BessellB
56168.200 3.7906e-15 5.2946e-18 BessellB
56171.080 3.3939e-15 1.4113e-17 BessellB
56173.090 3.1239e-15 8.6107e-18 BessellB
56176.130 3.1239e-15 8.6107e-18 BessellB
56179.340 2.746e-15 1.1253e-17 BessellB
56180.920 2.6224e-15 7.1422e-18 BessellB
56181.590 2.3917e-15 3.2366e-18 BessellB
56186.200 2.3698e-15 1.1217e-17 BessellB
56194.870 2.1813e-15 2.9335e-18 BessellB
56196.200 2.1613e-15 8.7145e-18 BessellB
56202.105 1.9935e-15 4.1659e-18 BessellB
56204.210 1.848e-15 4.916e-18 BessellB
56208.040 2.0263e-15 1.0847e-17 BessellB
56211.050 1.8143e-15 4.8203e-18 BessellB
56212.190 1.6395e-15 6.4902e-18 BessellB
56217.150 1.5802e-15 7.2803e-18 BessellB
56220.420 1.4019e-15 4.5773e-18 BessellB
56221.060 1.4679e-15 2.8845e-18 BessellB
56232.130 1.2098e-15 7.0425e-18 BessellB
56242.130 9.0929e-16 5.7748e-18 BessellB
56246.960 6.8977e-16 4.3051e-18 BessellB
56250.190 4.685e-16 2.5696e-18 BessellB
56253.080 4.1563e-16 2.5146e-18 BessellB
56266.930 2.5044e-16 2.9403e-18 BessellB
56268.940 2.284e-16 2.0004e-18 BessellB
56270.950 2.0831e-16 1.5727e-18 BessellB
56282.940 1.8998e-16 2.1949e-18 BessellB
56290.000 1.5802e-16 1.8064e-18 BessellB
56302.810 1.3763e-16 2.3415e-18 BessellB
56331.000 1.2098e-16 6.1298e-19 BessellB
56346.000 1.1877e-16 6.6796e-19 BessellB
56154.220 4.2999e-15 6.3062e-18 BessellV
56155.220 4.1064e-15 1.2004e-17 BessellV
56158.053 3.9791e-15 6.8636e-18 BessellV
