# MJD flux flux_err filter
56373.678 9.3275e-16 1.7311e-19 BessellU
56374.946 8.6122e-16 1.2899e-19 BessellU
56375.740 7.6519e-16 1.7471e-19 BessellU
56378.854 6.9915e-16 3.4541e-19 BessellU
56379.988 5.7431e-16 1.4953e-19 BessellU
56382.055 4.9575e-16 1.3313e-19 BessellU
56384.091 4.1954e-16 1.2338e-19 BessellU
56384.730 4.6964e-16 1.6532e-19 BessellU
56386.596 1.5395e-16 1.6381e-19 BessellU
56388.435 1.6526e-16 2.2821e-19 BessellU
56390.392 1.2746e-16 2.0813e-19 BessellU
56391.580 2.6289e-16 1.8981e-19 BessellU
56392.896 1.4906e-16 1.55e-17 BessellU
56400.686 1.2816e-16 1.5788e-17 BessellU
56374.947 8.8237e-16 2.0904e-17 BessellB
56375.740 1.0932e-15 4.891e-17 BessellB
56378.855 9.2705e-16 1.7633e-17 BessellB
56379.989 9.4392e-16 1.2467e-17 BessellB
56382.056 8.6212e-16 3.2658e-17 BessellB
56384.091 9.2954e-16 1.8368e-17 BessellB
56384.730 8.447e-16 4.2804e-17 BessellB
56386.597 6.5389e-16 8.887e-17 BessellB
56388.436 5.7478e-16 9.3533e-17 BessellB
56390.392 5.474e-16 1.1753e-16 BessellB
56391.580 6.2908e-16 8.3182e-17 BessellB
56392.897 5.3052e-16 4.1696e-17 BessellB
56398.550 5.2324e-16 7.9873e-17 BessellB
56400.687 3.8789e-16 6.6484e-17 BessellB
56422.540 2.7714e-16 6.6006e-17 BessellB
56424.550 2.746e-16 8.5804e-17 BessellB
56437.650 2.2424e-16 1.0379e-16 BessellB
56441.540 2.1812e-16 6.2143e-17 BessellB
56442.540 2.064e-16 2.3521e-17 BessellB
56456.540 1.7487e-16 2.0601e-16 BessellB
56374.949 9.2856e-16 4.6837e-17 BessellV
56375.740 1.0126e-15 3.5844e-17 BessellV
56378.885 1.0362e-15 4.5366e-17 BessellV
56379.990 1.007e-15 3.0491e-17 BessellV
56382.059 1.0474e-15 7.6908e-17 BessellV
56384.093 1.0036e-15 1.4108e-17 BessellV
56384.730 1.0126e-15 6.5025e-17 BessellV
56386.601 8.8361e-16 7.2148e-17 BessellV
56388.440 8.5795e-16 8.8389e-17 BessellV
56390.396 9.5293e-16 3.6794e-17 BessellV
