# MJD flux flux_err filter
52304.67000 3.70851e-15 5.12350e-17 BessellI
52304.67000 7.64188e-15 1.68922e-16 BessellR
52304.67000 9.62055e-15 2.03800e-16 BessellB
52304.67000 9.89920e-15 2.37055e-16 BessellV
52305.63000 1.16735e-14 2.15033e-16 BessellR
52305.63000 5.45004e-15 9.03542e-17 BessellI
52305.63000 2.34207e-14 3.23569e-16 BessellB
52305.63000 1.90546e-14 3.68549e-16 BessellV
52306.62000 1.52616e-14 3.37355e-16 BessellR
52306.62000 6.93745e-15 1.85299e-16 BessellI
52306.62000 3.02831e-14 5.02051e-16 BessellB
52306.62000 2.57514e-14 4.98075e-16 BessellV
52307.22800 3.00885e-14 1.66275e-16 BessellB
52307.22950 2.90697e-14 1.07097e-16 BessellV
52307.23070 1.65242e-14 6.08773e-17 BessellR
52307.23190 7.43293e-15 2.73839e-17 BessellI
52307.62000 3.17687e-14 5.85202e-16 BessellV
52307.62000 3.62076e-14 7.00317e-16 BessellB
52307.62000 8.20352e-15 1.81337e-16 BessellI
52307.62000 1.82474e-14 2.85709e-16 BessellR
52308.18510 3.44191e-14 2.21908e-16 BessellB
52308.18650 3.39344e-14 1.25019e-16 BessellV
52308.18770 1.92185e-14 8.85046e-17 BessellR
52308.18890 8.47149e-15 7.80253e-17 BessellI
52308.62000 2.11641e-14 3.11886e-16 BessellR
52308.62000 3.69828e-14 5.44999e-16 BessellV
52308.62000 9.15377e-15 1.93912e-16 BessellI
52308.62000 4.04762e-14 6.33760e-16 BessellB
52309.63000 4.02532e-14 1.03809e-15 BessellV
52309.63000 1.01672e-14 1.59193e-16 BessellI
52309.63000 2.30569e-14 4.45959e-16 BessellR
52309.63000 4.32116e-14 7.56187e-16 BessellB
52310.20800 4.06256e-14 2.99341e-16 BessellB
52310.20940 4.17869e-14 1.53949e-16 BessellV
52310.21060 2.39508e-14 6.61785e-17 BessellR
52310.21600 1.07934e-14 4.97056e-17 BessellI
52310.62000 2.56803e-14 3.54786e-16 BessellR
52310.62000 4.37321e-14 9.66689e-16 BessellV
52310.62000 1.13658e-14 2.40771e-16 BessellI
52310.62000 4.55827e-14 7.97681e-16 BessellB
52311.22350 1.14067e-14 4.83274e-16 BessellI
52311.63000 4.66444e-14 7.30339e-16 BessellV
52311.63000 2.77971e-14 4.60838e-16 BessellR
52311.63000 1.24509e-14 2.98160e-16 BessellI
52311.63000 4.56667e-14 1.17770e-15 BessellB
52314.21750 4.96409e-14 1.82884e-16 BessellV
52314.22030 3.18948e-14 1.17505e-16 BessellR
52314.63000 1.42167e-14 2.48788e-16 BessellI
52314.63000 4.72933e-14 7.84058e-16 BessellV
52314.63000 3.09029e-14 6.54642e-16 BessellR
52314.63000 3.94457e-14 4.72301e-16 BessellB
52315.63000 4.67735e-14 8.61600e-16 BessellV
52315.63000 3.66775e-14 6.08063e-16 BessellB
52315.63000 1.46555e-14 2.69964e-16 BessellI
52315.63000 3.12176e-14 5.46298e-16 BessellR
52316.63000 1.45211e-14 2.40740e-16 BessellI
52316.63000 3.06196e-14 4.51228e-16 BessellR
52316.63000 4.36114e-14 8.43519e-16 BessellV
52316.63000 3.34503e-14 4.62133e-16 BessellB
52317.63000 1.50661e-14 3.74662e-16 BessellI
52317.63000 3.05351e-14 4.49983e-16 BessellR
52317.63000 3.08461e-14 6.53437e-16 BessellB
52317.63000 4.32116e-14 9.55184e-16 BessellV
52318.63000 2.94849e-14 4.88819e-16 BessellR
