# MJD flux flux_err filter
52615.10000 1.27147e-16 5.49851e-17 BessellB
52609.10000 1.3204e-16 9.81882e-18 BessellB
52596.00000 1.44779e-16 1.28923e-17 BessellB
52617.12000 1.50074e-16 1.03646e-17 BessellB
52607.18000 1.59333e-16 9.81882e-18 BessellB
52590.10000 1.61549e-16 9.77983e-18 BessellB
52586.10000 1.77953e-16 1.23954e-17 BessellB
52585.10000 1.80928e-16 8.35471e-18 BessellB
52597.20000 2.04505e-16 1.37139e-17 BessellB
52584.21000 2.29882e-16 5.9055e-18 BessellB
52577.10000 2.50441e-16 8.15942e-18 BessellB
52581.17000 2.96145e-16 2.23024e-17 BessellB
52574.20000 3.01929e-16 4.0765e-18 BessellB
52578.19000 3.12395e-16 7.84259e-18 BessellB
52573.00000 3.29234e-16 1.69944e-17 BessellB
52572.10000 3.49868e-16 7.99542e-18 BessellB
52575.22000 3.5539e-16 8.15942e-18 BessellB
52572.10000 3.68387e-16 4.53004e-18 BessellB
52568.10000 4.54051e-16 9.42887e-18 BessellB
52572.19000 4.62492e-16 1.01032e-17 BessellB
52569.27000 4.95113e-16 1.84996e-17 BessellB
52555.30000 6.01319e-16 1.97633e-17 BessellB
52561.20000 6.30819e-16 1.06146e-17 BessellB
52561.23000 7.78224e-16 9.86852e-18 BessellB
52554.29000 7.90505e-16 5.42575e-18 BessellB
52555.22000 8.50951e-16 6.52318e-18 BessellB
52558.21000 9.77023e-16 7.42626e-18 BessellB
#52663.11000 7.71058e-17 1.87293e-17 BessellI
52658.11000 1.16275e-16 7.19826e-18 BessellI
52555.30000 1.34118e-16 6.72864e-18 BessellI
52554.29000 1.42524e-16 1.65532e-17 BessellI
52555.22000 1.60504e-16 8.1401e-18 BessellI
52577.10000 1.68069e-16 4.29892e-18 BessellI
52586.10000 1.7502e-16 1.71977e-17 BessellI
52585.10000 1.7599e-16 1.94002e-17 BessellI
52590.10000 1.78438e-16 7.06062e-18 BessellI
52596.00000 1.81254e-16 7.83994e-18 BessellI
52574.20000 1.89621e-16 2.76415e-18 BessellI
52589.14000 1.91376e-16 2.09512e-17 BessellI
52573.00000 1.93681e-16 1.74592e-17 BessellI
52609.10000 1.93681e-16 4.61985e-17 BessellI
52572.10000 1.94754e-16 5.75519e-18 BessellI
52584.21000 1.95833e-16 3.52359e-17 BessellI
52633.09000 1.971e-16 2.62956e-17 BessellI
52572.10000 1.97282e-16 4.20493e-18 BessellI
52615.10000 1.9801e-16 1.07287e-17 BessellI
52578.19000 2.08107e-16 5.80844e-18 BessellI
52581.17000 2.10226e-16 5.80844e-18 BessellI
52568.10000 2.11197e-16 9.32401e-18 BessellI
52607.18000 2.13741e-16 4.86019e-17 BessellI
52617.12000 2.15321e-16 1.61564e-17 BessellI
52572.19000 2.17514e-16 5.75519e-18 BessellI
52597.20000 2.18317e-16 9.20084e-18 BessellI
52569.27000 2.30084e-16 2.87053e-18 BessellI
52558.21000 2.3653e-16 6.80975e-18 BessellI
#52663.11000 9.72992e-17 9.56456e-18 BessellR
#52658.11000 1.66001e-16 1.09015e-17 BessellR
52643.10000 1.67074e-16 1.77837e-17 BessellR
52554.29000 2.65283e-16 3.82084e-18 BessellR
52573.78000 2.85305e-16 5.87299e-18 BessellR
52555.22000 2.9574e-16 9.69571e-18 BessellR
52633.09000 3.02071e-16 5.80309e-18 BessellR
52607.18000 3.14854e-16 3.93513e-18 BessellR
52584.21000 3.15435e-16 5.88382e-18 BessellR
52617.12000 3.1806e-16 5.80309e-18 BessellR
52589.14000 3.22485e-16 5.88382e-18 BessellR
52581.17000 3.23675e-16 3.87399e-18 BessellR
52597.20000 3.27574e-16 4.09171e-18 BessellR
52575.22000 3.37062e-16 5.88924e-18 BessellR
52578.19000 3.37372e-16 5.85883e-17 BessellR
52580.87000 3.43012e-16 3.51206e-18 BessellR
52572.19000 3.62501e-16 3.79979e-18 BessellR
52573.78000 3.76105e-16 5.87299e-18 BessellR
52575.79000 3.76105e-16 3.15771e-17 BessellR
52569.27000 3.76452e-16 3.86867e-18 BessellR
52558.21000 3.86286e-16 9.69571e-18 BessellR
52558.77000 4.52178e-16 6.03753e-18 BessellR
52574.00000 4.95803e-16 5.88924e-18 BessellR
52560.95000 5.96087e-16 6.03753e-18 BessellR
52658.11000 1.12062e-16 4.32668e-18 BessellV
52653.09000 1.46643e-16 1.2376e-17 BessellV
52552.87000 2.49724e-16 4.58521e-18 BessellV
52609.10000 2.64887e-16 1.83488e-17 BessellV
52609.10000 2.64887e-16 8.44366e-18 BessellV
52596.00000 2.67092e-16 6.32539e-18 BessellV
52596.00000 2.67092e-16 9.85066e-18 BessellV
52615.10000 2.67338e-16 1.20068e-17 BessellV
52615.10000 2.67338e-16 1.2494e-17 BessellV
52586.10000 2.70309e-16 7.04141e-18 BessellV
52586.10000 2.70309e-16 9.25573e-18 BessellV
52590.10000 2.70807e-16 6.83061e-18 BessellV
52590.10000 2.70807e-16 1.4262e-17 BessellV
52588.20000 2.71057e-16 6.38553e-18 BessellV
52588.20000 2.71057e-16 6.83061e-18 BessellV
52585.10000 2.77882e-16 8.13451e-18 BessellV
52585.10000 2.77882e-16 7.04141e-18 BessellV
52585.10000 2.78908e-16 1.34866e-17 BessellV
52585.10000 2.78908e-16 8.90552e-18 BessellV
52633.09000 2.92052e-16 6.82231e-18 BessellV
52553.83000 3.00234e-16 1.30445e-17 BessellV
52617.12000 3.01342e-16 6.80266e-18 BessellV
52577.10000 3.14384e-16 6.5639e-18 BessellV
52577.10000 3.14384e-16 4.11679e-18 BessellV
52576.10000 3.24086e-16 6.17066e-18 BessellV
52576.10000 3.24086e-16 1.07234e-17 BessellV
52612.12000 3.2799e-16 8.75067e-18 BessellV
52607.18000 3.30111e-16 7.41876e-18 BessellV
52574.20000 3.43447e-16 7.69945e-18 BessellV
52574.20000 3.43447e-16 7.69945e-18 BessellV
52597.20000 3.46306e-16 1.29951e-17 BessellV
52573.00000 3.54373e-16 7.15751e-18 BessellV
52573.00000 3.54373e-16 4.20493e-18 BessellV
52584.21000 3.56008e-16 1.19755e-17 BessellV
52572.10000 3.56993e-16 2.36118e-17 BessellV
52572.10000 3.56993e-16 1.99927e-17 BessellV
52572.20000 3.57981e-16 7.77785e-18 BessellV
52572.20000 3.57981e-16 7.77785e-18 BessellV
52572.10000 3.60629e-16 7.75639e-18 BessellV
52572.10000 3.60629e-16 1.50818e-17 BessellV
52555.78000 3.60961e-16 8.80956e-18 BessellV
52578.19000 3.73818e-16 7.46207e-18 BessellV
52555.30000 3.75544e-16 1.09917e-17 BessellV
52555.30000 3.75544e-16 2.13915e-17 BessellV
52581.17000 3.81119e-16 7.46207e-18 BessellV
52575.22000 4.09883e-16 8.13451e-18 BessellV
52554.29000 4.12915e-16 1.30445e-17 BessellV
52568.10000 4.14057e-16 7.83537e-18 BessellV
52568.10000 4.14057e-16 7.83537e-18 BessellV
52554.83000 4.33971e-16 2.20656e-17 BessellV
52569.27000 4.37583e-16 7.75639e-18 BessellV
52561.20000 4.51919e-16 4.28311e-18 BessellV
52561.20000 4.51919e-16 4.22823e-18 BessellV
52555.22000 4.65008e-16 8.74172e-18 BessellV
52572.19000 4.67154e-16 1.52248e-17 BessellV
52558.21000 5.70506e-16 7.60609e-18 BessellV
