# MJD flux flux_err filter
53085.31530 4.30923e-16 9.52548e-18 BessellV
53085.31799 3.48017e-16 7.37231e-18 BessellR
53085.31984 2.29932e-16 6.14149e-18 BessellI
53085.32315 4.41774e-16 1.34273e-17 BessellB
53086.23280 4.66874e-16 1.63403e-17 BessellV
53086.23527 3.32660e-16 1.65451e-17 BessellR
53086.23704 2.69650e-16 1.46530e-17 BessellI
53087.26331 4.73369e-16 1.17717e-17 BessellV
53087.26578 3.86545e-16 8.54451e-18 BessellR
53087.26756 2.55388e-16 5.41008e-18 BessellI
53087.26940 4.38935e-16 1.90009e-17 BessellB
53091.44123 5.43000e-16 1.05026e-17 BessellV
53091.44372 4.33311e-16 1.47665e-17 BessellR
53091.44736 3.72220e-16 1.61129e-17 BessellB
53092.44150 4.97966e-16 8.71423e-18 BessellV
53092.44398 4.31320e-16 8.73974e-18 BessellR
53092.44576 3.17687e-16 5.55942e-18 BessellI
53092.44760 3.67113e-16 1.21725e-17 BessellB
53096.22812 4.79071e-16 1.05898e-17 BessellV
53096.23059 4.35712e-16 7.62481e-18 BessellR
53096.23236 3.43242e-16 6.95502e-18 BessellI
53096.23422 2.65461e-16 1.41809e-17 BessellB
53109.30067 2.69650e-16 8.19577e-18 BessellV
53109.30315 3.03669e-16 6.71254e-18 BessellR
53109.30492 2.61337e-16 6.01749e-18 BessellI
53112.27111 2.39001e-16 7.04410e-18 BessellV
53112.27358 2.80285e-16 6.45380e-18 BessellR
53112.27535 2.45697e-16 7.24145e-18 BessellI
53112.27721 1.39959e-16 7.60550e-18 BessellB
53115.14865 2.60855e-16 6.24668e-18 BessellR
53115.15058 1.35644e-16 7.62089e-18 BessellB
53118.35580 1.86724e-16 8.08302e-18 BessellV
53118.35828 2.31420e-16 4.90234e-18 BessellR
53118.36007 2.13010e-16 5.49330e-18 BessellI
53118.36191 1.15664e-16 6.28532e-18 BessellB
53135.18792 1.46016e-16 5.37942e-18 BessellV
53135.19041 1.58198e-16 5.53681e-18 BessellR
53135.19226 9.05316e-17 1.03394e-17 BessellB
53135.19546 1.44411e-16 6.65037e-18 BessellV
53135.19795 1.53886e-16 5.24418e-18 BessellR
53136.25674 1.44012e-16 7.95842e-18 BessellR
53136.25778 1.55167e-16 4.43034e-18 BessellR
53136.25956 1.28588e-16 7.57976e-18 BessellV
53136.26209 8.97016e-17 7.27040e-18 BessellB
53136.26527 9.47982e-17 6.81036e-18 BessellB
53136.26847 1.29778e-16 7.53037e-18 BessellV
53136.27095 1.51775e-16 4.89265e-18 BessellR
53140.20785 8.03896e-17 1.30313e-17 BessellB
53140.21106 1.19344e-16 6.37534e-18 BessellV
53140.21355 1.32556e-16 5.24982e-18 BessellR
53146.27876 1.13868e-16 6.39743e-18 BessellV
53146.28299 1.21339e-16 4.35853e-18 BessellI
53146.28483 1.06955e-16 1.73376e-17 BessellB
53176.22285 1.05003e-16 5.70595e-18 BessellV
53176.22708 9.01156e-17 4.23298e-18 BessellI
53176.22892 9.13692e-17 8.07880e-18 BessellB
