# MJD flux flux_err filter
53689.33803 4.45623e-15 1.10527e-17 BessellU
53689.34167 4.46033e-15 1.10636e-17 BessellU
53689.38046 4.39104e-15 1.34392e-17 BessellU
53689.38410 4.62346e-15 1.38657e-17 BessellU
53691.41601 5.66197e-15 1.80763e-17 BessellU
53692.41859 6.02792e-15 1.39389e-17 BessellU
53692.42223 5.96715e-15 1.46775e-17 BessellU
53692.43525 6.07250e-15 1.49561e-17 BessellU
53692.43890 6.07250e-15 1.49561e-17 BessellU
53693.42846 6.12868e-15 1.46471e-17 BessellU
53693.43209 6.11177e-15 1.46037e-17 BessellU
53695.42502 5.96715e-15 1.42327e-17 BessellU
53695.42867 6.02792e-15 1.43885e-17 BessellU
53696.41770 5.70384e-15 1.18642e-17 BessellU
53696.42133 5.71962e-15 1.23244e-17 BessellU
53714.19404 3.32175e-15 9.72671e-18 BessellU
53724.32794 2.52445e-15 5.48170e-18 BessellU
53730.36661 2.17855e-15 4.83331e-18 BessellU
53730.37026 2.25615e-15 4.07683e-18 BessellU
53764.29051 1.86452e-15 3.06934e-18 BessellU
53764.29414 1.85938e-15 3.18780e-18 BessellU
53766.33279 1.77569e-15 3.27753e-18 BessellU
53766.33642 1.81037e-15 3.46988e-18 BessellU
53781.25210 1.71462e-15 4.79434e-18 BessellU
53781.25574 1.73048e-15 4.84174e-18 BessellU
53786.21138 1.73527e-15 3.31633e-18 BessellU
53786.21501 1.81204e-15 3.59735e-18 BessellU
53787.12116 1.74168e-15 3.56722e-18 BessellU
53787.12479 1.74649e-15 3.57777e-18 BessellU
53827.14542 1.84743e-15 3.41919e-18 BessellU
53827.14906 1.81873e-15 4.10968e-18 BessellU
54008.48542 1.04946e-15 2.49315e-18 BessellU
54008.48904 1.04368e-15 2.54736e-18 BessellU
54009.43465 9.64200e-16 2.34114e-18 BessellU
54009.43830 9.44860e-16 1.98152e-18 BessellU
54011.42245 9.74916e-16 2.30485e-18 BessellU
54011.42610 9.03998e-16 1.89035e-18 BessellU
53689.33500 3.31974e-15 3.90526e-18 BessellB
53691.42341 4.51133e-15 4.78417e-18 BessellB
53692.42599 4.75450e-15 5.73559e-18 BessellB
53692.44266 4.72394e-15 5.69613e-18 BessellB
53693.43587 4.88770e-15 7.29795e-18 BessellB
