# MJD flux flux_err filter
53773.21000 1.19208e-16 1.60936e-19 BessellB
53774.32000 1.30348e-16 1.47387e-19 BessellB
53775.17000 1.34991e-16 1.52940e-19 BessellB
53778.31000 1.53146e-16 3.40776e-19 BessellB
53784.40000 1.71358e-16 4.92002e-19 BessellB
53786.38000 1.94942e-16 2.36834e-19 BessellB
53795.34000 2.25686e-16 1.71183e-19 BessellB
53799.25000 2.42050e-16 1.55987e-19 BessellB
53804.34000 2.65892e-16 1.40972e-19 BessellB
53805.29000 2.73341e-16 2.09673e-19 BessellB
53818.27000 3.04723e-16 2.35253e-19 BessellB
53824.23000 3.03602e-16 1.62233e-19 BessellB
53832.25000 2.89138e-16 1.71175e-19 BessellB
53838.25000 2.60318e-16 6.27962e-19 BessellB
53846.23000 1.75188e-16 1.41019e-19 BessellB
53853.14000 1.06734e-16 1.07405e-19 BessellB
53862.07000 6.58726e-17 1.07575e-19 BessellB
53867.07000 5.35926e-17 2.48108e-19 BessellB
53898.06000 4.08794e-17 7.37459e-20 BessellB
53773.21000 1.61705e-16 1.12548e-19 SDSS_g
53774.32000 1.63502e-16 1.04382e-19 SDSS_g
53775.17000 1.67774e-16 9.75177e-20 SDSS_g
53778.31000 1.90512e-16 2.11961e-19 SDSS_g
53786.38000 2.38519e-16 1.55685e-19 SDSS_g
53795.34000 2.89417e-16 1.04236e-19 SDSS_g
53799.25000 3.15300e-16 1.14145e-19 SDSS_g
53804.34000 3.40348e-16 1.23784e-19 SDSS_g
53805.29000 3.45083e-16 1.46546e-19 SDSS_g
53818.27000 3.89694e-16 2.14355e-19 SDSS_g
53824.23000 3.96939e-16 1.45724e-19 SDSS_g
53832.25000 3.74217e-16 1.36889e-19 SDSS_g
53838.25000 3.32295e-16 3.21812e-19 SDSS_g
53846.23000 2.48384e-16 1.18193e-19 SDSS_g
53853.14000 1.57588e-16 8.21388e-20 SDSS_g
53862.07000 9.84291e-17 8.87870e-20 SDSS_g
53867.07000 9.19440e-17 1.49748e-19 SDSS_g
53892.06000 6.59969e-17 9.46077e-20 SDSS_g
53898.06000 6.23338e-17 6.85202e-20 SDSS_g
53773.21000 1.64233e-16 1.16605e-19 BessellV
53774.32000 1.71973e-16 1.22434e-19 BessellV
53775.17000 1.78099e-16 1.05882e-19 BessellV
53778.31000 2.02423e-16 2.30406e-19 BessellV
53784.40000 2.37170e-16 2.29509e-19 BessellV
53786.38000 2.52035e-16 1.68295e-19 BessellV
53795.34000 2.99958e-16 1.28822e-19 BessellV
53799.25000 3.24385e-16 1.19987e-19 BessellV
53804.34000 3.50478e-16 1.51970e-19 BessellV
53805.29000 3.50801e-16 1.73849e-19 BessellV
53818.27000 4.00185e-16 2.24948e-19 BessellV
53824.23000 4.14057e-16 1.55495e-19 BessellV
53832.25000 3.99080e-16 1.74447e-19 BessellV
53838.25000 3.61294e-16 3.13910e-19 BessellV
53846.23000 2.77115e-16 1.18436e-19 BessellV
53853.14000 1.86149e-16 9.98638e-20 BessellV
53862.07000 1.22197e-16 9.94797e-20 BessellV
53867.07000 1.13412e-16 1.70726e-19 BessellV
53892.06000 8.64292e-17 2.36478e-19 BessellV
53898.06000 7.45178e-17 7.58171e-20 BessellV
53770.67000 1.81104e-16 1.09266e-18 SDSS_r
53772.65000 1.50635e-16 8.98847e-19 SDSS_r
53773.21000 1.68860e-16 9.13055e-20 SDSS_r
53774.32000 1.74232e-16 9.43876e-20 SDSS_r
53775.17000 1.80770e-16 9.81474e-20 SDSS_r
53778.31000 2.00414e-16 1.94655e-19 SDSS_r
53786.38000 2.48386e-16 1.37494e-19 SDSS_r
53795.34000 2.99176e-16 1.30297e-19 SDSS_r
53799.25000 3.22350e-16 1.20895e-19 SDSS_r
53804.34000 3.47958e-16 1.09271e-19 SDSS_r
53805.29000 3.50855e-16 1.54334e-19 SDSS_r
53818.27000 4.01723e-16 2.03687e-19 SDSS_r
53824.23000 4.12598e-16 1.57166e-19 SDSS_r
53832.25000 4.03578e-16 1.79101e-19 SDSS_r
53838.25000 3.76641e-16 2.13966e-19 SDSS_r
53846.23000 3.06145e-16 1.14449e-19 SDSS_r
53853.14000 2.18739e-16 1.06795e-19 SDSS_r
53862.07000 1.52590e-16 9.11213e-20 SDSS_r
53867.07000 1.40193e-16 9.99561e-20 SDSS_r
53892.06000 1.12390e-16 1.18641e-19 SDSS_r
53898.06000 1.07430e-16 9.42554e-20 SDSS_r
53773.21000 1.20100e-16 7.96132e-20 SDSS_i
53774.32000 1.24722e-16 8.28656e-20 SDSS_i
53775.17000 1.28334e-16 8.54130e-20 SDSS_i
53778.31000 1.43861e-16 1.31472e-19 SDSS_i
53786.38000 1.75365e-16 1.08146e-19 SDSS_i
53795.34000 2.10059e-16 1.04800e-19 SDSS_i
53799.25000 2.24048e-16 9.82020e-20 SDSS_i
53804.34000 2.43861e-16 9.21050e-20 SDSS_i
53805.29000 2.46798e-16 1.24380e-19 SDSS_i
53818.27000 2.81541e-16 1.60961e-19 SDSS_i
53824.23000 2.91301e-16 1.29812e-19 SDSS_i
53832.25000 2.88099e-16 1.46623e-19 SDSS_i
53838.25000 2.69365e-16 1.70632e-19 SDSS_i
53846.23000 2.25082e-16 1.12781e-19 SDSS_i
53853.14000 1.66856e-16 9.23262e-20 SDSS_i
53862.07000 1.17908e-16 8.51711e-20 SDSS_i
53867.07000 1.07335e-16 1.09222e-19 SDSS_i
53892.06000 8.14220e-17 1.15067e-19 SDSS_i
53898.06000 7.72577e-17 9.52399e-20 SDSS_i
