# MJD flux flux_err filter
53774.3744 1.80634e-15 9.21564e-18 BessellV
53774.3804 1.12046e-16 1.84914e-18 BessellU
53774.3813 7.89772e-16 4.87156e-18 BessellB
53774.5 9.33903e-16 1.66343e-18 BessellB
53774.5 1.38197e-15 2.13358e-18 BessellI
53774.5 2.30713e-15 1.84651e-18 BessellR
53774.5 1.77337e-15 2.80848e-18 BessellV
53775.17381 1.32771e-15 6.04747e-19 BessellB
53775.17381 2.30568e-15 8.08411e-19 BessellV
53775.17381 1.81496e-15 6.60363e-19 SDSS_i
53775.17381 3.10594e-15 9.11883e-19 SDSS_r
53775.17381 3.34457e-16 8.04582e-19 SDSS_u
53775.45 1.29629e-15 2.18964e-18 BessellB
53775.45 1.75105e-15 1.57215e-18 BessellI
53775.45 2.91522e-15 3.02093e-18 BessellR
53775.45 2.26569e-15 4.91917e-18 BessellV
53775.93391 3.16228e-15 3.62835e-18 BessellV
53775.93556 3.6593e-16 1.21922e-18 BessellU
53775.93935 1.76158e-15 2.45221e-18 BessellB
53776.46 1.76483e-15 3.74405e-18 BessellB
53776.46 2.21462e-15 4.21648e-18 BessellI
53776.46 3.71768e-15 5.60438e-18 BessellR
53776.46 2.9134e-15 2.07704e-18 BessellV
53776.87597 3.84061e-15 4.74823e-18 BessellV
53776.88138 2.13355e-15 9.45434e-18 BessellB
53776.88703 3.77051e-15 5.47685e-18 BessellV
53777.92507 4.46683e-15 7.88297e-18 BessellV
53777.9305 2.64425e-15 5.40394e-18 BessellB
53777.93603 4.49572e-15 6.9455e-18 BessellV
53777.94145 2.6761e-15 3.46654e-18 BessellB
53778.34 2.40493e-15 6.99939e-18 BessellB
53778.34 3.18933e-15 6.49552e-18 BessellI
53778.34 4.78048e-15 6.24388e-18 BessellR
53778.34 3.83707e-15 1.19984e-17 BessellV
53778.35142 2.76123e-15 1.32059e-18 BessellB
53778.35142 4.35712e-15 1.91883e-18 BessellV
53778.35142 3.62133e-15 1.66478e-18 SDSS_i
53778.35142 5.40746e-15 3.72358e-18 SDSS_r
53778.35142 6.56356e-16 1.2831e-18 SDSS_u
53778.399 4.75116e-15 2.10574e-17 BessellV
53778.87211 5.11446e-15 7.97704e-18 BessellV
53778.88293 5.14754e-15 9.94498e-18 BessellV
53780.36904 3.62996e-15 2.2746e-18 BessellB
53780.36904 5.64937e-15 2.53626e-18 BessellV
53780.4015 6.1546e-15 2.50281e-17 BessellV
53780.4098 5.54878e-16 3.44361e-18 BessellU
53780.4111 3.2085e-15 1.39537e-17 BessellB
53780.9022 6.23447e-15 1.26888e-17 BessellV
53783.21597 4.37222e-15 2.15885e-18 BessellB
53783.21597 7.11868e-15 3.25214e-18 BessellV
53783.21597 4.94844e-15 2.33061e-18 SDSS_i
53783.21597 7.96881e-15 3.1417e-18 SDSS_r
53783.21597 9.14407e-16 1.71048e-18 SDSS_u
53783.7208 8.16582e-15 3.14159e-17 BessellV
53783.8902 6.34742e-16 3.85146e-18 BessellU
53783.9629 4.16392e-15 1.72696e-17 BessellB
