# MJD flux flux_err filter
54552.34787 5.23031e-16 1.33645e-18 BessellU
54553.36404 4.98112e-16 1.25321e-18 BessellU
54554.17434 4.28872e-16 1.04222e-18 BessellU
54555.50373 3.28615e-16 2.39694e-18 BessellU
54556.29391 3.78414e-16 9.47581e-19 BessellU
54557.32593 2.96242e-16 8.84127e-19 BessellU
54558.28646 3.08210e-16 1.07261e-18 BessellU
54559.30045 2.36335e-16 7.09961e-19 BessellU
54564.17713 1.70627e-16 7.44046e-19 BessellU
54565.28555 1.54827e-16 6.62235e-19 BessellU
54566.21464 1.51889e-16 8.88960e-19 BessellU
54569.23342 1.77079e-16 1.52683e-18 BessellU
54570.20098 1.35671e-16 1.47511e-18 BessellU
54572.20237 7.60970e-17 8.34717e-19 BessellU
54582.15872 4.75343e-17 5.44437e-19 BessellU
54584.30857 6.67002e-17 8.43579e-19 BessellU
54585.19976 5.48892e-17 5.24523e-19 BessellU
54586.24578 4.71332e-17 5.31847e-19 BessellU
54592.13885 5.04066e-17 5.97210e-19 BessellU
54593.25165 4.81512e-17 5.33408e-19 BessellU
54594.35865 4.25370e-17 5.76933e-19 BessellU
54599.15819 3.47158e-17 5.19939e-19 BessellU
54622.19490 4.28714e-17 7.45250e-19 BessellU
54629.17576 1.90409e-17 3.33872e-19 BessellU
54552.34229 5.69095e-16 7.01964e-19 BessellB
54553.35846 5.29352e-16 6.17539e-19 BessellB
54554.16939 5.04040e-16 6.17101e-19 BessellB
54555.49999 4.77249e-16 8.88089e-19 BessellB
54556.28835 4.86121e-16 6.23540e-19 BessellB
54557.32037 4.59817e-16 5.59812e-19 BessellB
54558.28029 4.02221e-16 5.10022e-19 BessellB
54559.29487 4.21643e-16 5.74474e-19 BessellB
54564.17154 3.40867e-16 5.29841e-19 BessellB
54565.28059 3.19289e-16 5.32397e-19 BessellB
54566.20872 3.08393e-16 6.04804e-19 BessellB
54569.22750 2.77910e-16 6.40159e-19 BessellB
54570.19543 3.07542e-16 9.13691e-19 BessellB
54572.19862 2.99133e-16 1.13568e-18 BessellB
54575.31436 2.63260e-16 2.35592e-18 BessellB
