# MJD flux flux_err filter
54938.24957 5.10675e-15 6.37405e-18 BessellB
54944.19784 4.05905e-15 4.55747e-18 BessellB
54945.21418 3.72928e-15 4.94292e-18 BessellB
54946.22662 3.54539e-15 4.18977e-18 BessellB
54948.19548 3.03938e-15 4.18088e-18 BessellB
54950.17851 2.65011e-15 3.25025e-18 BessellB
54962.17391 1.51993e-15 2.04557e-18 BessellB
54964.18631 1.39157e-15 1.99828e-18 BessellB
54968.19602 1.26913e-15 1.81156e-18 BessellB
54969.17894 1.17345e-15 1.51502e-18 BessellB
54975.23682 1.03816e-15 1.52931e-18 BessellB
54977.19260 9.71549e-16 1.42514e-18 BessellB
54994.18459 6.80244e-16 1.27259e-18 BessellB
55003.19125 6.34198e-16 1.16160e-18 BessellB
54937.13292 4.26914e-15 4.84974e-18 BessellV
54938.25193 4.27032e-15 5.63362e-18 BessellV
54944.19553 4.35492e-15 6.71242e-18 BessellV
54945.21186 4.32494e-15 5.71100e-18 BessellV
54946.22431 4.22727e-15 5.57270e-18 BessellV
54948.19315 4.08941e-15 4.78035e-18 BessellV
54950.17550 3.87704e-15 5.36099e-18 BessellV
54962.17021 3.01010e-15 4.30206e-18 BessellV
54964.18260 2.91166e-15 4.15151e-18 BessellV
54968.19230 2.67806e-15 4.17540e-18 BessellV
54969.17340 2.68176e-15 3.70640e-18 BessellV
54975.23126 2.41891e-15 3.06357e-18 BessellV
54977.18706 2.33077e-15 2.61711e-18 BessellV
54983.19729 2.14773e-15 2.69755e-18 BessellV
54994.18089 1.92655e-15 2.26812e-18 BessellV
55003.18755 1.74783e-15 2.28441e-18 BessellV
54937.13130 3.59821e-15 3.97265e-18 SDSS_r
54938.25084 3.70789e-15 5.47041e-18 SDSS_r
54944.19391 4.02872e-15 7.32592e-18 SDSS_r
54945.21024 3.96979e-15 5.88642e-18 SDSS_r
54946.21037 4.00763e-15 5.64938e-18 SDSS_r
54948.19154 3.83078e-15 5.52370e-18 SDSS_r
54950.17319 3.84775e-15 5.97691e-18 SDSS_r
54962.16720 3.32420e-15 5.23003e-18 SDSS_r
54964.17961 3.15767e-15 4.14370e-18 SDSS_r
54968.18931 3.09576e-15 4.28196e-18 SDSS_r
54969.16970 3.08012e-15 4.03461e-18 SDSS_r
54975.22756 2.75783e-15 5.17636e-18 SDSS_r
54977.18337 2.82285e-15 3.47017e-18 SDSS_r
54983.19359 2.65563e-15 4.01502e-18 SDSS_r
54994.17719 2.45701e-15 2.99044e-18 SDSS_r
55003.18384 2.33952e-15 3.17131e-18 SDSS_r
54937.12968 2.34348e-15 2.75227e-18 SDSS_i
54938.25182 2.33680e-15 3.08683e-18 SDSS_i
54939.23606 2.35625e-15 4.67162e-18 SDSS_i
54944.19229 2.55706e-15 5.76155e-18 SDSS_i
54945.20863 2.59861e-15 5.66994e-18 SDSS_i
54946.18409 2.66527e-15 3.55503e-18 SDSS_i
54948.18992 2.60005e-15 3.65400e-18 SDSS_i
54950.17088 2.59957e-15 4.23011e-18 SDSS_i
54962.16420 2.27270e-15 5.90885e-18 SDSS_i
54964.17661 2.29753e-15 4.71518e-18 SDSS_i
54968.18630 2.19574e-15 3.28832e-18 SDSS_i
54969.16600 2.25601e-15 2.80730e-18 SDSS_i
54975.20303 2.12864e-15 2.87031e-18 SDSS_i
54977.17966 2.09692e-15 3.05346e-18 SDSS_i
54983.18987 1.93349e-15 5.80781e-18 SDSS_i
54994.17350 1.85807e-15 2.81615e-18 SDSS_i
55003.18014 1.72863e-15 2.85461e-18 SDSS_i
