# MJD flux flux_err filter
55100.50000 1.32190e-16 6.81811e-17 BessellV
55100.50000 1.16842e-16 3.44370e-17 BessellR
55100.50000 1.99710e-16 9.19699e-17 BessellB
55101.61000 2.41880e-16 5.12393e-17 BessellR
55101.61000 3.25987e-16 1.17095e-16 BessellV
55101.61000 4.25011e-16 2.34870e-16 BessellB
55103.58000 5.46009e-16 1.00579e-16 BessellV
55104.58000 7.60677e-16 7.00609e-17 BessellV
55104.68000 1.05779e-15 4.87131e-17 BessellB
55104.68000 9.14534e-16 5.89622e-17 BessellV
55105.55000 1.17273e-15 7.56090e-17 BessellV
55105.60000 1.15133e-15 1.06041e-16 BessellV
55106.00000 9.57635e-16 6.96791e-17 BessellR
55106.00000 1.35145e-15 9.08654e-17 BessellV
55106.00000 5.15703e-16 3.65735e-17 BessellI
55106.63000 5.22396e-16 5.29259e-18 BessellI
55106.63000 1.51915e-15 1.67902e-17 BessellB
55106.63000 1.37278e-15 1.26437e-17 BessellV
55106.63000 9.55873e-16 6.16274e-18 BessellR
55106.64000 1.50522e-15 5.68407e-17 BessellB
55108.62000 1.44012e-15 1.32640e-17 BessellR
55108.97000 2.73149e-15 7.54739e-17 BessellB
55108.97000 2.29721e-15 1.05790e-16 BessellV
55109.41000 9.01156e-16 1.07899e-17 BessellI
55109.41000 2.65705e-15 3.67085e-17 BessellB
55109.41000 2.28665e-15 2.31669e-17 BessellV
55109.41000 1.10053e-15 1.31771e-17 SDSS_i
55109.41000 1.64286e-15 2.11838e-17 BessellR
55109.41000 1.78813e-15 2.14101e-17 SDSS_r
55109.61000 2.63755e-15 2.42927e-16 BessellV
55110.33000 2.61336e-15 3.61050e-16 BessellV
55110.33000 3.63413e-15 4.01658e-16 BessellB
55110.33000 1.80136e-15 2.98640e-16 BessellR
55110.33000 9.91745e-16 1.00477e-16 BessellI
55111.31000 3.87614e-15 1.07102e-16 BessellB
55111.31000 3.11315e-15 1.14693e-16 BessellV
55111.36000 3.91922e-15 6.13655e-17 BessellB
55111.36000 1.04040e-15 2.97055e-17 BessellI
55111.36000 2.92415e-15 4.30919e-17 BessellV
55111.36000 2.13206e-15 3.53466e-17 BessellR
55111.38000 3.71193e-15 3.07693e-17 BessellB
55111.38000 3.00054e-15 2.48724e-17 BessellV
55111.38000 1.36773e-15 1.38570e-17 SDSS_i
55111.38000 1.09345e-15 1.10782e-17 BessellI
55111.38000 2.24906e-15 1.65716e-17 SDSS_r
55111.38000 2.00632e-15 3.32620e-17 BessellR
55112.31000 2.33131e-15 3.43555e-16 BessellR
55112.31000 1.18141e-15 1.74099e-16 BessellI
55112.31000 3.44508e-15 3.80765e-16 BessellV
55112.31000 3.87614e-15 5.35509e-16 BessellB
55112.57000 4.06630e-15 6.36685e-17 BessellB
55113.26000 4.36918e-15 1.20725e-16 BessellB
55113.26000 3.47696e-15 1.28096e-16 BessellV
55113.39000 1.62032e-15 1.34313e-17 SDSS_i
55113.39000 2.64241e-15 2.19037e-17 SDSS_r
55113.39000 1.04232e-15 1.53602e-17 SDSS_z
55113.39000 1.34648e-15 1.11614e-17 BessellI
55113.39000 2.36374e-15 1.95938e-17 BessellR
55113.39000 4.10771e-15 3.02667e-17 SDSS_g
55113.39000 3.61410e-15 2.33009e-17 BessellV
55113.39000 4.28549e-15 3.94708e-17 BessellB
55113.55000 2.73905e-15 9.08193e-17 SDSS_r
55113.55000 4.67735e-15 3.96336e-16 SDSS_g
55113.55000 1.74261e-15 6.42001e-17 SDSS_i
55113.55000 1.14710e-15 8.13517e-17 SDSS_z
55113.56000 1.38420e-15 2.29482e-17 BessellI
55113.56000 4.55827e-15 6.29748e-17 BessellB
55113.56000 3.66775e-15 5.06719e-17 BessellV
55113.56000 2.33131e-15 3.00610e-17 BessellR
55114.64000 1.46016e-15 1.47934e-16 BessellI
55114.64000 2.77715e-15 2.55785e-16 BessellR
55115.14000 3.91922e-15 1.44390e-16 BessellV
55115.14000 4.79071e-15 1.32372e-16 BessellB
55115.39000 4.00682e-15 2.58329e-17 BessellV
55115.39000 2.99227e-15 2.75598e-17 SDSS_r
55115.39000 1.25083e-15 1.84330e-17 SDSS_z
55115.39000 1.48868e-15 1.09690e-17 BessellI
55115.39000 2.68906e-15 2.47671e-17 BessellR
55115.39000 1.82138e-15 1.34204e-17 SDSS_i
55115.39000 4.74242e-15 3.05755e-17 BessellB
55115.39000 4.82614e-15 7.55657e-17 SDSS_g
55116.55000 4.20727e-15 4.26254e-17 BessellV
55116.55000 1.59661e-15 1.32348e-17 BessellI
55116.55000 2.81579e-15 2.59344e-17 BessellR
55116.55000 5.14754e-15 7.11159e-17 BessellB
55116.56000 3.26287e-15 4.50782e-17 SDSS_r
55116.56000 4.84395e-15 6.69217e-17 SDSS_g
55116.56000 1.28944e-15 2.01895e-17 SDSS_z
55116.56000 1.95344e-15 2.69878e-17 SDSS_i
55117.21000 5.10975e-15 1.88250e-16 BessellB
55117.21000 4.41774e-15 1.62756e-16 BessellV
55117.40000 2.93494e-15 1.89223e-17 BessellR
55117.40000 4.33311e-15 3.19276e-17 BessellV
55117.40000 1.69668e-15 1.09389e-17 BessellI
55117.40000 5.25291e-15 8.70860e-17 BessellB
55117.41000 5.13334e-15 7.09197e-17 SDSS_g
55117.41000 1.33536e-15 2.09086e-17 SDSS_z
55117.41000 2.03986e-15 1.87878e-17 SDSS_i
55117.41000 3.31131e-15 2.74485e-17 SDSS_r
55117.62000 5.02574e-15 1.11093e-16 SDSS_g
55117.62000 2.01744e-15 3.53044e-17 SDSS_i
55117.62000 1.43615e-15 3.70368e-17 SDSS_z
55117.62000 3.21810e-15 8.29915e-17 SDSS_r
55117.63000 1.74422e-15 8.83565e-17 BessellI
55117.63000 2.87607e-15 1.40395e-16 BessellR
55117.63000 4.36516e-15 1.76900e-16 BessellV
55117.63000 5.10035e-15 1.26835e-16 BessellB
55118.48000 5.18561e-15 8.11941e-17 BessellB
55118.48000 1.81301e-15 5.84445e-17 BessellI
55118.48000 4.55827e-15 6.29748e-17 BessellV
55118.48000 2.91340e-15 5.36668e-17 BessellR
55119.15000 5.10975e-15 1.88250e-16 BessellB
55119.15000 4.66874e-15 1.72003e-16 BessellV
55119.20280 2.15179e-15 3.56737e-17 SDSS_i
55119.20581 3.46099e-15 5.10030e-17 SDSS_r
55119.20881 4.36918e-15 6.03625e-17 BessellV
55119.21251 4.87528e-15 6.73545e-17 BessellB
55119.34000 4.60045e-15 3.81345e-17 BessellV
55119.34000 3.03949e-15 2.79947e-17 BessellR
55119.34000 5.21915e-15 4.80702e-17 BessellB
55119.34000 1.81468e-15 1.50424e-17 BessellI
55119.35000 5.12861e-15 8.50253e-17 SDSS_g
55119.35000 2.19989e-15 1.82355e-17 SDSS_i
55119.35000 3.49301e-15 3.21718e-17 SDSS_r
55119.35000 1.44944e-15 1.60198e-17 SDSS_z
55119.60000 5.10975e-15 2.87082e-16 BessellB
55119.60000 3.10456e-15 4.28911e-17 BessellR
55119.60000 4.75554e-15 7.88403e-17 BessellV
55119.60000 1.84162e-15 2.20505e-17 BessellI
55119.62000 5.23842e-15 1.15794e-16 SDSS_g
55119.62000 2.30568e-15 4.03487e-17 SDSS_i
55119.62000 1.49692e-15 2.89531e-17 SDSS_z
55119.62000 3.59418e-15 3.64140e-17 SDSS_r
55120.11082 2.20191e-15 4.25888e-17 SDSS_i
55120.11383 3.51237e-15 4.85252e-17 SDSS_r
55120.11683 4.40149e-15 6.08089e-17 BessellV
55120.12053 4.80397e-15 6.19446e-17 BessellB
55120.54000 4.66874e-15 1.72003e-16 BessellV
55120.54000 5.01649e-15 1.38611e-16 BessellB
55121.45000 5.19996e-15 8.14188e-17 BessellB
55121.45000 3.09885e-15 3.71038e-17 BessellR
55121.45000 4.60469e-15 5.51339e-17 BessellV
55121.45000 1.85695e-15 2.39444e-17 BessellI
55122.11899 2.29087e-15 3.79794e-17 SDSS_i
55122.12199 3.59749e-15 5.30146e-17 SDSS_r
55122.12500 4.42996e-15 6.12022e-17 BessellV
55122.12870 4.63447e-15 6.40276e-17 BessellB
55122.53000 3.13040e-15 3.17153e-17 BessellR
55122.53000 1.95344e-15 2.33894e-17 BessellI
55122.53000 2.31206e-15 3.40718e-17 SDSS_i
55122.53000 4.65157e-15 4.28426e-17 BessellV
55122.53000 5.01649e-15 1.33990e-16 BessellB
55122.53000 3.74973e-15 4.48972e-17 SDSS_r
55122.53000 1.64589e-15 3.63820e-17 SDSS_z
55122.82000 4.54151e-15 1.67315e-16 BessellV
55122.82000 5.01649e-15 1.38611e-16 BessellB
55123.37000 1.99159e-15 1.10059e-17 BessellI
55123.37000 3.24190e-15 1.49295e-17 BessellR
55123.37000 5.00265e-15 8.75446e-17 BessellB
55123.37000 4.60045e-15 6.35575e-17 BessellV
55124.55000 4.53315e-15 1.25256e-16 BessellB
55124.55000 4.49987e-15 1.65781e-16 BessellV
55124.62000 4.66874e-15 7.74013e-17 BessellB
55124.62000 3.16519e-15 3.20677e-17 BessellR
55124.62000 4.53733e-15 5.01484e-17 BessellV
55124.62000 1.99710e-15 1.47152e-17 BessellI
55125.12117 3.46418e-15 9.25281e-17 SDSS_r
55125.12788 4.02161e-15 1.07417e-16 BessellB
55125.52000 1.89845e-15 3.49708e-17 BessellI
55125.52000 4.65157e-15 1.15675e-16 BessellV
55125.52000 3.03110e-15 6.42101e-17 BessellR
55125.52000 4.36516e-15 6.03069e-17 BessellB
55125.53000 1.66571e-15 3.52861e-17 SDSS_z
55125.53000 4.67304e-15 5.16484e-17 SDSS_g
55125.53000 3.81593e-15 6.32628e-17 SDSS_r
55125.53000 2.34423e-15 3.45458e-17 SDSS_i
55126.09744 2.29087e-15 3.79794e-17 SDSS_i
55126.10044 3.57437e-15 5.26739e-17 SDSS_r
55126.10344 4.24620e-15 5.86634e-17 BessellV
55126.10714 3.95185e-15 5.82366e-17 BessellB
55127.13611 2.26987e-15 3.97218e-17 SDSS_i
55127.13912 3.52858e-15 4.87491e-17 SDSS_r
55127.14212 4.12287e-15 5.69596e-17 BessellV
55127.14583 3.66100e-15 5.39505e-17 BessellB
55128.12296 2.25113e-15 3.93939e-17 SDSS_i
55128.12597 3.46737e-15 5.10970e-17 SDSS_r
55128.12898 3.98474e-15 5.50512e-17 BessellV
55128.13270 3.44826e-15 5.39914e-17 BessellB
55128.34000 3.55795e-15 5.57089e-17 SDSS_r
55128.34000 1.59221e-15 1.46648e-17 SDSS_z
55128.34000 1.90020e-15 2.80024e-17 BessellI
55128.34000 4.26973e-15 5.89884e-17 SDSS_g
55128.34000 3.12752e-15 4.89694e-17 BessellR
55128.34000 2.29509e-15 3.38217e-17 SDSS_i
55128.34000 3.74628e-15 5.17567e-17 BessellB
55128.34000 4.15336e-15 6.12062e-17 BessellV
55128.51000 4.15336e-15 4.20793e-17 SDSS_g
55128.57000 3.71878e-15 6.85024e-17 BessellB
55128.57000 1.82642e-15 1.68219e-17 BessellI
55128.57000 3.11315e-15 2.86732e-17 BessellR
55128.57000 4.13048e-15 5.32603e-17 BessellV
55129.09110 2.22229e-15 3.88892e-17 SDSS_i
55129.09409 3.36977e-15 4.65551e-17 SDSS_r
55129.09709 3.86901e-15 5.34524e-17 BessellV
55129.10079 3.15937e-15 4.65581e-17 BessellB
55129.54000 3.46418e-15 5.42406e-17 BessellB
55129.55000 4.08507e-15 4.13874e-17 SDSS_g
55131.08443 2.15774e-15 3.97471e-17 SDSS_i
55131.08745 3.21810e-15 5.63157e-17 SDSS_r
55131.52000 1.51775e-15 1.95706e-17 SDSS_z
55131.52000 2.18373e-15 2.01130e-17 SDSS_i
55131.52000 3.26889e-15 3.61291e-17 SDSS_r
55131.52000 3.60413e-15 3.31952e-17 SDSS_g
55131.54000 3.73938e-15 4.13292e-17 BessellV
55131.54000 2.85496e-15 2.10361e-17 BessellR
55131.54000 3.01995e-15 6.11925e-17 BessellB
55131.54000 1.79970e-15 1.82334e-17 BessellI
55132.53000 3.39156e-15 4.99799e-17 SDSS_g
55132.53000 2.06443e-15 3.04225e-17 SDSS_i
55132.53000 3.07610e-15 1.01995e-16 SDSS_r
55132.53000 1.46960e-15 1.89498e-17 SDSS_z
55132.60000 3.37909e-15 2.67654e-16 BessellV
55133.24676 2.28034e-15 5.46071e-17 BessellB
55133.52000 3.17980e-15 4.39306e-17 BessellV
55133.52000 2.72898e-15 9.29988e-17 BessellR
55133.52000 2.35722e-15 8.46721e-17 BessellB
55133.52000 1.66265e-15 7.96304e-17 BessellI
55136.09419 1.83823e-15 3.21684e-17 SDSS_i
55136.10020 2.57751e-15 4.03575e-17 BessellV
55136.10390 1.62181e-15 3.73436e-17 BessellB
55137.14000 2.63755e-15 9.71708e-17 BessellV
55137.14000 1.77174e-15 6.52733e-17 BessellB
55137.23171 2.42549e-15 4.02113e-17 SDSS_r
55137.23471 2.40326e-15 3.76292e-17 BessellV
55137.23841 1.58781e-15 4.67978e-17 BessellB
55137.52000 1.50661e-15 2.22022e-17 BessellI
55137.52000 2.26987e-15 3.34500e-17 BessellR
55137.52000 1.60103e-15 4.57127e-17 BessellB
55137.52000 2.52581e-15 3.95480e-17 BessellV
55138.26566 1.71080e-15 2.67870e-17 SDSS_i
55138.26867 2.41880e-15 3.78726e-17 SDSS_r
55138.27165 2.30781e-15 4.03859e-17 BessellV
55138.27537 1.42692e-15 5.51982e-17 BessellB
55138.54000 1.42824e-15 1.71009e-17 BessellI
