# MJD flux flux_err filter
56456.54000 1.74866e-16 2.06006e-16 BessellB
56442.54000 2.06398e-16 2.35209e-17 BessellB
56441.54000 2.18125e-16 6.21435e-17 BessellB
56437.65000 2.24236e-16 1.03793e-16 BessellB
56424.55000 2.74603e-16 8.58036e-17 BessellB
56422.54000 2.77143e-16 6.60056e-17 BessellB
56400.68680 3.87886e-16 6.6484e-17 BessellB
56398.55000 5.23244e-16 7.98729e-17 BessellB
56392.89650 5.30524e-16 4.16964e-17 BessellB
56390.39230 5.474e-16 1.17526e-16 BessellB
56388.43560 5.74784e-16 9.35334e-17 BessellB
56391.58000 6.29078e-16 8.31821e-17 BessellB
56386.59680 6.5389e-16 8.887e-17 BessellB
56382.42120 8.0372e-16 3.9093e-17 BessellB
56384.45200 8.08174e-16 3.67864e-17 BessellB
56380.32740 8.30051e-16 1.77964e-17 BessellB
56384.73000 8.44704e-16 4.28045e-17 BessellB
56375.31390 8.6917e-16 2.15486e-17 BessellB
56378.85500 9.27053e-16 1.76332e-17 BessellB
56383.73000 9.6985e-16 2.11998e-17 BessellB
56381.69000 9.97022e-16 5.94158e-17 BessellB
56379.65000 1.05367e-15 1.74715e-17 BessellB
56374.58000 1.09321e-15 8.61085e-17 BessellB
56375.74000 1.09321e-15 4.89095e-17 BessellB
#56715.74000 4.67183e-17 7.89574e-18 BessellI
#56687.94000 5.82756e-17 7.31508e-18 BessellI
#56665.85000 6.21565e-17 4.88174e-18 BessellI
#56660.95000 6.33121e-17 3.5185e-18 BessellI
56602.89000 8.42339e-17 3.43941e-18 BessellI
56480.40000 3.05835e-16 6.27185e-18 BessellI
#56374.58000 7.20256e-16 2.57236e-17 BessellI
56375.74000 7.68222e-16 5.14731e-17 BessellI
56379.65000 8.42339e-16 3.85701e-17 BessellI
56381.69000 9.49482e-16 3.82316e-17 BessellI
56383.73000 9.49482e-16 2.52668e-17 BessellI
56384.73000 9.85115e-16 2.89347e-17 BessellI
56391.58000 1.04109e-15 2.65182e-17 BessellI
56398.55000 1.09015e-15 2.09086e-17 BessellI
56456.54000 1.10024e-15 5.63055e-18 BessellI
56446.52000 1.18437e-15 3.93772e-17 BessellI
56441.54000 1.20639e-15 1.82527e-17 BessellI
56424.55000 1.22882e-15 6.35993e-17 BessellI
56437.65000 1.22882e-15 4.48312e-17 BessellI
56442.54000 1.22882e-15 3.43941e-17 BessellI
56422.54000 1.24019e-15 5.97171e-17 BessellI
56444.54000 1.24019e-15 2.98794e-17 BessellI
56369.29200 7.57372e-18 2.21989e-17 BessellR
56364.25200 7.6438e-18 3.96664e-17 BessellR
56369.26300 7.6438e-18 2.19954e-17 BessellR
56368.29000 7.78591e-18 8.88468e-17 BessellR
56364.22400 8.00404e-18 4.59094e-17 BessellR
56364.26500 8.0781e-18 2.55034e-17 BessellR
56368.26000 8.22829e-18 5.38373e-17 BessellR
56369.22800 8.38126e-18 1.27668e-16 BessellR
56367.27400 8.53708e-18 2.21989e-17 BessellR
56370.33900 8.77626e-18 9.3718e-17 BessellR
56368.23000 9.2749e-18 2.24043e-17 BessellR
56364.24000 9.53475e-18 6.41624e-17 BessellR
56370.31000 9.62298e-18 6.12043e-17 BessellR
56370.28000 1.05514e-17 2.21989e-17 BessellR
56367.24500 1.17845e-17 2.21989e-17 BessellR
56367.21600 1.59702e-17 4.40037e-17 BessellR
#56715.74000 3.27574e-17 8.6776e-17 BessellR
#56687.94000 3.52622e-17 4.00175e-17 BessellR
#56665.85000 3.72657e-17 4.17888e-17 BessellR
#56660.95000 3.83098e-17 3.18819e-17 BessellR
#56602.89000 4.86754e-17 4.47052e-17 BessellR
56480.40000 2.80098e-16 3.90382e-17 BessellR
