# wavelength flux
1500.0 2.6443109433006023e-18
1501.0 2.6475179480745105e-18
1502.0 2.6507249528484188e-18
1503.0 2.653931957622327e-18
1504.0 2.657138962396235e-18
1505.0 2.660345967170143e-18
1506.0 2.6635529719440514e-18
1507.0 2.6667599767179597e-18
1508.0 2.669966981491868e-18
1509.0 2.673173986265776e-18
1510.0 2.676380991039684e-18
1511.0 2.6795879958135923e-18
1512.0 2.6827950005875005e-18
1513.0 2.6860020053614088e-18
1514.0 2.689209010135317e-18
1515.0 2.6924160149092253e-18
1516.0 2.695623019683133e-18
1517.0 2.6988300244570414e-18
1518.0 2.7020370292309496e-18
1519.0 2.705244034004858e-18
1520.0 2.708451038778766e-18
1521.0 2.7116580435526744e-18
1522.0 2.7148650483265826e-18
1523.0 2.7180720531004905e-18
1524.0 2.7212790578743987e-18
1525.0 2.724486062648307e-18
1526.0 2.7276930674222152e-18
1527.0 2.7309000721961235e-18
1528.0 2.7341070769700317e-18
1529.0 2.7373140817439396e-18
1530.0 2.740521086517848e-18
1531.0 2.743728091291756e-18
1532.0 2.7469350960656644e-18
1533.0 2.7501421008395726e-18
1534.0 2.753349105613481e-18
1535.0 2.7565561103873887e-18
1536.0 2.759763115161297e-18
1537.0 2.7629701199352052e-18
1538.0 2.7661771247091135e-18
1539.0 2.7693841294830217e-18
1540.0 2.77259113425693e-18
1541.0 2.775798139030838e-18
1542.0 2.779005143804746e-18
1543.0 2.7822121485786543e-18
1544.0 2.7854191533525626e-18
1545.0 2.788626158126471e-18
1546.0 2.791833162900379e-18
1547.0 2.7950401676742873e-18
1548.0 2.7982471724481952e-18
1549.0 2.8014541772221034e-18
1550.0 2.8046611819960117e-18
1551.0 2.80786818676992e-18
1552.0 2.8110751915438282e-18
1553.0 2.8142821963177364e-18
1554.0 2.8174892010916443e-18
1555.0 2.8206962058655526e-18
1556.0 2.823903210639461e-18
1557.0 2.827110215413369e-18
1558.0 2.8303172201872773e-18
1559.0 2.8335242249611856e-18
1560.0 2.8367312297350934e-18
1561.0 2.8399382345090017e-18
1562.0 2.84314523928291e-18
1563.0 2.846352244056818e-18
1564.0 2.8495592488307264e-18
1565.0 2.8527662536046347e-18
1566.0 2.855973258378543e-18
1567.0 2.8591802631524508e-18
1568.0 2.862387267926359e-18
1569.0 2.8655942727002673e-18
1570.0 2.8688012774741755e-18
1571.0 2.8720082822480838e-18
1572.0 2.875215287021992e-18
1573.0 2.8784222917959003e-18
1574.0 2.881629296569808e-18
1575.0 2.8848363013437164e-18
1576.0 2.8880433061176246e-18
1577.0 2.891250310891533e-18
1578.0 2.894457315665441e-18
1579.0 2.897664320439349e-18
1580.0 2.9008713252132573e-18
1581.0 2.9040783299871655e-18
1582.0 2.9072853347610738e-18
1583.0 2.910492339534982e-18
1584.0 2.9136993443088903e-18
1585.0 2.9169063490827985e-18
1586.0 2.9201133538567064e-18
1587.0 2.9233203586306146e-18
1588.0 2.926527363404523e-18
1589.0 2.929734368178431e-18
1590.0 2.9329413729523394e-18
1591.0 2.9361483777262476e-18
1592.0 2.939355382500156e-18
1593.0 2.9425623872740637e-18
1594.0 2.945769392047972e-18
1595.0 2.9489763968218802e-18
1596.0 2.9521834015957885e-18
1597.0 2.9553904063696967e-18
1598.0 2.9585974111436046e-18
1599.0 2.961804415917513e-18
1600.0 2.965011420691421e-18
1601.0 2.9682184254653294e-18
1602.0 2.9714254302392376e-18
1603.0 2.974632435013146e-18
1604.0 2.977839439787054e-18
1605.0 2.981046444560962e-18
1606.0 2.9842534493348702e-18
1607.0 2.9874604541087785e-18
1608.0 2.9906674588826867e-18
1609.0 2.993874463656595e-18
1610.0 2.9970814684305032e-18
1611.0 3.0002884732044115e-18
1612.0 3.0034954779783193e-18
1613.0 3.0067024827522276e-18
1614.0 3.009909487526136e-18
1615.0 3.013116492300044e-18
1616.0 3.0163234970739523e-18
1617.0 3.01953050184786e-18
1618.0 3.0227375066217684e-18
1619.0 3.0259445113956767e-18
1620.0 3.029151516169585e-18
1621.0 3.032358520943493e-18
1622.0 3.0355655257174014e-18
1623.0 3.0387725304913097e-18
1624.0 3.0419795352652176e-18
1625.0 3.0451865400391258e-18
1626.0 3.048393544813034e-18
1627.0 3.0516005495869423e-18
1628.0 3.0548075543608506e-18
1629.0 3.0580145591347588e-18
1630.0 3.0612215639086667e-18
1631.0 3.064428568682575e-18
1632.0 3.067635573456483e-18
1633.0 3.0708425782303914e-18
1634.0 3.0740495830042997e-18
1635.0 3.077256587778208e-18
1636.0 3.0804635925521158e-18
1637.0 3.083670597326024e-18
1638.0 3.0868776020999323e-18
1639.0 3.0900846068738405e-18
1640.0 3.0932916116477488e-18
1641.0 3.096498616421657e-18
1642.0 3.0997056211955653e-18
1643.0 3.102912625969473e-18
1644.0 3.1061196307433814e-18
1645.0 3.1093266355172896e-18
1646.0 3.112533640291198e-18
1647.0 3.115740645065106e-18
1648.0 3.118947649839014e-18
1649.0 3.1221546546129226e-18
