# wavelength flux
1500.0 2.4810078497357634e-18
1501.0 2.4841565976940478e-18
1502.0 2.487305345652332e-18
1503.0 2.4904540936106162e-18
1504.0 2.4936028415689006e-18
1505.0 2.496751589527185e-18
1506.0 2.4999003374854694e-18
1507.0 2.5030490854437538e-18
1508.0 2.506197833402038e-18
1509.0 2.509346581360322e-18
1510.0 2.5124953293186066e-18
1511.0 2.515644077276891e-18
1512.0 2.5187928252351753e-18
1513.0 2.5219415731934597e-18
1514.0 2.5250903211517437e-18
1515.0 2.528239069110028e-18
1516.0 2.5313878170683125e-18
1517.0 2.534536565026597e-18
1518.0 2.5376853129848813e-18
1519.0 2.5408340609431653e-18
1520.0 2.5439828089014497e-18
1521.0 2.547131556859734e-18
1522.0 2.5502803048180185e-18
1523.0 2.553429052776303e-18
1524.0 2.5565778007345873e-18
1525.0 2.5597265486928713e-18
1526.0 2.5628752966511557e-18
1527.0 2.56602404460944e-18
1528.0 2.5691727925677244e-18
1529.0 2.572321540526009e-18
1530.0 2.575470288484293e-18
1531.0 2.5786190364425772e-18
1532.0 2.5817677844008616e-18
1533.0 2.584916532359146e-18
1534.0 2.5880652803174304e-18
1535.0 2.5912140282757144e-18
1536.0 2.594362776233999e-18
1537.0 2.5975115241922832e-18
1538.0 2.6006602721505676e-18
1539.0 2.603809020108852e-18
1540.0 2.6069577680671364e-18
1541.0 2.6101065160254204e-18
1542.0 2.6132552639837048e-18
1543.0 2.616404011941989e-18
1544.0 2.6195527599002736e-18
1545.0 2.622701507858558e-18
1546.0 2.625850255816842e-18
1547.0 2.6289990037751264e-18
1548.0 2.6321477517334107e-18
1549.0 2.635296499691695e-18
1550.0 2.6384452476499795e-18
1551.0 2.641593995608264e-18
1552.0 2.644742743566548e-18
1553.0 2.6478914915248323e-18
1554.0 2.6510402394831167e-18
1555.0 2.654188987441401e-18
1556.0 2.6573377353996855e-18
1557.0 2.6604864833579695e-18
1558.0 2.663635231316254e-18
1559.0 2.6667839792745383e-18
1560.0 2.6699327272328227e-18
1561.0 2.673081475191107e-18
1562.0 2.676230223149391e-18
1563.0 2.6793789711076755e-18
1564.0 2.68252771906596e-18
1565.0 2.6856764670242442e-18
1566.0 2.6888252149825286e-18
1567.0 2.691973962940813e-18
1568.0 2.695122710899097e-18
1569.0 2.6982714588573814e-18
1570.0 2.701420206815666e-18
1571.0 2.7045689547739502e-18
1572.0 2.7077177027322346e-18
1573.0 2.710866450690519e-18
1574.0 2.714015198648803e-18
1575.0 2.7171639466070874e-18
1576.0 2.7203126945653718e-18
1577.0 2.723461442523656e-18
1578.0 2.7266101904819406e-18
1579.0 2.7297589384402246e-18
1580.0 2.732907686398509e-18
1581.0 2.7360564343567934e-18
1582.0 2.7392051823150778e-18
1583.0 2.742353930273362e-18
1584.0 2.745502678231646e-18
1585.0 2.7486514261899305e-18
1586.0 2.751800174148215e-18
1587.0 2.7549489221064993e-18
1588.0 2.7580976700647837e-18
1589.0 2.7612464180230677e-18
1590.0 2.764395165981352e-18
1591.0 2.7675439139396365e-18
1592.0 2.770692661897921e-18
1593.0 2.7738414098562053e-18
1594.0 2.7769901578144893e-18
1595.0 2.7801389057727737e-18
1596.0 2.783287653731058e-18
1597.0 2.7864364016893425e-18
1598.0 2.789585149647627e-18
1599.0 2.7927338976059113e-18
1600.0 2.7958826455641957e-18
1601.0 2.7990313935224797e-18
1602.0 2.802180141480764e-18
1603.0 2.8053288894390484e-18
1604.0 2.808477637397333e-18
1605.0 2.8116263853556172e-18
1606.0 2.8147751333139012e-18
1607.0 2.8179238812721856e-18
1608.0 2.82107262923047e-18
1609.0 2.8242213771887544e-18
1610.0 2.8273701251470388e-18
1611.0 2.8305188731053228e-18
1612.0 2.8336676210636072e-18
1613.0 2.8368163690218916e-18
1614.0 2.839965116980176e-18
1615.0 2.8431138649384604e-18
1616.0 2.8462626128967444e-18
1617.0 2.8494113608550288e-18
1618.0 2.852560108813313e-18
1619.0 2.8557088567715976e-18
1620.0 2.858857604729882e-18
1621.0 2.862006352688166e-18
1622.0 2.8651551006464503e-18
1623.0 2.8683038486047347e-18
1624.0 2.871452596563019e-18
1625.0 2.8746013445213035e-18
1626.0 2.877750092479588e-18
1627.0 2.880898840437872e-18
1628.0 2.8840475883961563e-18
1629.0 2.8871963363544407e-18
1630.0 2.890345084312725e-18
1631.0 2.8934938322710095e-18
1632.0 2.896642580229294e-18
1633.0 2.899791328187578e-18
1634.0 2.9029400761458623e-18
1635.0 2.9060888241041467e-18
1636.0 2.909237572062431e-18
1637.0 2.9123863200207155e-18
1638.0 2.9155350679789995e-18
1639.0 2.918683815937284e-18
1640.0 2.9218325638955682e-18
1641.0 2.9249813118538526e-18
