# wavelength flux
3199.87262 5.97885e-18
3201.87562 6.14110e-18
3203.86861 6.25888e-18
3205.87161 6.11469e-18
3207.87461 6.22525e-18
3209.86759 6.94372e-18
3211.87059 6.92325e-18
3213.87359 7.07559e-18
3215.87659 6.84225e-18
3217.86958 6.17626e-18
3219.87258 6.71709e-18
3221.87558 6.78226e-18
3223.86856 6.71348e-18
3225.87156 6.46116e-18
3227.87456 6.60645e-18
3229.86755 6.52836e-18
3231.87055 6.33389e-18
3233.87355 6.71906e-18
3235.86653 6.58993e-18
3237.86953 6.79928e-18
3239.87253 6.42107e-18
3241.87553 6.35633e-18
3243.86852 6.51786e-18
3245.87152 6.45000e-18
3247.87452 6.20465e-18
3249.86750 6.23112e-18
3251.87050 7.06609e-18
3253.87350 6.63236e-18
3255.86649 6.59248e-18
3257.86949 6.80017e-18
3259.87248 6.38278e-18
3261.86547 6.01076e-18
3263.86847 6.34281e-18
3265.87147 6.18563e-18
3267.87447 6.52849e-18
3269.86746 6.55358e-18
3271.87045 6.30854e-18
3273.87345 6.44651e-18
3275.86644 6.45673e-18
3277.86944 6.26976e-18
3279.87244 6.60161e-18
3281.86542 6.73538e-18
3283.86843 6.76121e-18
3285.87142 6.41705e-18
3287.86441 6.80298e-18
3289.86741 6.86511e-18
3291.87041 6.53940e-18
3293.87341 6.85151e-18
3295.86640 6.83115e-18
3297.86940 6.59300e-18
3299.87239 7.04445e-18
3301.86538 6.72062e-18
3303.86838 6.99442e-18
3305.87138 7.04213e-18
3307.86436 6.94363e-18
3309.86737 6.88311e-18
3311.87037 7.30121e-18
3313.86335 7.52929e-18
3315.86635 7.62555e-18
3317.86935 7.68394e-18
3319.87235 7.55199e-18
3321.86533 7.86694e-18
3323.86834 8.02935e-18
3325.87134 7.96305e-18
3327.86432 7.95389e-18
3329.86732 8.14490e-18
3331.87032 8.60949e-18
3333.86330 8.25817e-18
3335.86631 8.49511e-18
3337.86931 8.85082e-18
3339.86229 8.79899e-18
3341.86529 8.90171e-18
3343.86829 9.10227e-18
3345.87129 9.15715e-18
3347.86427 9.40824e-18
3349.86728 9.87285e-18
3351.87028 9.59139e-18
3353.86326 9.51778e-18
3355.86626 9.57917e-18
3357.86926 9.92502e-18
3359.86225 1.00662e-17
3361.86524 9.83087e-18
3363.86825 9.80305e-18
3365.86123 1.01850e-17
3367.86423 1.05037e-17
3369.86723 1.05390e-17
3371.87023 1.05332e-17
3373.86322 1.08748e-17
3375.86622 1.08593e-17
3377.86922 1.10772e-17
3379.86220 1.14281e-17
3381.86520 1.11040e-17
3383.86820 1.11687e-17
3385.86119 1.18138e-17
3387.86419 1.20123e-17
3389.86719 1.17931e-17
3391.86017 1.16249e-17
3393.86317 1.21649e-17
3395.86617 1.20687e-17
3397.86917 1.17954e-17
3399.86216 1.22641e-17
3401.86515 1.26364e-17
3403.86816 1.23601e-17
3405.86114 1.25526e-17
3407.86414 1.31538e-17
3409.86714 1.29469e-17
3411.86013 1.24813e-17
3413.86313 1.27645e-17
3415.86613 1.33096e-17
3417.85911 1.34523e-17
3419.86211 1.36193e-17
3421.86511 1.36086e-17
3423.86811 1.38465e-17
3425.86110 1.37725e-17
3427.86410 1.38435e-17
3429.86710 1.39544e-17
3431.86008 1.39300e-17
3433.86308 1.42675e-17
3435.86608 1.39472e-17
3437.85907 1.41117e-17
3439.86207 1.41682e-17
3441.86507 1.42338e-17
3443.85805 1.42681e-17
3445.86105 1.42275e-17
3447.86405 1.41061e-17
3449.86705 1.41026e-17
3451.86004 1.45358e-17
3453.86304 1.41573e-17
3455.86604 1.43287e-17
3457.85902 1.42637e-17
3459.86202 1.42270e-17
3461.86502 1.44245e-17
3463.85801 1.44096e-17
3465.86101 1.42547e-17
3467.86401 1.41002e-17
3469.85699 1.43377e-17
3471.85999 1.45077e-17
3473.86299 1.42510e-17
3475.86599 1.43402e-17
3477.85898 1.47751e-17
3479.86198 1.49156e-17
3481.86498 1.47387e-17
3483.85796 1.46868e-17
3485.86096 1.48133e-17
3487.86396 1.47189e-17
3489.85695 1.47711e-17
3491.85995 1.47099e-17
3493.86295 1.50058e-17
3495.85593 1.50283e-17
3497.85893 1.49363e-17
3499.86193 1.48326e-17
3501.86493 1.50113e-17
3503.85792 1.48826e-17
3505.86092 1.47110e-17
3507.86392 1.48899e-17
3509.85690 1.52147e-17
3511.85990 1.51209e-17
3513.86290 1.49876e-17
3515.85589 1.51432e-17
3517.85889 1.50626e-17
3519.86189 1.51971e-17
3521.85487 1.51884e-17
3523.85787 1.49651e-17
3525.86087 1.51387e-17
3527.86387 1.55393e-17
3529.85686 1.54849e-17
3531.85986 1.53175e-17
3533.86286 1.55496e-17
3535.85584 1.58284e-17
3537.85884 1.60983e-17
3539.86184 1.58962e-17
3541.85483 1.62007e-17
3543.85783 1.62212e-17
3545.86083 1.62196e-17
3547.85381 1.64597e-17
3549.85681 1.66528e-17
3551.85981 1.68378e-17
3553.86281 1.69375e-17
3555.85580 1.70491e-17
3557.85880 1.72907e-17
3559.86180 1.76091e-17
3561.85478 1.73719e-17
3563.85778 1.75697e-17
3565.86078 1.76498e-17
3567.85377 1.75570e-17
3569.85677 1.79419e-17
3571.85977 1.78195e-17
3573.85275 1.76765e-17
3575.85575 1.78424e-17
3577.85875 1.78990e-17
3579.86175 1.79412e-17
3581.85473 1.81975e-17
3583.85774 1.79523e-17
3585.86074 1.78766e-17
3587.85372 1.80347e-17
3589.85672 1.81220e-17
3591.85972 1.79648e-17
3593.85270 1.77670e-17
3595.85570 1.79287e-17
3597.85871 1.81494e-17
3599.85169 1.80101e-17
3601.85469 1.78419e-17
3603.85769 1.77954e-17
3605.86069 1.75501e-17
3607.85367 1.72660e-17
3609.85667 1.74012e-17
3611.85968 1.71199e-17
3613.85266 1.68486e-17
3615.85566 1.69690e-17
3617.85866 1.67885e-17
3619.85165 1.66038e-17
3621.85464 1.65224e-17
3623.85765 1.62055e-17
3625.85063 1.63598e-17
3627.85363 1.60825e-17
3629.85663 1.56921e-17
3631.85963 1.57826e-17
3633.85262 1.56841e-17
3635.85561 1.54618e-17
3637.85862 1.48625e-17
3639.85160 1.43107e-17
3641.85460 1.46369e-17
3643.85760 1.40149e-17
3645.85059 1.38174e-17
3647.85359 1.37496e-17
3649.85658 1.34793e-17
3651.84957 1.31463e-17
3653.85257 1.27984e-17
3655.85557 1.26136e-17
3657.85857 1.22286e-17
3659.85156 1.20206e-17
3661.85455 1.19345e-17
3663.85756 1.17412e-17
3665.85054 1.17173e-17
3667.85354 1.15260e-17
3669.85654 1.13519e-17
3671.84953 1.14576e-17
3673.85253 1.13795e-17
3675.85552 1.14962e-17
3677.84851 1.15487e-17
3679.85151 1.14263e-17
3681.85451 1.13975e-17
3683.85751 1.16651e-17
3685.85050 1.17995e-17
3687.85350 1.15995e-17
3689.85649 1.16606e-17
3691.84948 1.15676e-17
3693.85248 1.17277e-17
3695.85548 1.17060e-17
3697.84847 1.15308e-17
3699.85147 1.16648e-17
3701.85447 1.16371e-17
3703.84745 1.15079e-17
3705.85045 1.14325e-17
3707.85345 1.13585e-17
3709.85645 1.12140e-17
3711.84944 1.15450e-17
3713.85244 1.15099e-17
3715.85544 1.14749e-17
3717.84842 1.14305e-17
3719.85142 1.13862e-17
3721.85442 1.13418e-17
3723.84740 1.12975e-17
3725.85041 1.12532e-17
3727.85341 1.12089e-17
3729.84639 1.11646e-17
3731.84939 1.11203e-17
3733.85239 1.10761e-17
3735.85539 1.10318e-17
3737.84838 1.09875e-17
3739.85138 1.09433e-17
3741.85438 1.08990e-17
3743.84736 1.08548e-17
3745.85036 1.08106e-17
3747.85336 1.07664e-17
3749.84635 1.07222e-17
3751.84935 1.06780e-17
3753.85235 1.06338e-17
3755.84533 1.05290e-17
3757.84833 1.07268e-17
3759.85133 1.07154e-17
3761.85433 1.08211e-17
3763.84732 1.10589e-17
3765.85032 1.10712e-17
3767.85332 1.11703e-17
3769.84630 1.11939e-17
3771.84930 1.13619e-17
3773.85230 1.14192e-17
3775.84529 1.15094e-17
3777.84829 1.15824e-17
3779.85129 1.18728e-17
3781.84427 1.19823e-17
3783.84727 1.21388e-17
3785.85027 1.22348e-17
3787.85327 1.25037e-17
3789.84626 1.29115e-17
3791.84926 1.29718e-17
3793.85226 1.32639e-17
3795.84524 1.34337e-17
3797.84824 1.34867e-17
3799.85124 1.38301e-17
3801.84423 1.41574e-17
3803.84723 1.43827e-17
3805.85023 1.48056e-17
3807.85323 1.49698e-17
3809.84621 1.50768e-17
3811.84921 1.53566e-17
3813.85221 1.57429e-17
3815.84520 1.61056e-17
3817.84820 1.63948e-17
3819.85120 1.66097e-17
3821.84418 1.67776e-17
3823.84718 1.68899e-17
3825.85018 1.72224e-17
3827.84317 1.77576e-17
3829.84617 1.79994e-17
3831.84917 1.81259e-17
3833.84215 1.84719e-17
3835.84515 1.88855e-17
3837.84815 1.90451e-17
3839.85115 1.92693e-17
3841.84414 1.96153e-17
3843.84714 1.99520e-17
3845.85014 2.02720e-17
3847.84312 2.05300e-17
3849.84612 2.06385e-17
3851.84912 2.09340e-17
3853.84211 2.11378e-17
3855.84511 2.15819e-17
3857.84811 2.16833e-17
3859.84109 2.18786e-17
3861.84409 2.25941e-17
3863.84709 2.28422e-17
3865.85009 2.26377e-17
3867.84308 2.29413e-17
3869.84608 2.32614e-17
3871.84908 2.36124e-17
3873.84206 2.35151e-17
3875.84506 2.39406e-17
3877.84806 2.41015e-17
3879.84105 2.41594e-17
3881.84405 2.42474e-17
3883.84705 2.43936e-17
3885.84003 2.44640e-17
3887.84303 2.44447e-17
3889.84603 2.44202e-17
3891.84903 2.43006e-17
3893.84202 2.46403e-17
3895.84502 2.46342e-17
3897.84802 2.46684e-17
3899.84100 2.48130e-17
3901.84400 2.50838e-17
3903.84700 2.49104e-17
3905.83999 2.47899e-17
3907.84299 2.47951e-17
3909.84598 2.48813e-17
3911.84899 2.48632e-17
3913.84197 2.48098e-17
3915.84497 2.51359e-17
3917.84797 2.53673e-17
3919.84096 2.53701e-17
3921.84395 2.50953e-17
3923.84695 2.50624e-17
3925.83994 2.51283e-17
3927.84294 2.50484e-17
3929.84594 2.46555e-17
3931.83893 2.40101e-17
3933.84193 2.41043e-17
3935.84492 2.36147e-17
3937.84793 2.15168e-17
3939.84091 2.12029e-17
3941.84391 2.31306e-17
3943.84691 2.41444e-17
3945.83990 2.40976e-17
3947.84290 2.38530e-17
3949.84589 2.35910e-17
3951.83888 2.36065e-17
3953.84188 2.37475e-17
3955.84488 2.35425e-17
3957.83786 2.35653e-17
3959.84087 2.34721e-17
3961.84387 2.34503e-17
3963.84686 2.33419e-17
3965.83985 2.29630e-17
3967.84285 2.29059e-17
3969.84585 2.29050e-17
3971.83884 2.23103e-17
3973.84184 2.17716e-17
3975.84483 2.24603e-17
3977.83782 2.33152e-17
3979.84082 2.34728e-17
3981.84382 2.34868e-17
