# wavelength flux
3300.0 3.0953859551572373e-15
3301.0 3.0953528434961033e-15
3302.0 3.095319732189139e-15
3303.0 3.0952866212363407e-15
3304.0 3.0952535106377042e-15
3305.0 3.0952204003932244e-15
3306.0 3.0951872905029006e-15
3307.0 3.0951541809667272e-15
3308.0 3.0951210717847007e-15
3309.0 3.0950879629568163e-15
3310.0 3.0950548544830717e-15
3311.0 3.0950217463634625e-15
3312.0 3.0949886385979844e-15
3313.0 3.094955531186635e-15
3314.0 3.094922424129409e-15
3315.0 3.0948893174263036e-15
3316.0 3.0948562110773145e-15
3317.0 3.0948231050824374e-15
3318.0 3.0947899994416706e-15
3319.0 3.094756894155008e-15
3320.0 3.094723789222447e-15
3321.0 3.0946906846439836e-15
3322.0 3.0946575804196138e-15
3323.0 3.0946244765493336e-15
3324.0 3.09459137303314e-15
3325.0 3.0945582698710286e-15
3326.0 3.0945251670629962e-15
3327.0 3.0944920646090385e-15
3328.0 3.0944589625091516e-15
3329.0 3.0944258607633322e-15
3330.0 3.0943927593715757e-15
3331.0 3.0943596583338797e-15
3332.0 3.094326557650239e-15
3333.0 3.0942934573206507e-15
3334.0 3.0942603573451106e-15
3335.0 3.0942272577236147e-15
3336.0 3.0941941584561593e-15
3337.0 3.094161059542742e-15
3338.0 3.094127960983356e-15
3339.0 3.0940948627780017e-15
3340.0 3.0940617649266715e-15
3341.0 3.0940286674293636e-15
3342.0 3.0939955702860735e-15
3343.0 3.093962473496798e-15
3344.0 3.0939293770615325e-15
3345.0 3.0938962809802736e-15
3346.0 3.093863185253018e-15
3347.0 3.0938300898797606e-15
3348.0 3.0937969948604987e-15
3349.0 3.093763900195229e-15
3350.0 3.093730805883947e-15
3351.0 3.093697711926649e-15
3352.0 3.0936646183233304e-15
3353.0 3.093631525073989e-15
3354.0 3.09359843217862e-15
3355.0 3.0935653396372198e-15
3356.0 3.093532247449784e-15
3357.0 3.09349915561631e-15
3358.0 3.0934660641367934e-15
3359.0 3.0934329730112297e-15
3360.0 3.0933998822396165e-15
3361.0 3.0933667918219498e-15
3362.0 3.0933337017582245e-15
3363.0 3.093300612048438e-15
3364.0 3.093267522692587e-15
3365.0 3.0932344336906664e-15
3366.0 3.0932013450426726e-15
3367.0 3.093168256748602e-15
3368.0 3.0931351688084517e-15
3369.0 3.093102081222217e-15
3370.0 3.093068993989894e-15
3371.0 3.0930359071114795e-15
3372.0 3.0930028205869688e-15
3373.0 3.09296973441636e-15
3374.0 3.0929366485996476e-15
3375.0 3.092903563136828e-15
3376.0 3.092870478027898e-15
3377.0 3.092837393272853e-15
3378.0 3.0928043088716896e-15
3379.0 3.092771224824405e-15
3380.0 3.0927381411309936e-15
3381.0 3.0927050577914536e-15
3382.0 3.0926719748057795e-15
3383.0 3.092638892173968e-15
3384.0 3.0926058098960162e-15
3385.0 3.09257272797192e-15
3386.0 3.0925396464016745e-15
3387.0 3.0925065651852763e-15
3388.0 3.0924734843227228e-15
3389.0 3.0924404038140093e-15
3390.0 3.0924073236591315e-15
3391.0 3.092374243858087e-15
3392.0 3.0923411644108703e-15
3393.0 3.0923080853174797e-15
3394.0 3.092275006577909e-15
3395.0 3.0922419281921568e-15
3396.0 3.092208850160218e-15
3397.0 3.092175772482089e-15
3398.0 3.092142695157766e-15
3399.0 3.092109618187245e-15
3400.0 3.092076541570523e-15
3401.0 3.0920434653075944e-15
3402.0 3.0920103893984575e-15
3403.0 3.091977313843108e-15
3404.0 3.0919442386415416e-15
3405.0 3.091911163793755e-15
3406.0 3.091878089299744e-15
3407.0 3.091845015159505e-15
3408.0 3.091811941373034e-15
3409.0 3.091778867940328e-15
3410.0 3.091745794861382e-15
3411.0 3.091712722136193e-15
3412.0 3.091679649764757e-15
3413.0 3.0916465777470707e-15
3414.0 3.0916135060831292e-15
3415.0 3.0915804347729303e-15
3416.0 3.091547363816469e-15
3417.0 3.0915142932137413e-15
3418.0 3.0914812229647445e-15
3419.0 3.0914481530694745e-15
3420.0 3.0914150835279265e-15
3421.0 3.0913820143400987e-15
3422.0 3.0913489455059847e-15
3423.0 3.0913158770255836e-15
3424.0 3.0912828088988893e-15
3425.0 3.091249741125899e-15
3426.0 3.0912166737066085e-15
3427.0 3.091183606641015e-15
3428.0 3.0911505399291134e-15
3429.0 3.0911174735709005e-15
3430.0 3.0910844075663733e-15
3431.0 3.091051341915527e-15
3432.0 3.0910182766183586e-15
3433.0 3.0909852116748624e-15
