# wavelength flux
3300.0 3.2543804289556418e-15
3301.0 3.2543529356956372e-15
3302.0 3.2543254426678895e-15
3303.0 3.254297949872396e-15
3304.0 3.2542704573091562e-15
3305.0 3.2542429649781675e-15
3306.0 3.254215472879427e-15
3307.0 3.2541879810129334e-15
3308.0 3.2541604893786856e-15
3309.0 3.2541329979766804e-15
3310.0 3.254105506806916e-15
3311.0 3.2540780158693908e-15
3312.0 3.254050525164103e-15
3313.0 3.2540230346910503e-15
3314.0 3.2539955444502302e-15
3315.0 3.2539680544416413e-15
3316.0 3.2539405646652824e-15
3317.0 3.2539130751211508e-15
3318.0 3.2538855858092432e-15
3319.0 3.253858096729561e-15
3320.0 3.2538306078821e-15
3321.0 3.253803119266858e-15
3322.0 3.253775630883832e-15
3323.0 3.2537481427330236e-15
3324.0 3.2537206548144278e-15
3325.0 3.253693167128044e-15
3326.0 3.2536656796738686e-15
3327.0 3.253638192451903e-15
3328.0 3.2536107054621422e-15
3329.0 3.2535832187045844e-15
3330.0 3.2535557321792298e-15
3331.0 3.2535282458860744e-15
3332.0 3.2535007598251162e-15
3333.0 3.2534732739963545e-15
3334.0 3.2534457883997874e-15
3335.0 3.2534183030354116e-15
3336.0 3.2533908179032263e-15
3337.0 3.253363333003228e-15
3338.0 3.2533358483354168e-15
3339.0 3.2533083638997894e-15
3340.0 3.2532808796963447e-15
3341.0 3.2532533957250795e-15
3342.0 3.2532259119859934e-15
3343.0 3.2531984284790833e-15
3344.0 3.2531709452043467e-15
3345.0 3.2531434621617834e-15
3346.0 3.253115979351391e-15
3347.0 3.2530884967731657e-15
3348.0 3.2530610144271078e-15
3349.0 3.2530335323132148e-15
3350.0 3.2530060504314835e-15
3351.0 3.2529785687819133e-15
3352.0 3.2529510873645016e-15
3353.0 3.2529236061792466e-15
3354.0 3.252896125226146e-15
3355.0 3.2528686445051986e-15
3356.0 3.252841164016402e-15
3357.0 3.2528136837597543e-15
3358.0 3.2527862037352537e-15
3359.0 3.252758723942897e-15
3360.0 3.252731244382685e-15
3361.0 3.252703765054613e-15
3362.0 3.25267628595868e-15
3363.0 3.252648807094884e-15
3364.0 3.2526213284632238e-15
3365.0 3.252593850063696e-15
3366.0 3.252566371896299e-15
3367.0 3.2525388939610323e-15
3368.0 3.2525114162578934e-15
3369.0 3.2524839387868787e-15
3370.0 3.252456461547987e-15
3371.0 3.252428984541218e-15
3372.0 3.252401507766568e-15
3373.0 3.2523740312240353e-15
3374.0 3.2523465549136173e-15
3375.0 3.252319078835315e-15
3376.0 3.2522916029891225e-15
3377.0 3.25226412737504e-15
3378.0 3.2522366519930653e-15
3379.0 3.2522091768431954e-15
3380.0 3.25218170192543e-15
3381.0 3.2521542272397672e-15
3382.0 3.2521267527862035e-15
3383.0 3.252099278564738e-15
3384.0 3.252071804575368e-15
3385.0 3.252044330818092e-15
3386.0 3.252016857292908e-15
3387.0 3.2519893839998142e-15
3388.0 3.251961910938808e-15
3389.0 3.251934438109889e-15
3390.0 3.251906965513053e-15
3391.0 3.2518794931482997e-15
3392.0 3.2518520210156267e-15
3393.0 3.2518245491150314e-15
3394.0 3.2517970774465135e-15
3395.0 3.251769606010069e-15
3396.0 3.251742134805698e-15
3397.0 3.251714663833396e-15
3398.0 3.2516871930931634e-15
3399.0 3.2516597225849967e-15
3400.0 3.251632252308895e-15
3401.0 3.2516047822648553e-15
3402.0 3.2515773124528766e-15
3403.0 3.251549842872957e-15
3404.0 3.251522373525094e-15
3405.0 3.2514949044092858e-15
3406.0 3.2514674355255297e-15
3407.0 3.251439966873825e-15
3408.0 3.2514124984541687e-15
3409.0 3.25138503026656e-15
3410.0 3.251357562310996e-15
3411.0 3.2513300945874738e-15
3412.0 3.2513026270959945e-15
3413.0 3.2512751598365535e-15
3414.0 3.2512476928091492e-15
3415.0 3.2512202260137797e-15
3416.0 3.251192759450444e-15
3417.0 3.25116529311914e-15
3418.0 3.2511378270198644e-15
3419.0 3.251110361152616e-15
3420.0 3.2510828955173944e-15
3421.0 3.2510554301141944e-15
3422.0 3.2510279649430173e-15
3423.0 3.2510005000038588e-15
3424.0 3.2509730352967185e-15
3425.0 3.250945570821592e-15
3426.0 3.2509181065784814e-15
3427.0 3.250890642567381e-15
3428.0 3.250863178788291e-15
3429.0 3.2508357152412086e-15
3430.0 3.250808251926131e-15
3431.0 3.250780788843058e-15
3432.0 3.2507533259919867e-15
3433.0 3.250725863372915e-15
3434.0 3.250698400985842e-15
3435.0 3.2506709388307636e-15
3436.0 3.25064347690768e-15
3437.0 3.2506160152165887e-15
3438.0 3.250588553757487e-15
3439.0 3.2505610925303742e-15
3440.0 3.250533631535247e-15
3441.0 3.250506170772103e-15
3442.0 3.250478710240942e-15
3443.0 3.250451249941762e-15
3444.0 3.250423789874559e-15
3445.0 3.2503963300393338e-15
3446.0 3.250368870436083e-15
3447.0 3.250341411064803e-15
3448.0 3.2503139519254945e-15
3449.0 3.250286493018154e-15
3450.0 3.2502590343427805e-15
3451.0 3.2502315758993713e-15
3452.0 3.2502041176879247e-15
3453.0 3.2501766597084395e-15
3454.0 3.250149201960912e-15
3455.0 3.250121744445342e-15
3456.0 3.2500942871617265e-15
3457.0 3.2500668301100632e-15
3458.0 3.2500393732903522e-15
3459.0 3.2500119167025896e-15
3460.0 3.2499844603467738e-15
3461.0 3.2499570042229016e-15
3462.0 3.2499295483309743e-15
3463.0 3.2499020926709878e-15
3464.0 3.2498746372429403e-15
3465.0 3.2498471820468296e-15
3466.0 3.249819727082654e-15
3467.0 3.2497922723504117e-15
3468.0 3.2497648178501013e-15
3469.0 3.24973736358172e-15
3470.0 3.249709909545266e-15
3471.0 3.249682455740737e-15
3472.0 3.2496550021681315e-15
3473.0 3.2496275488274478e-15
3474.0 3.2496000957186836e-15
3475.0 3.2495726428418375e-15
3476.0 3.249545190196906e-15
3477.0 3.2495177377838886e-15
3478.0 3.2494902856027822e-15
3479.0 3.2494628336535857e-15
3480.0 3.2494353819362976e-15
3481.0 3.249407930450916e-15
3482.0 3.249380479197437e-15
3483.0 3.24935302817586e-15
3484.0 3.249325577386183e-15
3485.0 3.2492981268284053e-15
3486.0 3.249270676502522e-15
3487.0 3.2492432264085326e-15
3488.0 3.2492157765464367e-15
3489.0 3.24918832691623e-15
3490.0 3.2491608775179122e-15
3491.0 3.2491334283514797e-15
3492.0 3.2491059794169316e-15
3493.0 3.249078530714267e-15
3494.0 3.2490510822434814e-15
3495.0 3.2490236340045745e-15
3496.0 3.2489961859975442e-15
3497.0 3.248968738222388e-15
3498.0 3.248941290679105e-15
3499.0 3.248913843367692e-15
3500.0 3.2488863962881476e-15
3501.0 3.24885894944047e-15
3502.0 3.248831502824657e-15
3503.0 3.2488040564407072e-15
3504.0 3.2487766102886175e-15
3505.0 3.248749164368387e-15
3506.0 3.248721718680013e-15
3507.0 3.248694273223494e-15
3508.0 3.248666827998828e-15
3509.0 3.2486393830060136e-15
3510.0 3.2486119382450474e-15
3511.0 3.248584493715928e-15
3512.0 3.248557049418654e-15
3513.0 3.248529605353223e-15
3514.0 3.2485021615196343e-15
3515.0 3.248474717917883e-15
3516.0 3.248447274547971e-15
3517.0 3.248419831409893e-15
3518.0 3.248392388503648e-15
3519.0 3.2483649458292357e-15
3520.0 3.248337503386652e-15
3521.0 3.2483100611758955e-15
3522.0 3.248282619196964e-15
3523.0 3.2482551774498574e-15
3524.0 3.2482277359345713e-15
3525.0 3.2482002946511055e-15
3526.0 3.2481728535994575e-15
3527.0 3.2481454127796245e-15
3528.0 3.248117972191606e-15
3529.0 3.2480905318353995e-15
3530.0 3.2480630917110022e-15
3531.0 3.2480356518184118e-15
3532.0 3.2480082121576285e-15
3533.0 3.24798077272865e-15
3534.0 3.2479533335314724e-15
3535.0 3.247925894566094e-15
3536.0 3.2478984558325157e-15
3537.0 3.2478710173307324e-15
3538.0 3.247843579060744e-15
3539.0 3.2478161410225474e-15
3540.0 3.2477887032161407e-15
3541.0 3.247761265641522e-15
3542.0 3.24773382829869e-15
3543.0 3.2477063911876426e-15
3544.0 3.247678954308378e-15
3545.0 3.247651517660894e-15
3546.0 3.247624081245187e-15
3547.0 3.247596645061258e-15
3548.0 3.2475692091091025e-15
3549.0 3.2475417733887204e-15
3550.0 3.247514337900109e-15
3551.0 3.247486902643266e-15
3552.0 3.2474594676181897e-15
3553.0 3.247432032824878e-15
3554.0 3.2474045982633297e-15
3555.0 3.2473771639335425e-15
3556.0 3.247349729835514e-15
3557.0 3.2473222959692427e-15
3558.0 3.2472948623347256e-15
3559.0 3.247267428931962e-15
3560.0 3.24723999576095e-15
3561.0 3.2472125628216865e-15
3562.0 3.2471851301141698e-15
3563.0 3.2471576976383987e-15
3564.0 3.2471302653943712e-15
3565.0 3.2471028333820843e-15
3566.0 3.2470754016015386e-15
3567.0 3.2470479700527284e-15
3568.0 3.247020538735654e-15
3569.0 3.246993107650313e-15
3570.0 3.2469656767967052e-15
3571.0 3.2469382461748243e-15
3572.0 3.246910815784672e-15
3573.0 3.246883385626246e-15
3574.0 3.2468559556995433e-15
3575.0 3.2468285260045633e-15
3576.0 3.246801096541302e-15
3577.0 3.246773667309758e-15
3578.0 3.2467462383099314e-15
3579.0 3.2467188095418172e-15
3580.0 3.246691381005415e-15
3581.0 3.246663952700724e-15
3582.0 3.24663652462774e-15
3583.0 3.246609096786463e-15
3584.0 3.2465816691768904e-15
3585.0 3.246554241799018e-15
3586.0 3.2465268146528477e-15
3587.0 3.2464993877383743e-15
3588.0 3.2464719610555978e-15
3589.0 3.2464445346045167e-15
3590.0 3.246417108385126e-15
3591.0 3.2463896823974275e-15
3592.0 3.246362256641416e-15
3593.0 3.2463348311170925e-15
3594.0 3.2463074058244517e-15
3595.0 3.246279980763495e-15
3596.0 3.2462525559342178e-15
3597.0 3.24622513133662e-15
3598.0 3.246197706970699e-15
3599.0 3.2461702828364527e-15
3600.0 3.2461428589338784e-15
3601.0 3.2461154352629763e-15
3602.0 3.2460880118237417e-15
3603.0 3.2460605886161755e-15
3604.0 3.2460331656402733e-15
3605.0 3.246005742896034e-15
3606.0 3.245978320383456e-15
3607.0 3.2459508981025375e-15
3608.0 3.245923476053276e-15
3609.0 3.245896054235669e-15
3610.0 3.2458686326497162e-15
3611.0 3.245841211295413e-15
3612.0 3.2458137901727612e-15
3613.0 3.2457863692817557e-15
3614.0 3.245758948622396e-15
