# wavelength flux
3300.0 2.5040151477655473e-09
3301.0 2.503534581713523e-09
3302.0 2.503054107885066e-09
3303.0 2.50257372626247e-09
3304.0 2.5020934368280337e-09
3305.0 2.5016132395640832e-09
3306.0 2.501133134452914e-09
3307.0 2.5006531214768606e-09
3308.0 2.5001732006182247e-09
3309.0 2.4996933718593473e-09
3310.0 2.4992136351825466e-09
3311.0 2.4987339905701437e-09
3312.0 2.498254438004489e-09
3313.0 2.4977749774679017e-09
3314.0 2.497295608942741e-09
3315.0 2.496816332411331e-09
3316.0 2.4963371478560368e-09
3317.0 2.495858055259192e-09
3318.0 2.4953790546031665e-09
3319.0 2.4949001458703097e-09
3320.0 2.494421329042973e-09
3321.0 2.4939426041035377e-09
3322.0 2.4934639710343537e-09
3323.0 2.4929854298178087e-09
3324.0 2.49250698043626e-09
3325.0 2.4920286228721024e-09
3326.0 2.491550357107707e-09
3327.0 2.4910721831254498e-09
3328.0 2.4905941009077363e-09
3329.0 2.4901161104369395e-09
3330.0 2.4896382116954706e-09
3331.0 2.489160404665711e-09
3332.0 2.4886826893300783e-09
3333.0 2.48820506567096e-09
3334.0 2.4877275336707815e-09
3335.0 2.487250093311945e-09
3336.0 2.4867727445768556e-09
3337.0 2.4862954874479492e-09
3338.0 2.4858183219076302e-09
3339.0 2.4853412479383404e-09
3340.0 2.4848642655224906e-09
3341.0 2.4843873746425297e-09
3342.0 2.483910575280883e-09
3343.0 2.4834338674199807e-09
3344.0 2.4829572510422817e-09
3345.0 2.482480726130213e-09
3346.0 2.4820042926662407e-09
3347.0 2.481527950632799e-09
3348.0 2.48105170001236e-09
3349.0 2.480575540787366e-09
3350.0 2.480099472940294e-09
3351.0 2.4796234964536025e-09
3352.0 2.47914761130975e-09
3353.0 2.4786718174912252e-09
3354.0 2.4781961149804874e-09
3355.0 2.4777205037600324e-09
3356.0 2.477244983812324e-09
3357.0 2.4767695551198648e-09
3358.0 2.4762942176651356e-09
3359.0 2.475818971430618e-09
3360.0 2.4753438163988273e-09
3361.0 2.4748687525522432e-09
3362.0 2.474393779873385e-09
3363.0 2.4739188983447414e-09
3364.0 2.473444107948839e-09
3365.0 2.472969408668172e-09
3366.0 2.472494800485273e-09
3367.0 2.4720202833826516e-09
3368.0 2.4715458573428233e-09
3369.0 2.47107152234833e-09
3370.0 2.4705972783816824e-09
3371.0 2.4701231254254317e-09
3372.0 2.4696490634620946e-09
3373.0 2.469175092474229e-09
3374.0 2.4687012124443673e-09
3375.0 2.4682274233550486e-09
3376.0 2.467753725188836e-09
3377.0 2.467280117928267e-09
3378.0 2.4668066015559137e-09
3379.0 2.4663331760543173e-09
3380.0 2.46585984140606e-09
3381.0 2.465386597593688e-09
3382.0 2.4649134445997875e-09
3383.0 2.464440382406924e-09
3384.0 2.4639674109976633e-09
3385.0 2.4634945303546027e-09
3386.0 2.4630217404603065e-09
3387.0 2.462549041297379e-09
3388.0 2.462076432848391e-09
3389.0 2.4616039150959526e-09
3390.0 2.4611314880226516e-09
3391.0 2.460659151611078e-09
3392.0 2.460186905843851e-09
3393.0 2.4597147507035604e-09
3394.0 2.4592426861728322e-09
3395.0 2.4587707122342614e-09
3396.0 2.458298828870482e-09
3397.0 2.4578270360640943e-09
3398.0 2.4573553337977404e-09
3399.0 2.4568837220540354e-09
3400.0 2.4564122008156014e-09
3401.0 2.4559407700650876e-09
3402.0 2.4554694297851127e-09
3403.0 2.4549981799583333e-09
3404.0 2.454527020567374e-09
3405.0 2.4540559515948986e-09
3406.0 2.453584973023548e-09
3407.0 2.4531140848359655e-09
3408.0 2.4526432870148238e-09
3409.0 2.4521725795427657e-09
3410.0 2.4517019624024714e-09
3411.0 2.451231435576588e-09
3412.0 2.4507609990478033e-09
3413.0 2.450290652798771e-09
3414.0 2.4498203968121864e-09
3415.0 2.4493502310707187e-09
3416.0 2.4488801555570415e-09
3417.0 2.448410170253857e-09
3418.0 2.44794027514384e-09
3419.0 2.447470470209698e-09
3420.0 2.44700075543411e-09
3421.0 2.446531130799792e-09
3422.0 2.446061596289439e-09
3423.0 2.445592151885746e-09
3424.0 2.4451227975714407e-09
3425.0 2.4446535333292184e-09
3426.0 2.444184359141812e-09
3427.0 2.443715274991922e-09
3428.0 2.443246280862289e-09
3429.0 2.442777376735621e-09
3430.0 2.442308562594665e-09
3431.0 2.441839838422144e-09
3432.0 2.441371204200784e-09
3433.0 2.440902659913343e-09
3434.0 2.440434205542544e-09
3435.0 2.4399658410711516e-09
3436.0 2.4394975664818965e-09
3437.0 2.4390293817575476e-09
3438.0 2.4385612868808525e-09
3439.0 2.4380932818345612e-09
3440.0 2.4376253666014526e-09
3441.0 2.4371575411642754e-09
3442.0 2.4366898055058148e-09
3443.0 2.4362221596088257e-09
3444.0 2.4357546034561014e-09
3445.0 2.435287137030402e-09
3446.0 2.434819760314528e-09
3447.0 2.434352473291254e-09
3448.0 2.433885275943362e-09
3449.0 2.4334181682536596e-09
3450.0 2.4329511502049256e-09
3451.0 2.4324842217799753e-09
3452.0 2.432017382961593e-09
3453.0 2.431550633732601e-09
3454.0 2.431083974075799e-09
3455.0 2.4306174039739895e-09
3456.0 2.4301509234100056e-09
3457.0 2.429684532366648e-09
3458.0 2.4292182308267552e-09
3459.0 2.4287520187731346e-09
3460.0 2.4282858961886314e-09
3461.0 2.4278198630560603e-09
3462.0 2.427353919358273e-09
3463.0 2.4268880650780987e-09
3464.0 2.4264223001983694e-09
3465.0 2.4259566247019486e-09
3466.0 2.425491038571665e-09
3467.0 2.425025541790389e-09
3468.0 2.424560134340956e-09
3469.0 2.4240948162062416e-09
3470.0 2.423629587369098e-09
