# wavelength flux
3300.0 6.334384467254778e-15
3301.0 6.331914816951102e-15
3302.0 6.329446129490213e-15
3303.0 6.326978404496747e-15
3304.0 6.324511641595473e-15
3305.0 6.322045840411305e-15
3306.0 6.3195810005693145e-15
3307.0 6.317117121694706e-15
3308.0 6.314654203412843e-15
3309.0 6.312192245349224e-15
3310.0 6.309731247129502e-15
3311.0 6.30727120837947e-15
3312.0 6.304812128725067e-15
3313.0 6.302354007792384e-15
3314.0 6.299896845207649e-15
3315.0 6.2974406405972465e-15
3316.0 6.294985393587697e-15
3317.0 6.2925311038056665e-15
3318.0 6.290077770877976e-15
3319.0 6.287625394431581e-15
3320.0 6.285173974093594e-15
3321.0 6.282723509491261e-15
3322.0 6.28027400025198e-15
3323.0 6.277825446003295e-15
3324.0 6.275377846372889e-15
3325.0 6.272931200988599e-15
3326.0 6.270485509478398e-15
3327.0 6.268040771470412e-15
3328.0 6.265596986592909e-15
3329.0 6.263154154474296e-15
3330.0 6.260712274743137e-15
3331.0 6.258271347028126e-15
3332.0 6.25583137095812e-15
3333.0 6.253392346162103e-15
3334.0 6.250954272269212e-15
3335.0 6.248517148908729e-15
3336.0 6.246080975710079e-15
3337.0 6.243645752302833e-15
3338.0 6.2412114783167026e-15
3339.0 6.238778153381548e-15
3340.0 6.236345777127373e-15
3341.0 6.233914349184319e-15
3342.0 6.231483869182683e-15
3343.0 6.229054336752897e-15
3344.0 6.226625751525544e-15
3345.0 6.224198113131346e-15
3346.0 6.221771421201166e-15
3347.0 6.219345675366022e-15
3348.0 6.216920875257063e-15
3349.0 6.2144970205055944e-15
3350.0 6.212074110743052e-15
3351.0 6.2096521456010274e-15
3352.0 6.2072311247112496e-15
3353.0 6.204811047705588e-15
3354.0 6.202391914216066e-15
3355.0 6.199973723874839e-15
3356.0 6.197556476314214e-15
3357.0 6.195140171166637e-15
3358.0 6.1927248080646955e-15
3359.0 6.1903103866411306e-15
3360.0 6.187896906528813e-15
3361.0 6.185484367360766e-15
3362.0 6.1830727687701524e-15
3363.0 6.180662110390272e-15
3364.0 6.178252391854587e-15
3365.0 6.175843612796675e-15
3366.0 6.1734357728502826e-15
3367.0 6.171028871649279e-15
3368.0 6.16862290882769e-15
3369.0 6.166217884019679e-15
3370.0 6.163813796859546e-15
3371.0 6.161410646981745e-15
3372.0 6.159008434020863e-15
3373.0 6.1566071576116354e-15
3374.0 6.154206817388939e-15
3375.0 6.151807412987787e-15
3376.0 6.149408944043344e-15
3377.0 6.147011410190909e-15
3378.0 6.144614811065932e-15
3379.0 6.1422191463039926e-15
3380.0 6.139824415540826e-15
3381.0 6.137430618412303e-15
3382.0 6.1350377545544285e-15
3383.0 6.132645823603365e-15
3384.0 6.130254825195407e-15
3385.0 6.127864758966993e-15
3386.0 6.1254756245547025e-15
3387.0 6.1230874215952546e-15
3388.0 6.120700149725519e-15
3389.0 6.118313808582496e-15
3390.0 6.1159283978033334e-15
3391.0 6.11354391702532e-15
3392.0 6.111160365885882e-15
3393.0 6.108777744022593e-15
3394.0 6.1063960510731616e-15
3395.0 6.104015286675448e-15
3396.0 6.1016354504674375e-15
3397.0 6.099256542087274e-15
3398.0 6.0968785611732295e-15
3399.0 6.094501507363722e-15
3400.0 6.0921253802973105e-15
3401.0 6.089750179612691e-15
3402.0 6.087375904948712e-15
3403.0 6.0850025559443505e-15
3404.0 6.082630132238723e-15
3405.0 6.080258633471101e-15
3406.0 6.077888059280881e-15
3407.0 6.075518409307612e-15
3408.0 6.073149683190976e-15
3409.0 6.070781880570794e-15
3410.0 6.068415001087037e-15
3411.0 6.0660490443798064e-15
3412.0 6.063684010089352e-15
3413.0 6.061319897856055e-15
3414.0 6.058956707320448e-15
3415.0 6.056594438123192e-15
3416.0 6.054233089905094e-15
3417.0 6.051872662307105e-15
3418.0 6.0495131549703035e-15
3419.0 6.047154567535925e-15
3420.0 6.0447968996453326e-15
3421.0 6.0424401509400276e-15
3422.0 6.040084321061664e-15
3423.0 6.037729409652021e-15
3424.0 6.035375416353026e-15
3425.0 6.033022340806744e-15
3426.0 6.03067018265538e-15
3427.0 6.028318941541279e-15
3428.0 6.0259686171069195e-15
3429.0 6.023619208994927e-15
3430.0 6.0212707168480644e-15
3431.0 6.018923140309234e-15
3432.0 6.016576479021474e-15
3433.0 6.014230732627963e-15
3434.0 6.011885900772023e-15
3435.0 6.0095419830971096e-15
3436.0 6.007198979246823e-15
3437.0 6.004856888864894e-15
3438.0 6.002515711595196e-15
3439.0 6.000175447081751e-15
3440.0 5.997836094968703e-15
3441.0 5.995497654900348e-15
3442.0 5.993160126521113e-15
3443.0 5.9908235094755676e-15
3444.0 5.98848780340842e-15
3445.0 5.98615300796451e-15
3446.0 5.983819122788827e-15
3447.0 5.98148614752649e-15
3448.0 5.9791540818227635e-15
3449.0 5.976822925323046e-15
3450.0 5.974492677672865e-15
3451.0 5.972163338517909e-15
3452.0 5.969834907503982e-15
3453.0 5.967507384277042e-15
3454.0 5.965180768483173e-15
3455.0 5.9628550597686075e-15
3456.0 5.960530257779709e-15
3457.0 5.958206362162978e-15
3458.0 5.955883372565061e-15
3459.0 5.953561288632729e-15
3460.0 5.951240110012908e-15
3461.0 5.948919836352648e-15
3462.0 5.946600467299138e-15
3463.0 5.94428200249971e-15
