# wavelength flux
3481.00139 5.02134e-18
3482.50469 6.31544e-18
3483.99797 5.85164e-18
3485.50127 5.71184e-18
3487.00457 3.29604e-18
3488.49785 1.74340e-18
3490.00115 3.18431e-18
3491.50445 4.34384e-18
3492.99773 7.24320e-18
3494.50103 7.81449e-18
3496.00433 5.95121e-18
3497.49760 4.76222e-18
3499.00090 4.34756e-18
3500.50420 6.15477e-18
3501.99748 6.40717e-18
3503.50078 7.61546e-18
3505.00408 5.08483e-18
3506.49736 7.87230e-18
3508.00066 8.45177e-18
3509.50396 9.33671e-18
3510.99724 4.14509e-18
3512.50054 9.26314e-18
3514.00384 8.03033e-18
3515.49712 7.81640e-18
3517.00042 6.48162e-18
3518.50372 6.42810e-18
3519.99699 7.07895e-18
3521.50029 8.06980e-18
3523.00359 7.88177e-18
3524.49687 8.27688e-18
3526.00017 9.13341e-18
3527.50347 9.93142e-18
3528.99675 8.18640e-18
3530.50005 7.56520e-18
3532.00335 9.16527e-18
3533.49663 8.92598e-18
3534.99993 6.37619e-18
3536.50323 7.75036e-18
3537.99651 9.10535e-18
3539.49981 8.74888e-18
3541.00311 1.06312e-17
3542.49638 1.00266e-17
3543.99968 8.01201e-18
3545.50298 7.90553e-18
3546.99626 9.78916e-18
3548.49956 1.11540e-17
3550.00286 1.07995e-17
3551.49614 9.95100e-18
3552.99944 8.82647e-18
3554.50274 8.83682e-18
3555.99602 9.11716e-18
3557.49932 9.64553e-18
3559.00262 9.40605e-18
3560.49590 9.82279e-18
3561.99920 1.02133e-17
3563.50250 1.04638e-17
3564.99577 1.06015e-17
3566.49907 1.20115e-17
3568.00237 1.16832e-17
3569.49565 9.84222e-18
3570.99895 1.03848e-17
3572.50225 1.22032e-17
3573.99553 1.06862e-17
3575.49883 9.93644e-18
3577.00213 1.19790e-17
3578.49541 1.06286e-17
3579.99871 1.05935e-17
3581.50201 1.10037e-17
3582.99529 1.00618e-17
3584.49859 1.14551e-17
3586.00189 1.29456e-17
3587.49516 1.15103e-17
3588.99846 1.02252e-17
3590.50176 1.08997e-17
3591.99504 1.00150e-17
3593.49834 1.22187e-17
3595.00164 1.17181e-17
3596.49492 1.10289e-17
3597.99822 1.12855e-17
3599.50152 1.06116e-17
3601.00482 1.13848e-17
3602.49810 1.24523e-17
3604.00140 1.09656e-17
3605.50470 1.09925e-17
3606.99798 1.17102e-17
3608.50128 1.20031e-17
3610.00458 1.19360e-17
3611.49785 1.23202e-17
3613.00115 1.20066e-17
3614.50445 1.14830e-17
3615.99773 1.18690e-17
3617.50103 1.20256e-17
3619.00433 1.18463e-17
3620.49761 1.17457e-17
3622.00091 1.18039e-17
3623.50421 1.23650e-17
3624.99749 1.31904e-17
3626.50079 1.20285e-17
3628.00409 1.15857e-17
3629.49737 1.18061e-17
3631.00067 1.12732e-17
3632.50397 1.13643e-17
3633.99724 1.13422e-17
3635.50054 1.20089e-17
3637.00384 1.12990e-17
3638.49712 1.13489e-17
3640.00042 1.16786e-17
3641.50372 1.16188e-17
3642.99700 1.21664e-17
3644.50030 1.37792e-17
3646.00360 1.23883e-17
3647.49688 1.05300e-17
3649.00018 1.09445e-17
3650.50348 1.20912e-17
3651.99676 1.16266e-17
3653.50006 1.12228e-17
3655.00336 1.16159e-17
3656.49663 1.13735e-17
3657.99993 1.17847e-17
3659.50323 1.16497e-17
3660.99651 1.25602e-17
3662.49981 1.28568e-17
3664.00311 1.23962e-17
3665.49639 1.26749e-17
3666.99969 1.33554e-17
3668.50299 1.31876e-17
3669.99627 1.25857e-17
3671.49957 1.20426e-17
3673.00287 1.21616e-17
3674.49615 1.24461e-17
3675.99945 1.22247e-17
3677.50275 1.29276e-17
3678.99602 1.36735e-17
3680.49932 1.35002e-17
3682.00262 1.32232e-17
3683.49590 1.28697e-17
3684.99920 1.24578e-17
3686.50250 1.33297e-17
3687.99578 1.31089e-17
3689.49908 1.23317e-17
3691.00238 1.25631e-17
3692.49566 1.26943e-17
3693.99896 1.23895e-17
3695.50226 1.26436e-17
3696.99554 1.22055e-17
3698.49884 1.17328e-17
3700.00214 1.23116e-17
3701.49541 1.29055e-17
3702.99871 1.27326e-17
3704.50201 1.27920e-17
3705.99529 1.38365e-17
3707.49859 1.38303e-17
3709.00189 1.20666e-17
3710.49517 1.25943e-17
3711.99847 1.28805e-17
3713.50177 1.29038e-17
3714.99505 1.27533e-17
3716.49835 1.21859e-17
3718.00165 1.19245e-17
3719.49493 1.27052e-17
3720.99823 1.23770e-17
3722.50153 1.32880e-17
3724.00483 1.35167e-17
3725.49810 1.34023e-17
3727.00140 1.36074e-17
3728.50470 1.31474e-17
3729.99798 1.25130e-17
3731.50128 1.22803e-17
3733.00458 1.25150e-17
3734.49786 1.31029e-17
3736.00116 1.26807e-17
3737.50446 1.19682e-17
3738.99774 1.25012e-17
3740.50104 1.28626e-17
3742.00434 1.23919e-17
3743.49762 1.20565e-17
3745.00092 1.28926e-17
3746.50422 1.37149e-17
3747.99749 1.46291e-17
3749.50079 1.41183e-17
3751.00409 1.32462e-17
3752.49737 1.30496e-17
3754.00067 1.23758e-17
3755.50397 1.24810e-17
3756.99725 1.38228e-17
3758.50055 1.42359e-17
3760.00385 1.35245e-17
3761.49713 1.30637e-17
3763.00043 1.28755e-17
3764.50373 1.28023e-17
3765.99701 1.33279e-17
3767.50031 1.35090e-17
3769.00361 1.40612e-17
3770.49688 1.41854e-17
3772.00018 1.36629e-17
3773.50348 1.31996e-17
3774.99676 1.29224e-17
3776.50006 1.31524e-17
3778.00336 1.35671e-17
3779.49664 1.32022e-17
3780.99994 1.37058e-17
3782.50324 1.34058e-17
3783.99652 1.30331e-17
3785.49982 1.37255e-17
3787.00312 1.32724e-17
3788.49640 1.32049e-17
3789.99970 1.31171e-17
3791.50300 1.32968e-17
3792.99627 1.31773e-17
3794.49957 1.36658e-17
3796.00287 1.37785e-17
3797.49615 1.32608e-17
3798.99945 1.35103e-17
3800.50275 1.36825e-17
3801.99603 1.34823e-17
3803.49933 1.41425e-17
3805.00263 1.35375e-17
3806.49591 1.25342e-17
3807.99921 1.39461e-17
3809.50251 1.43847e-17
3810.99579 1.40630e-17
3812.49909 1.37206e-17
3814.00239 1.31263e-17
3815.49566 1.25555e-17
3816.99896 1.29790e-17
3818.50226 1.34844e-17
3819.99554 1.39212e-17
3821.49884 1.42166e-17
3823.00214 1.34716e-17
3824.49542 1.30629e-17
3825.99872 1.30649e-17
3827.50202 1.30556e-17
3828.99530 1.37170e-17
3830.49860 1.37458e-17
3832.00190 1.28324e-17
3833.49518 1.29111e-17
3834.99848 1.39433e-17
3836.50178 1.31912e-17
3837.99505 1.27733e-17
3839.49835 1.33362e-17
3841.00165 1.35082e-17
3842.49493 1.30654e-17
3843.99823 1.30364e-17
3845.50153 1.33446e-17
3847.00483 1.35977e-17
3848.49811 1.34094e-17
3850.00141 1.31622e-17
3851.50471 1.41400e-17
3852.99799 1.35302e-17
3854.50129 1.35162e-17
3856.00459 1.33536e-17
3857.49787 1.30040e-17
3859.00117 1.35435e-17
3860.50447 1.35129e-17
3861.99774 1.34968e-17
3863.50104 1.41074e-17
3865.00434 1.38902e-17
3866.49762 1.35005e-17
3868.00092 1.39746e-17
3869.50422 1.41812e-17
3870.99750 1.44991e-17
3872.50080 1.43319e-17
3874.00410 1.40248e-17
3875.49738 1.42960e-17
3877.00068 1.43949e-17
3878.50398 1.43336e-17
3879.99726 1.44031e-17
3881.50056 1.43023e-17
3883.00386 1.48144e-17
3884.49713 1.50743e-17
3886.00043 1.47298e-17
3887.50373 1.42945e-17
3888.99701 1.43626e-17
3890.50031 1.44964e-17
3892.00361 1.42870e-17
3893.49689 1.43409e-17
3895.00019 1.44741e-17
3896.50349 1.48593e-17
3897.99677 1.51461e-17
3899.50007 1.52224e-17
3901.00337 1.51091e-17
3902.49665 1.52752e-17
3903.99995 1.53422e-17
3905.50325 1.51562e-17
3906.99652 1.52283e-17
3908.49982 1.50973e-17
3910.00312 1.53144e-17
3911.49640 1.53273e-17
3912.99970 1.52371e-17
3914.50300 1.54918e-17
3915.99628 1.52898e-17
3917.49958 1.53327e-17
3919.00288 1.51823e-17
3920.49616 1.55610e-17
3921.99946 1.56762e-17
3923.50276 1.59352e-17
3924.99604 1.61492e-17
3926.49934 1.57309e-17
3928.00264 1.51389e-17
3929.49591 1.51416e-17
3930.99921 1.51256e-17
3932.50251 1.50757e-17
3933.99579 1.51012e-17
3935.49909 1.51742e-17
3937.00239 1.54271e-17
3938.49567 1.57963e-17
3939.99897 1.55916e-17
3941.50227 1.52714e-17
3942.99555 1.53494e-17
